Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_0H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.3247447481819203e-06)	(8, 0.0)	(9, 0.0)	(10, 5.298978992727681e-07)	(15, 2.7024792862911173e-05)	(20, 0.00015420028868837554)	(25, 0.00018202018014020578)	(30, 0.0007516649637273433)	(35, 1.3777520159346983e-05)	(40, 0.0014647378214025408)	(45, 0.00022259166255103957)	(50, 0.0)	(55, 0.00014100106451563077)	(60, 0.0)	(65, 5.302068056004144e-07)	(70, 2.6779946725140634e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.831874886299017e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 5.249579803441841e-05)	(135, 0.0)	(140, 0.0)		
HSF4_0H_1_1.sub	(1, 0.0)	(2, 0.058697103523468415)	(3, 0.0)	(4, 0.0017222084216631896)	(5, 0.0)	(6, 0.0018422229458209033)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 8.000968277180904e-07)	(25, 1.5601888951899185e-05)	(30, 0.00013801798429542565)	(35, 0.00016122706292987516)	(40, 0.0007109509604831452)	(45, 1.6004486313585479e-06)	(50, 0.0013924986370519447)	(55, 0.00021569492820068084)	(60, 0.00010725672808348336)	(65, 0.0)	(70, 0.0)	(75, 1.9217063291706222e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 7.620827722164676e-06)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.1537416919414044e-05)	(145, 0.0)	(150, 0.0)
HSF4_0H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00012055177208455476)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.756198215727794e-05)	(10, 0.0)	(15, 0.0004745235687987638)	(20, 6.6237237409096015e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00010812392818015415)	(55, 0.0)	(60, 0.0025851722819720487)	(65, 0.00024601238903015384)	(70, 0.0018037763190731457)	(75, 9.653467104503378e-05)	(80, 1.5917228543949978e-06)	(85, 0.0)	(90, 3.7175459170825175e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026152763069934356)	(125, 0.0015567695363692847)	(130, 0.00012982515560144197)	(135, 0.000969242798962569)	(140, 0.0003078091628885472)		
HSF4_0H_1_2.sub	(1, 0.007414897350877404)	(2, 0.010713296523145231)	(3, 0.00012001452415771356)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.9602372279093216e-05)	(15, 4.000484138590452e-06)	(20, 0.00036004357247314066)	(25, 7.20087176633952e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 5.0422203316385964e-05)	(60, 3.6019059413250405e-06)	(65, 0.00017290863434515184)	(70, 0.0024842506275995265)	(75, 0.0016678831951531874)	(80, 2.0822475196698012e-05)	(85, 6.288429539182401e-05)	(90, 4.0067644280592e-07)	(95, 4.00860278225895e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.001545303009824182)	(135, 0.00019034140657413082)	(140, 0.000764396204578893)	(145, 0.0002992110423728619)	(150, 0.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05955643906573022)	(3, 0.0)	(4, 0.0016574613340399537)	(5, 0.0)	(6, 0.005498918295337968)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00017894248160495041)	(20, 6.756530278888983e-05)	(25, 0.00017683106589279764)	(30, 0.0011657654000723687)	(35, 0.0015057033297289709)	(40, 0.0027340194202738663)	(45, 0.0003391461487645447)	(50, 0.003312811252367755)	(55, 0.0006270904665093837)	(60, 0.0007630128529792209)	(65, 4.011689853090334e-05)	(70, 0.0)	(75, 0.0002296164586966178)	(80, 7.917808920573028e-07)	(85, 0.0)	(90, 1.0293151596744936e-05)	(95, 0.00013592238646983697)	(100, 0.0006611370448678478)	(105, 0.0)	(110, 2.639269640191009e-07)	(115, 0.0)	(120, 4.513151084726626e-05)	(125, 2.8504112114062903e-05)	(130, 0.0)	(135, 2.639269640191009e-07)	(140, 0.00033624295216033457)	(145, 6.650959493281343e-05)	(150, 0.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1, 0.010883028361327627)	(2, 0.011479503300010794)	(3, 0.002030917988126982)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000920313323534605)	(15, 0.0010237726934300925)	(20, 0.0029195600759792943)	(25, 0.0003808466090795626)	(30, 8.97351677664943e-06)	(35, 4.961826923559097e-05)	(40, 0.0)	(45, 6.862101064496623e-06)	(50, 6.914886457300444e-05)	(55, 0.00040433610887726255)	(60, 0.00015967581323155606)	(65, 0.0016007170367758469)	(70, 0.0050032634569100965)	(75, 0.005186164842975333)	(80, 0.0016329161263861774)	(85, 0.000355773547497748)	(90, 0.0005745690006695827)	(95, 9.263836437070443e-05)	(100, 2.639269640191009e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.653881956553927e-06)	(130, 0.004906930115043125)	(135, 0.0016748805136652146)	(140, 0.004745406813063434)	(145, 0.002290358193757758)	(150, 0.002722406633857026)
HSF4_0H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.621525629633009e-07)	(15, 3.0790094177793495e-05)	(20, 0.00016288953048897202)	(25, 0.00018573380252009383)	(30, 0.0007651175018195131)	(35, 1.5891669455765014e-05)	(40, 0.0014925848381927614)	(45, 0.00022814892948863294)	(50, 0.0)	(55, 0.0001397643040609529)	(60, 0.0)	(65, 6.625212513215104e-07)	(70, 2.9154257099155193e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.3596436900501591e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.134058481280129e-05)	(135, 0.0)	(140, 0.0)		
HSF4_0H_2_1.sub	(1, 0.0)	(2, 0.059289534413150616)	(3, 0.0)	(4, 0.0015360397527088001)	(5, 0.0)	(6, 0.001782046119353569)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 8.000207045358334e-07)	(25, 2.0800538567544593e-05)	(30, 0.0001496056945911589)	(35, 0.0001544130244297846)	(40, 0.0007076986107244183)	(45, 4.000913904757781e-06)	(50, 0.0014160558397032473)	(55, 0.00021929145155262386)	(60, 0.00010485373921900957)	(65, 0.0)	(70, 0.0)	(75, 2.2017904167024074e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.2420860537171526e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 5.079895180313984e-05)	(145, 0.0)	(150, 0.0)
HSF4_0H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00011091055429635291)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.297220503706407e-05)	(10, 0.0)	(15, 0.0004535745056298611)	(20, 8.939059600004562e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.3113066758532027e-07)	(50, 0.00011226436194753554)	(55, 0.0)	(60, 0.00248652071923945)	(65, 0.00024016452482367197)	(70, 0.0017356774310251263)	(75, 0.00010370992571019454)	(80, 6.627855249802026e-07)	(85, 0.0)	(90, 9.945959425140254e-07)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026441044315353245)	(125, 0.0015467346799259844)	(130, 0.00013576091325025413)	(135, 0.0009529406265457471)	(140, 0.0003142813886425853)		
HSF4_0H_2_2.sub	(1, 0.007242187427810632)	(2, 0.010610274593906491)	(3, 0.00012200315744171459)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.7600455499788333e-05)	(15, 3.2000828181433334e-06)	(20, 0.0003356086855527821)	(25, 8.000207493381548e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 5.482290588724619e-05)	(60, 4.002055279501119e-06)	(65, 0.0001384841623648356)	(70, 0.002438125588261343)	(75, 0.0015965032383655038)	(80, 1.841722939176491e-05)	(85, 7.488030823201514e-05)	(90, 4.0049634954385827e-07)	(95, 8.011573262364468e-07)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0015062380289058738)	(135, 0.00020736386532043094)	(140, 0.0007275077893569024)	(145, 0.00030740558772473353)	(150, 0.0)
