Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HSF4_0H_1_1	(25, 305.0)	(30, 444.0)	(35, 1702.0)	(40, 6530.0)	(45, 6637.0)	(50, 7260.0)	(55, 7592.0)	(60, 9161.0)	(65, 11428.0)	(70, 15170.0)	(75, 20523.0)	(80, 27401.0)	(85, 36092.0)	(90, 47248.0)	(95, 61276.0)	(100, 76993.0)	(105, 95995.0)	(110, 117617.0)	(115, 143888.0)	(120, 176487.0)	(125, 218268.0)	(130, 310383.0)	(135, 536931.0)	(140, 73550909.0)		
HSF4_0H_1_1.sub	(25, 7.0)	(30, 1517.0)	(35, 2012.0)	(40, 2947.0)	(45, 3781.0)	(50, 4063.0)	(55, 4119.0)	(60, 4834.0)	(65, 5311.0)	(70, 6624.0)	(75, 8297.0)	(80, 11443.0)	(85, 15520.0)	(90, 20274.0)	(95, 26792.0)	(100, 34681.0)	(105, 44343.0)	(110, 55831.0)	(115, 68592.0)	(120, 84228.0)	(125, 102951.0)	(130, 126709.0)	(135, 158486.0)	(140, 256435.0)	(145, 317803.0)	(150, 48626349.0)
HSF4_0H_1_2	(25, 14.0)	(30, 17.0)	(35, 1278.0)	(40, 6540.0)	(45, 6649.0)	(50, 7254.0)	(55, 7602.0)	(60, 9182.0)	(65, 11447.0)	(70, 15185.0)	(75, 20611.0)	(80, 27535.0)	(85, 36347.0)	(90, 47561.0)	(95, 61802.0)	(100, 77775.0)	(105, 97248.0)	(110, 119602.0)	(115, 147532.0)	(120, 183363.0)	(125, 232521.0)	(130, 310721.0)	(135, 467403.0)	(140, 73591051.0)		
HSF4_0H_1_2.sub	(25, 6.0)	(30, 1523.0)	(35, 2004.0)	(40, 2950.0)	(45, 3778.0)	(50, 4079.0)	(55, 4116.0)	(60, 4849.0)	(65, 5316.0)	(70, 6643.0)	(75, 8334.0)	(80, 11478.0)	(85, 15612.0)	(90, 20392.0)	(95, 26950.0)	(100, 34928.0)	(105, 44792.0)	(110, 56483.0)	(115, 69617.0)	(120, 86074.0)	(125, 106095.0)	(130, 133111.0)	(135, 171629.0)	(140, 245614.0)	(145, 277919.0)	(150, 48649657.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(150, 75778540.0)																									
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(150, 75778540.0)																									
HSF4_0H_2_1	(25, 9.0)	(30, 17.0)	(35, 1220.0)	(40, 6141.0)	(45, 6062.0)	(50, 5942.0)	(55, 5636.0)	(60, 6072.0)	(65, 6495.0)	(70, 7316.0)	(75, 8490.0)	(80, 10235.0)	(85, 12746.0)	(90, 15449.0)	(95, 19033.0)	(100, 23710.0)	(105, 28830.0)	(110, 35495.0)	(115, 44871.0)	(120, 57252.0)	(125, 75842.0)	(130, 107814.0)	(135, 188829.0)	(140, 59735533.0)		
HSF4_0H_2_1.sub	(25, 1.0)	(30, 1975.0)	(35, 2395.0)	(40, 3902.0)	(45, 4634.0)	(50, 4786.0)	(55, 4687.0)	(60, 4727.0)	(65, 4779.0)	(70, 5265.0)	(75, 5710.0)	(80, 6199.0)	(85, 7664.0)	(90, 9130.0)	(95, 11525.0)	(100, 13857.0)	(105, 17048.0)	(110, 21111.0)	(115, 25844.0)	(120, 32112.0)	(125, 40684.0)	(130, 52491.0)	(135, 71613.0)	(140, 112900.0)	(145, 137812.0)	(150, 49395855.0)
HSF4_0H_2_2	(25, 15.0)	(30, 19.0)	(35, 1225.0)	(40, 6149.0)	(45, 6081.0)	(50, 5957.0)	(55, 5669.0)	(60, 6116.0)	(65, 6532.0)	(70, 7364.0)	(75, 8596.0)	(80, 10385.0)	(85, 12927.0)	(90, 15736.0)	(95, 19447.0)	(100, 24423.0)	(105, 29852.0)	(110, 37228.0)	(115, 47860.0)	(120, 62861.0)	(125, 88009.0)	(130, 135124.0)	(135, 243291.0)	(140, 59628173.0)		
HSF4_0H_2_2.sub	(25, 9.0)	(30, 1978.0)	(35, 2395.0)	(40, 3911.0)	(45, 4641.0)	(50, 4793.0)	(55, 4698.0)	(60, 4745.0)	(65, 4821.0)	(70, 5300.0)	(75, 5747.0)	(80, 6289.0)	(85, 7768.0)	(90, 9290.0)	(95, 11726.0)	(100, 14199.0)	(105, 17458.0)	(110, 21863.0)	(115, 27036.0)	(120, 33917.0)	(125, 44166.0)	(130, 59140.0)	(135, 85771.0)	(140, 147501.0)	(145, 166423.0)	(150, 49303121.0)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(150, 60623791.0)																									
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(150, 60623791.0)																									
HSF4_0H_3_1	(25, 196.0)	(30, 279.0)	(35, 1140.0)	(40, 4659.0)	(45, 4559.0)	(50, 4904.0)	(55, 5208.0)	(60, 5966.0)	(65, 7133.0)	(70, 9259.0)	(75, 12476.0)	(80, 16237.0)	(85, 21540.0)	(90, 28339.0)	(95, 36998.0)	(100, 47484.0)	(105, 59226.0)	(110, 73353.0)	(115, 90522.0)	(120, 112427.0)	(125, 142233.0)	(130, 209384.0)	(135, 379248.0)	(140, 56865511.0)		
HSF4_0H_3_1.sub	(25, 8.0)	(30, 1501.0)	(35, 1864.0)	(40, 2921.0)	(45, 3527.0)	(50, 3739.0)	(55, 3734.0)	(60, 4305.0)	(65, 4759.0)	(70, 5561.0)	(75, 6795.0)	(80, 8828.0)	(85, 12105.0)	(90, 15537.0)	(95, 20790.0)	(100, 27196.0)	(105, 35107.0)	(110, 44420.0)	(115, 54770.0)	(120, 67999.0)	(125, 84420.0)	(130, 105013.0)	(135, 133677.0)	(140, 229798.0)	(145, 285717.0)	(150, 48833201.0)
HSF4_0H_3_2	(25, 6.0)	(30, 20.0)	(35, 866.0)	(40, 4656.0)	(45, 4562.0)	(50, 4898.0)	(55, 5201.0)	(60, 5977.0)	(65, 7163.0)	(70, 9287.0)	(75, 12535.0)	(80, 16314.0)	(85, 21635.0)	(90, 28574.0)	(95, 37269.0)	(100, 47953.0)	(105, 60060.0)	(110, 74793.0)	(115, 93111.0)	(120, 117303.0)	(125, 152098.0)	(130, 207542.0)	(135, 323399.0)	(140, 56903059.0)		
HSF4_0H_3_2.sub	(25, 6.0)	(30, 1504.0)	(35, 1869.0)	(40, 2920.0)	(45, 3531.0)	(50, 3734.0)	(55, 3726.0)	(60, 4317.0)	(65, 4744.0)	(70, 5595.0)	(75, 6836.0)	(80, 8852.0)	(85, 12181.0)	(90, 15603.0)	(95, 20927.0)	(100, 27419.0)	(105, 35438.0)	(110, 44939.0)	(115, 55698.0)	(120, 69786.0)	(125, 87557.0)	(130, 110775.0)	(135, 145506.0)	(140, 216376.0)	(145, 245108.0)	(150, 48862345.0)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(150, 58357914.0)																									
