Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
HSF4_0H_1	45486183.0	45.0	5753654.0	704523.0	1692330.0
HSF4_0H_2	45921738.0	66.0	5027091.0	563508.0	1662538.0
HSF4_0H_3	45359125.0	61.0	6451098.0	657241.0	1624411.0
HSF4_2H_1	45309723.0	81.0	6035176.0	769235.0	1652601.0
HSF4_2H_2	45258458.0	66.0	6000853.0	769590.0	1627406.0
HSF4_2H_3	45913708.0	45.0	4537759.0	538366.0	1813969.0
HSF4_4H_1	45666649.0	44.0	5545943.0	636274.0	1576896.0
HSF4_4H_2	45981107.0	230.0	4361467.0	580779.0	1670961.0
HSF4_4H_3	45974909.0	103.0	4749760.0	528998.0	1686294.0
HSF4_6H_1	46021336.0	147.0	4439017.0	540465.0	1634257.0
HSF4_6H_2	45859299.0	56.0	5034062.0	536764.0	1632016.0
HSF4_6H_3	45636823.0	33.0	5446879.0	603111.0	1643793.0
