Sample	total_reads	Drosophila counts	Drosophila percentage	Human counts	Human percentage	E_coli counts	E_coli percentage	PhiX counts	PhiX percentage	Adapters counts	Adapters percentage	Vectors counts	Vectors percentage	No hits counts	No hits percentage
HSF4_0H_1_fwd_screen	100065	99974.0	99.91	851.0	0.85	0.0	0.0	0.0	0.0	225.0	0.22	350.0	0.35000000000000003	70	0.07
HSF4_0H_2_fwd_screen	99998	99908.0	99.9	872.0	0.8699999999999999	0.0	0.0	0.0	0.0	83.0	0.08	124.0	0.12	79	0.08
HSF4_0H_3_fwd_screen	99951	99850.0	99.89	846.0	0.84	0.0	0.0	0.0	0.0	166.0	0.16	303.0	0.30000000000000004	89	0.09
HSF4_2H_1_fwd_screen	99931	99809.0	99.86999999999999	755.0	0.75	0.0	0.0	0.0	0.0	132.0	0.13	192.0	0.19	99	0.1
HSF4_2H_2_fwd_screen	99964	99831.0	99.87	802.0	0.8	0.0	0.0	0.0	0.0	130.0	0.13	184.0	0.19	99	0.1
HSF4_2H_3_fwd_screen	100085	99979.0	99.89	764.0	0.76	0.0	0.0	0.0	0.0	123.0	0.12	178.0	0.18000000000000002	90	0.09
HSF4_4H_1_fwd_screen	99908	99808.0	99.89999999999999	775.0	0.78	0.0	0.0	0.0	0.0	72.0	0.08	105.0	0.11	89	0.09
HSF4_4H_2_fwd_screen	100094	99986.0	99.9	763.0	0.76	0.0	0.0	0.0	0.0	127.0	0.13	214.0	0.21000000000000002	100	0.1
HSF4_4H_3_fwd_screen	99963	99872.0	99.9	765.0	0.76	0.0	0.0	0.0	0.0	87.0	0.09000000000000001	138.0	0.13999999999999999	79	0.08
HSF4_6H_1_fwd_screen	99997	99906.0	99.91999999999999	822.0	0.83	0.0	0.0	0.0	0.0	123.0	0.12	182.0	0.18000000000000002	79	0.08
HSF4_6H_2_fwd_screen	99927	99830.0	99.9	867.0	0.86	0.0	0.0	0.0	0.0	92.0	0.09000000000000001	134.0	0.13	89	0.09
HSF4_6H_3_fwd_screen	100086	99978.0	99.89000000000001	823.0	0.8300000000000001	0.0	0.0	0.0	0.0	125.0	0.13	192.0	0.19	100	0.1
