Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HSF4_0H_1_1	HSF4_0H_1_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75486240.0	10.6 Gbp	0.0	25-142	49.0	22.601498530121145	140.9599080640392	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_1_1.sub	HSF4_0H_1_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49993949.0	7.4 Gbp	0.0	25-150	49.0	28.56291412040265	149.92094852319028	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_0H_1_2	HSF4_0H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75486240.0	10.6 Gbp	0.0	25-142	49.0	22.940676736248886	140.95723650429537	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_1_2.sub	HSF4_0H_1_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49993949.0	7.4 Gbp	0.0	25-150	49.0	28.821891015149355	149.91470212725145	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75778540.0	11.3 Gbp	0.0	150.0	49.0	23.980324949660194	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75778540.0	11.3 Gbp	0.0	150.0	49.0	24.314790966577586	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_2_1	HSF4_0H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60409039.0	8.5 Gbp	0.0	25-142	49.0	24.839377087508748	141.244607226743	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_2_1.sub	HSF4_0H_2_1.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998706.0	7.4 Gbp	0.0	26-150	49.0	28.67192784025304	150.21250628966277	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
HSF4_0H_2_2	HSF4_0H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60409039.0	8.5 Gbp	0.0	25-142	49.0	24.939187299006417	141.2271579340966	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_2_2.sub	HSF4_0H_2_2.sub.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49998706.0	7.4 Gbp	0.0	25-150	49.0	28.707252354532624	150.1926422955826	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
