Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
HSF4_0H_1	53636735	45486183	0	0	45	0	0	0	0	5753654	0	0	704523	0	1692330	84.80416080509002
HSF4_0H_2	53174941	45921738	0	0	66	0	0	0	0	5027091	0	0	563508	0	1662538	86.35973474798966
HSF4_0H_3	54091936	45359125	0	0	61	0	0	0	0	6451098	0	0	657241	0	1624411	83.8556138940932
HSF4_2H_1	53766816	45309723	0	0	81	0	0	0	0	6035176	0	0	769235	0	1652601	84.2707944617736
HSF4_2H_2	53656373	45258458	0	0	66	0	0	0	0	6000853	0	0	769590	0	1627406	84.34870914588282
HSF4_2H_3	52803847	45913708	0	0	45	0	0	0	0	4537759	0	0	538366	0	1813969	86.9514450339196
HSF4_4H_1	53425806	45666649	0	0	44	0	0	0	0	5545943	0	0	636274	0	1576896	85.47676192288048
HSF4_4H_2	52594544	45981107	0	0	230	0	0	0	0	4361467	0	0	580779	0	1670961	87.42562156257121
HSF4_4H_3	52940064	45974909	0	0	103	0	0	0	0	4749760	0	0	528998	0	1686294	86.84331964540127
HSF4_6H_1	52635222	46021336	0	0	147	0	0	0	0	4439017	0	0	540465	0	1634257	87.43448635972315
HSF4_6H_2	53062197	45859299	0	0	56	0	0	0	0	5034062	0	0	536764	0	1632016	86.42555640883094
HSF4_6H_3	53330639	45636823	0	0	33	0	0	0	0	5446879	0	0	603111	0	1643793	85.57336618449294
