Sample	total_reads	mapped_reads	mapped_paired_reads	mapped_bases	sequenced_bases	duplication_rate	mean_insert_size	median_insert_size	mean_mapping_quality	ns	gc_percentage	general_error_rate	homopolymer_indels	mean_coverage	percentage_aligned
HSF4_0H_1	144799333	144799333	144799236	44896325887	20497409435	73.55	685.3724	290.0	77.0079	41143	49.47	0.0	54.09	312.3744	100.0
HSF4_0H_2	118074408	118074408	118074312	38238255342	16719504802	71.81	667.7652	297.0	70.4052	33491	49.93	0.0	52.75	266.0497	100.0
HSF4_0H_3	111913070	111913070	111912994	35515982767	15841725130	69.11	718.2937	293.0	73.6306	31426	48.69	0.0	53.35	247.109	100.0
HSF4_2H_1	121173414	121173414	121173288	38918543356	17155221575	71.67	683.2103	294.0	76.9286	34349	49.49	0.0	51.78	270.7829	100.0
HSF4_2H_2	115025948	115025948	115025862	35508441140	16282824807	69.57	664.5866	294.0	78.442	32272	48.7	0.0	53.28	247.0565	100.0
HSF4_2H_3	110275762	110275762	110275686	34136894138	15611163006	70.85	653.4836	296.0	69.5707	31248	49.33	0.0	54.05	237.5137	100.0
HSF4_4H_1	102512057	102512057	102511998	32655798256	14514511641	69.14	677.2998	300.0	73.4175	248463	48.99	0.0	53.19	227.2087	100.0
HSF4_4H_2	99844142	99844142	99843922	31405750836	14114656175	67.89	672.1222	295.0	74.4275	241058	48.74	0.0	54.2	218.5113	100.0
HSF4_4H_3	100614674	100614674	100614550	32536085137	14237525888	69.21	677.1885	303.0	70.7288	243646	49.9	0.0	53.2	226.3758	100.0
HSF4_6H_1	98464889	98464889	98464748	28586219268	13929120496	69.54	613.9188	295.0	69.2158	237279	49.02	0.0	55.05	198.8939	100.0
HSF4_6H_2	103289565	103289565	103289480	31836921685	14625006248	70.62	656.7837	305.0	70.3441	248681	49.9	0.0	51.43	221.5112	100.0
HSF4_6H_3	105956062	105956062	105956002	34033893598	15003129075	71.13	707.3496	310.0	69.8144	257230	50.38	0.0	51.13	236.7971	100.0
