Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
HSF4_0H_1	49993949.0	298.0	47883074.0	95.78	298.27	26349450.0	25990961.0	25799580.0	516685.0	9442.0	23743.0	0.32	0.02	2.83	0.02	2.05	1406735.0	2.81	519315.0	1.04	0.0	0.28	0.09	0	139868	44957	98.59	49289809.0
HSF4_0H_2	49998706.0	299.0	48147844.0	96.3	298.86	27069879.0	26715566.0	26468673.0	565058.0	9985.0	26163.0	0.32	0.02	2.82	0.02	2.01	1273103.0	2.55	414546.0	0.83	0.0	0.23	0.09	0	117309	45904	98.85	49420947.0
HSF4_0H_3	49997292.0	299.0	47640834.0	95.29	298.43	26228845.0	25874510.0	25624910.0	570181.0	9282.0	24472.0	0.31	0.02	2.81	0.03	1.95	1574762.0	3.15	608425.0	1.22	0.0	0.26	0.09	0	128716	44555	98.44000000000001	49215596.0
HSF4_2H_1	49997998.0	299.0	47731638.0	95.47	298.76	26041855.0	25662643.0	25377808.0	628829.0	9542.0	25676.0	0.32	0.02	2.82	0.03	2.14	1493229.0	2.99	591847.0	1.18	0.0	0.28	0.09	0	137188	44096	98.46	49224867.0
HSF4_2H_2	49997346.0	299.0	47655508.0	95.32	298.72	25766818.0	25373653.0	25172956.0	559715.0	8940.0	25207.0	0.32	0.02	2.83	0.03	2.01	1503913.0	3.01	636839.0	1.27	0.0	0.31	0.09	0	155842	45244	98.33	49159421.0
HSF4_2H_3	49996448.0	299.0	48266079.0	96.54	298.7	26145393.0	25779845.0	25197311.0	908836.0	8688.0	30558.0	0.33	0.02	2.8	0.02	1.98	1207421.0	2.42	370154.0	0.74	0.0	0.23	0.07	0	117142	35652	98.96000000000001	49473500.0
HSF4_4H_1	49998688.0	299.0	47879855.0	95.76	298.87	26232817.0	25885761.0	25451588.0	747616.0	9536.0	24077.0	0.32	0.02	2.79	0.03	2.01	1412181.0	2.82	558623.0	1.12	0.0	0.23	0.07	0	113489	34540	98.58	49292036.0
HSF4_4H_2	49999330.0	298.0	48233071.0	96.47	298.13	26541563.0	26166845.0	25429912.0	1076237.0	8214.0	27200.0	0.32	0.02	2.77	0.03	1.77	1179949.0	2.36	422414.0	0.84	0.0	0.25	0.08	0	124164	39732	98.83	49413020.0
HSF4_4H_3	49999324.0	299.0	48190302.0	96.38	298.7	27498578.0	27129564.0	26569058.0	892608.0	9377.0	27535.0	0.32	0.02	2.81	0.02	2.11	1248385.0	2.5	415866.0	0.83	0.0	0.22	0.07	0	109826	34945	98.88	49438687.0
HSF4_6H_1	50000194.0	299.0	48196203.0	96.39	298.43	26198132.0	25903902.0	25190090.0	976093.0	9455.0	22494.0	0.32	0.02	2.8	0.03	1.91	1173070.0	2.35	472695.0	0.95	0.0	0.23	0.08	0	117393	40833	98.74	49369273.0
HSF4_6H_2	49997726.0	299.0	48028132.0	96.06	298.83	27106030.0	26794463.0	26154917.0	916653.0	10087.0	24373.0	0.33	0.02	2.81	0.02	2.19	1301992.0	2.6	512308.0	1.02	0.0	0.23	0.08	0	115218	40076	98.66	49330124.0
HSF4_6H_3	49998336.0	299.0	47883760.0	95.77	298.76	27126660.0	26777136.0	26411356.0	680487.0	10379.0	24438.0	0.33	0.02	2.87	0.02	2.2	1368721.0	2.74	587643.0	1.18	0.0	0.24	0.08	0	118659	39553	98.50999999999999	49252481.0
