Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
HSF4_0H_1	47883074.0	1406735.0	519315.0	139868.0	44957.0
HSF4_0H_2	48147844.0	1273103.0	414546.0	117309.0	45904.0
HSF4_0H_3	47640834.0	1574762.0	608425.0	128716.0	44555.0
HSF4_2H_1	47731638.0	1493229.0	591847.0	137188.0	44096.0
HSF4_2H_2	47655508.0	1503913.0	636839.0	155842.0	45244.0
HSF4_2H_3	48266079.0	1207421.0	370154.0	117142.0	35652.0
HSF4_4H_1	47879855.0	1412181.0	558623.0	113489.0	34540.0
HSF4_4H_2	48233071.0	1179949.0	422414.0	124164.0	39732.0
HSF4_4H_3	48190302.0	1248385.0	415866.0	109826.0	34945.0
HSF4_6H_1	48196203.0	1173070.0	472695.0	117393.0	40833.0
HSF4_6H_2	48028132.0	1301992.0	512308.0	115218.0	40076.0
HSF4_6H_3	47883760.0	1368721.0	587643.0	118659.0	39553.0
