.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	1	1
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	1	1
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
