Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1 - illumina_universal_adapter	(1, 0.00013196348200955046)	(2, 0.00020982193639518522)	(3, 0.00042756168171094347)	(4, 0.0009897261150716285)	(5, 0.0011995480514668136)	(6, 0.001443680493184482)	(7, 0.0015281371216705943)	(8, 0.0017485161366265435)	(9, 0.0019345846462600097)	(10, 0.0022446988289824533)	(12, 0.0026003404129981917)	(14, 0.00298831305010627)	(16, 0.003307664676569382)	(18, 0.0035630140142578625)	(20, 0.0037609592372721884)	(22, 0.003949667016545845)	(24, 0.004123198995388404)	(26, 0.004245925033657286)	(28, 0.0043818474201271235)	(30, 0.004528986702567772)	(32, 0.004654352010476845)	(34, 0.004810068919248114)	(36, 0.0049697447324796706)	(38, 0.005174288129594473)	(40, 0.005406543857931283)	(42, 0.005641438855908282)	(44, 0.00589150965431638)	(46, 0.006187767671427822)	(48, 0.006551327064364133)	(50, 0.007047509756720043)	(52, 0.0076189116338213955)	(54, 0.008220005294374898)	(56, 0.008898957409314037)	(58, 0.009769916390577069)	(60, 0.010888306900608009)	(62, 0.012240272773795854)	(64, 0.013643044587557374)	(66, 0.015249699981023653)	(68, 0.01726676180353963)	(70, 0.019690930968055072)	(72, 0.022588189215574754)	(74, 0.025928184945236472)	(76, 0.029846840543510077)	(78, 0.03438440487240847)	(80, 0.03961807656890724)	(82, 0.04606581229989387)	(84, 0.05358443168738801)	(86, 0.06241872699051737)	(88, 0.07250799500755754)	(90, 0.0841887426176329)	(92, 0.09723993098837745)	(94, 0.11226463323257482)	(96, 0.12900750001253652)	(98, 0.14783868889529939)	(100, 0.16933422047983504)	(102, 0.1931351540950776)	(104, 0.2197911176435967)	(106, 0.24954690338452024)	(108, 0.2825925387319418)	(110, 0.318561825023285)	(112, 0.3575867257405593)	(114, 0.4013497752793865)	(116, 0.4487484187475768)	(118, 0.49987239131289674)	(120, 0.5556394989927227)	(122, 0.6160484221522347)	(124, 0.6816382316154415)	(126, 0.7523581214417696)	(128, 0.8287715756993999)	(130, 0.9110303523926431)	(132, 0.9994881136532849)	(134, 1.0954862682759525)	(136, 1.1981175673218303)	(138, 1.3080240131308942)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1 - polya	(1, 0.009699315927701959)	(2, 0.010929215580030969)	(3, 0.011570558102597384)	(4, 0.012243571860846092)	(5, 0.013122448651029697)	(6, 0.013920827717187478)	(7, 0.01481554012521223)	(8, 0.017326805187853976)	(9, 0.020430586284718603)	(10, 0.02380423270229276)	(12, 0.027061751255698513)	(14, 0.03020050267529567)	(16, 0.03316374266382013)	(18, 0.03693855806670332)	(20, 0.04038214512974254)	(22, 0.043554547237252134)	(24, 0.04701660918777269)	(26, 0.050461515885632004)	(28, 0.053854297008097546)	(30, 0.05746943659774918)	(32, 0.060745430038636264)	(34, 0.06379840519492722)	(36, 0.06738451281853675)	(38, 0.07093301084977356)	(40, 0.07418393122907883)	(42, 0.07748235846190756)	(44, 0.08044229936338176)	(46, 0.08365495033290428)	(48, 0.08728394608816692)	(50, 0.09065363360128079)	(52, 0.09363930738174686)	(54, 0.09677146062724354)	(56, 0.10026849290049664)	(58, 0.10322051599305028)	(60, 0.10638697974386943)	(62, 0.10954354623353788)	(64, 0.11275883647270057)	(66, 0.11595433218956185)	(68, 0.119037658946715)	(70, 0.12215925511365092)	(72, 0.12500240833354667)	(74, 0.12808177618623953)	(76, 0.1318407559712816)	(78, 0.13485282244814956)	(80, 0.1379236126745118)	(82, 0.14092644170763913)	(84, 0.14400778901256212)	(86, 0.14733788748107313)	(88, 0.15040999734225546)	(90, 0.15355930584041338)	(92, 0.15676601845324548)	(94, 0.1602221420470756)	(96, 0.16351990946249426)	(98, 0.1666223709245388)	(100, 0.16988780728686512)	(102, 0.17317765689336323)	(104, 0.1764035042110867)	(106, 0.17954093599586374)	(108, 0.18247976274021643)	(110, 0.18558750274154134)	(112, 0.18906342085767291)	(114, 0.1923314964896394)	(116, 0.19571504016836427)	(118, 0.19944366835254412)	(120, 0.2024306617678303)	(122, 0.20560240405792984)	(124, 0.20884936553277483)	(126, 0.21173012834504334)	(128, 0.21483984779859838)	(130, 0.21806305584668167)	(132, 0.22134696709648932)	(134, 0.22514685556095432)	(136, 0.22916118468368485)	(138, 0.2325236142052882)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - illumina_universal_adapter	(1, 0.00013328311682964596)	(2, 0.00021510047567556726)	(3, 0.00043811876027170755)	(4, 0.0010055617329127746)	(5, 0.0012180229389481508)	(6, 0.0014581964762055326)	(7, 0.0015426531046916448)	(8, 0.001765671389287785)	(9, 0.0019491006292810603)	(10, 0.0022526166379030262)	(12, 0.0026141965786091945)	(14, 0.003007447754997655)	(16, 0.003330098468511006)	(18, 0.003591386162889916)	(20, 0.0037926304729544802)	(22, 0.004003772044169761)	(24, 0.0041766442056022715)	(26, 0.00433566020142378)	(28, 0.004501934188755814)	(30, 0.004664249271627561)	(32, 0.004803470745147637)	(34, 0.004971724184709814)	(36, 0.005151194520242802)	(38, 0.005384769883399707)	(40, 0.005648696847418808)	(42, 0.005907345272157526)	(44, 0.006187767671427822)	(46, 0.0065189960112717925)	(48, 0.006920164996580826)	(50, 0.0074711125339706995)	(52, 0.008085402542725157)	(54, 0.008740601230902575)	(56, 0.00949345289576706)	(58, 0.010417197269833913)	(60, 0.011584414268208387)	(62, 0.013020836769882343)	(64, 0.014500147403209405)	(66, 0.016176743442140745)	(68, 0.018274302988682548)	(70, 0.020802063486575484)	(72, 0.02377520073625066)	(74, 0.027211529807779355)	(76, 0.031210683130078777)	(78, 0.03580895066070157)	(80, 0.04115083241244817)	(82, 0.04770281929422235)	(84, 0.05530127658833226)	(86, 0.0642747933649817)	(88, 0.07449338559439124)	(90, 0.08629751906014552)	(92, 0.09950640379189148)	(94, 0.11468550331004002)	(96, 0.13160652079071464)	(98, 0.15065149051433296)	(100, 0.17236410202677432)	(102, 0.19635044433424026)	(104, 0.2231845585834723)	(106, 0.2532392416111474)	(108, 0.286561340453379)	(110, 0.32284799891895516)	(112, 0.36215992020960025)	(114, 0.40621592867848866)	(116, 0.45395107902580334)	(118, 0.5053858255912558)	(120, 0.5616002894750941)	(122, 0.6223483587833707)	(124, 0.6883063463613841)	(126, 0.7593304120137443)	(128, 0.8362308115199897)	(130, 0.9188604055976798)	(132, 1.0077140573043504)	(134, 1.1041516503221096)	(136, 1.2072969471304145)	(138, 1.3176144591859384)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - polya	(1, 0.007279105667646803)	(2, 0.00852484093781696)	(3, 0.00923480447102834)	(4, 0.010070133312148795)	(5, 0.011047982713839565)	(6, 0.011911023886182025)	(7, 0.012884914383412507)	(8, 0.015586206860148005)	(9, 0.018901129528227912)	(10, 0.02246678281212597)	(12, 0.025563305917480066)	(14, 0.02857471257693801)	(16, 0.0314983635208596)	(18, 0.035152432337704057)	(20, 0.03851024313743706)	(22, 0.0414510493340199)	(24, 0.04482271629936391)	(26, 0.0482174768740596)	(28, 0.05168415754645049)	(30, 0.05502085418906197)	(32, 0.058127934372976836)	(34, 0.061234354739481654)	(36, 0.06465748746280939)	(38, 0.06815781882311273)	(40, 0.07134143782659313)	(42, 0.07447293125467976)	(44, 0.07747246120075685)	(46, 0.08058745919359228)	(48, 0.08406073804008364)	(50, 0.08735454655104202)	(52, 0.09035275686229902)	(54, 0.09335492607801628)	(56, 0.09682226656781723)	(58, 0.09972678280684744)	(60, 0.10290446345363741)	(62, 0.10607092720445657)	(64, 0.10916019231830014)	(66, 0.11226067432811454)	(68, 0.11533674309375716)	(70, 0.11845899907810312)	(72, 0.12132722535958068)	(74, 0.12450688545860081)	(76, 0.1282275958338601)	(78, 0.1310839454019568)	(80, 0.13405378356458175)	(82, 0.13701768337051623)	(84, 0.1399974187942919)	(86, 0.1431948939633833)	(88, 0.14618386683089962)	(90, 0.14924541961352117)	(92, 0.15233534454477482)	(94, 0.1555130251915648)	(96, 0.15863924008037106)	(98, 0.16168891614961173)	(100, 0.16474123148849265)	(102, 0.16788196236031994)	(104, 0.17096330966524298)	(106, 0.1740895245540492)	(108, 0.17682578735351723)	(110, 0.17982069857772398)	(112, 0.18315475595069527)	(114, 0.18619717402842545)	(116, 0.18937023595334512)	(118, 0.1929299508805527)	(120, 0.19587735525123603)	(122, 0.1988518121357313)	(124, 0.2018750955085701)	(126, 0.204664803518252)	(128, 0.20787019649626398)	(130, 0.2110663520305353)	(132, 0.21436213999372383)	(134, 0.2180195078976185)	(136, 0.22178772512640121)	(138, 0.2251052870641213)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - polyg	(1, 0.06480726601489023)	(2, 0.06744653565508124)	(3, 0.06811691014368976)	(4, 0.06856954488698251)	(5, 0.06900370474279394)	(6, 0.06946029839054699)	(7, 0.06993932583024165)	(8, 0.07050412953324252)	(9, 0.07123520722357543)	(10, 0.07223812968684801)	(12, 0.07339083070220144)	(14, 0.07416347688936736)	(16, 0.0747540134713601)	(18, 0.07529638338241934)	(20, 0.0758413925631188)	(22, 0.07639102046568857)	(24, 0.07687400680984352)	(26, 0.07724482419429035)	(28, 0.07766380824967067)	(30, 0.07804650234749838)	(32, 0.07841995900158541)	(34, 0.0787472284369691)	(36, 0.07912794308256665)	(38, 0.07949282211032306)	(40, 0.07983130844167755)	(42, 0.08023445687921674)	(44, 0.08056898430611094)	(46, 0.08098071036998074)	(48, 0.08133833140622662)	(50, 0.08169595244247249)	(52, 0.08210174014965187)	(54, 0.08251148676129152)	(56, 0.08295092515638332)	(58, 0.08331976308860002)	(60, 0.08372819006541957)	(62, 0.08418742298281282)	(64, 0.08457605543733093)	(66, 0.08496864679630936)	(68, 0.08533154637183563)	(70, 0.0856918066777217)	(72, 0.08609363548044077)	(74, 0.08645587523855698)	(76, 0.08696393464429375)	(78, 0.08741524975276642)	(80, 0.08804603519677207)	(82, 0.08911230013140924)	(84, 0.08983150110836129)	(86, 0.09056323861610424)	(88, 0.09134710169924097)	(90, 0.09211512916453657)	(92, 0.09286336210753071)	(94, 0.0936261110335459)	(96, 0.09423050378114965)	(98, 0.09484149470285386)	(100, 0.09545116598973799)	(102, 0.09599287608338719)	(104, 0.09654646289041727)	(106, 0.09710136933226743)	(108, 0.09765297668706734)	(110, 0.09817885116287539)	(112, 0.09872386034357485)	(114, 0.09934606816124988)	(116, 0.09998543123158615)	(118, 0.10063271211084299)	(120, 0.10134003637441419)	(122, 0.10211334237899014)	(124, 0.10288005020946564)	(126, 0.1038163311143234)	(128, 0.10480605722939501)	(130, 0.10588221942518292)	(132, 0.1069808154129124)	(134, 0.10818894109070985)	(136, 0.10953694805943741)	(138, 0.11112710801765249)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1 - illumina_universal_adapter	(1, 5.938262752324413e-05)	(2, 9.072345871606743e-05)	(3, 0.00013855946422090297)	(4, 0.00032660445137784274)	(5, 0.0004107298403691053)	(6, 0.0005146494385347825)	(7, 0.0005509388220212095)	(8, 0.0006466108330308805)	(9, 0.0007092924954165272)	(10, 0.0008519757532154332)	(12, 0.0009501220403719062)	(14, 0.0010639387431247908)	(16, 0.0011587859954188613)	(18, 0.001261056076153337)	(20, 0.0013278615321169868)	(22, 0.0014408534761542707)	(24, 0.0015117827256959236)	(26, 0.0015827119752375763)	(28, 0.0016412698440452199)	(30, 0.001736941855054891)	(32, 0.0018128196568901471)	(34, 0.0019126154614778216)	(36, 0.002007462713771892)	(38, 0.002116330864231173)	(40, 0.0022540655697364754)	(42, 0.0024008726211133843)	(44, 0.002567473881664708)	(46, 0.0027530445926748463)	(48, 0.0029905751027678226)	(50, 0.0032825396880904398)	(52, 0.0035736795146974563)	(54, 0.003865644100020073)	(56, 0.004204619932131925)	(58, 0.004611225978923028)	(60, 0.00512587541745781)	(62, 0.005699082724800236)	(64, 0.006301981345904284)	(66, 0.007072305986275256)	(68, 0.007973767262426726)	(70, 0.009061624008303935)	(72, 0.010184120620236369)	(74, 0.01154332298354618)	(76, 0.013054280950526503)	(78, 0.014813491290902609)	(80, 0.01687043952761054)	(82, 0.019338117604687573)	(84, 0.0220639451597476)	(86, 0.025079263023983438)	(88, 0.028693355715745324)	(90, 0.03266786796622468)	(92, 0.037178473381844435)	(94, 0.042478372888293967)	(96, 0.0484430279195176)	(98, 0.055002333984689275)	(100, 0.06247712222417763)	(102, 0.0706438830260549)	(104, 0.07988447967564417)	(106, 0.09003396042982531)	(108, 0.101179749712452)	(110, 0.11366742142536088)	(112, 0.12731305437497303)	(114, 0.14226263085394975)	(116, 0.1588765704210085)	(118, 0.17669218343669732)	(120, 0.19593545378909083)	(122, 0.21731402445617432)	(124, 0.24072727487464451)	(126, 0.26640943651973203)	(128, 0.29418731006116067)	(130, 0.3244988423769144)	(132, 0.3577819803449771)	(134, 0.3941068284561749)	(136, 0.43400040752977653)	(138, 0.477355498932754)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1 - polya	(1, 0.008204699702794898)	(2, 0.009278535550506896)	(3, 0.009888857000051349)	(4, 0.010677326332165536)	(5, 0.011617551267950233)	(6, 0.012429113844101237)	(7, 0.013313255187225094)	(8, 0.01571660208448528)	(9, 0.018657691664317067)	(10, 0.021888271553324668)	(12, 0.024913486522147716)	(14, 0.02778612112858465)	(16, 0.030761025815756064)	(18, 0.03446171817265602)	(20, 0.03758013087634193)	(22, 0.04038266099195281)	(24, 0.04355633252958397)	(26, 0.04658567129198502)	(28, 0.04981130262869902)	(30, 0.05282414621678806)	(32, 0.05582709270028989)	(34, 0.0585339508048911)	(36, 0.06160617702050339)	(38, 0.06474768296822613)	(40, 0.06780588828567319)	(42, 0.0708979087104599)	(44, 0.07382332787469527)	(46, 0.07685679043067432)	(48, 0.08011128832243433)	(50, 0.08337733283621276)	(52, 0.08616254301879603)	(54, 0.08901703293348975)	(56, 0.09208018680323043)	(58, 0.09478127159682245)	(60, 0.09764565861610337)	(62, 0.10056530446932954)	(64, 0.1034635065959501)	(66, 0.10652171191339715)	(68, 0.10923846712258559)	(70, 0.11217378339140817)	(72, 0.11497466398958786)	(74, 0.11795286771162167)	(76, 0.12124530450429931)	(78, 0.1239307188822949)	(80, 0.12677366217497021)	(82, 0.12966856526672838)	(84, 0.1324141870309628)	(86, 0.1356488907135484)	(88, 0.13843904944842528)	(90, 0.14125560046220137)	(92, 0.14403173829891305)	(94, 0.14690272338791877)	(96, 0.14985288531362218)	(98, 0.15266366301638906)	(100, 0.15561877349438608)	(102, 0.15855738879807102)	(104, 0.16136651698340673)	(106, 0.16421853262195366)	(108, 0.1669410611421513)	(110, 0.16978647871097338)	(112, 0.1730195328761278)	(114, 0.17596474624953756)	(116, 0.17899490977065424)	(118, 0.18219414882846902)	(120, 0.18508575288536477)	(122, 0.18800952253216893)	(124, 0.19109082109365283)	(126, 0.19370695573953794)	(128, 0.19664804531936975)	(130, 0.19969965256709202)	(132, 0.2029038401772004)	(134, 0.20659628494694435)	(136, 0.21048832132586365)	(138, 0.2136776632790912)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2 - illumina_universal_adapter	(1, 5.938262752324413e-05)	(2, 9.072345871606743e-05)	(3, 0.0001402089816521042)	(4, 0.00032660445137784274)	(5, 0.00040908032293790405)	(6, 0.0005047523339475751)	(7, 0.0005393922000028009)	(8, 0.000635064211012472)	(9, 0.0007026944256917222)	(10, 0.0008453776834906283)	(12, 0.0009501220403719062)	(14, 0.0010688872954183943)	(16, 0.001176105928446474)	(18, 0.0012750769743185477)	(20, 0.001346830982575801)	(22, 0.0014606476853286855)	(24, 0.0015480721091823504)	(26, 0.001636321291751616)	(28, 0.0017154981284492749)	(30, 0.0018161186917525496)	(32, 0.001909316426615419)	(34, 0.002036329268817913)	(36, 0.0021641668697360084)	(38, 0.0023002520578101096)	(40, 0.00247592566423304)	(42, 0.002659846857811977)	(44, 0.0028627375018497278)	(46, 0.0030870718724930945)	(48, 0.003369139353228504)	(50, 0.003716362772496362)	(52, 0.004045441500021007)	(54, 0.004376994503692453)	(56, 0.00477700248075875)	(58, 0.0052479397073667)	(60, 0.005846714534892746)	(62, 0.006479304469758415)	(64, 0.00714405999453251)	(66, 0.007946550224811905)	(68, 0.008881826608303)	(70, 0.010030715499134655)	(72, 0.011230739430333547)	(74, 0.01263612828171699)	(76, 0.014213891704660964)	(78, 0.016066299779899942)	(80, 0.018209847681745932)	(82, 0.020750104525795822)	(84, 0.02356253174599391)	(86, 0.0266430055487622)	(88, 0.030373389219423775)	(90, 0.0344460477570596)	(92, 0.03907706794515704)	(94, 0.044433051044267424)	(96, 0.05047523339475751)	(98, 0.05711948960763605)	(100, 0.06464871192235405)	(102, 0.07288062866276376)	(104, 0.08215586517840825)	(106, 0.09236060476653465)	(108, 0.10362845833907022)	(110, 0.1162645866207872)	(112, 0.13002486103186783)	(114, 0.14501732496405578)	(116, 0.16168487384762859)	(118, 0.1796299739816667)	(120, 0.19896561731020745)	(122, 0.22043326191857582)	(124, 0.24385805895906443)	(126, 0.269589706127088)	(128, 0.29741788995016827)	(130, 0.327770660201702)	(132, 0.3610867885183887)	(134, 0.3974446269782106)	(136, 0.43735222694997744)	(138, 0.48083103216029494)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2 - polya	(1, 0.006738278706457008)	(2, 0.007950674018389909)	(3, 0.008574191607383973)	(4, 0.00929832975968131)	(5, 0.010296287805558052)	(6, 0.011190326253269116)	(7, 0.012130551189053816)	(8, 0.014538846638607605)	(9, 0.017468389596420983)	(10, 0.02059834892212531)	(12, 0.023367888689112166)	(14, 0.026088767691878588)	(16, 0.028961402298315526)	(18, 0.03259363968182062)	(20, 0.03574009418183696)	(22, 0.03855334616075065)	(24, 0.04165856272498696)	(26, 0.0446697567956448)	(28, 0.047706518386486256)	(30, 0.05083317867732818)	(32, 0.05373632935624234)	(34, 0.05643493987368754)	(36, 0.05956737347553867)	(38, 0.06250104022693005)	(40, 0.06526810571777011)	(42, 0.06805743969393138)	(44, 0.07084677367009265)	(46, 0.07374250152056641)	(48, 0.07686586277654592)	(50, 0.08012036066830594)	(52, 0.08287670429584319)	(54, 0.08565779068484847)	(56, 0.0887902242866996)	(58, 0.09144512259221796)	(60, 0.09437219127388453)	(62, 0.09716647380233942)	(64, 0.10015292511152923)	(66, 0.10302391020053497)	(68, 0.10581159465926504)	(70, 0.10878484982900524)	(72, 0.11151067738406528)	(74, 0.11425135059600611)	(76, 0.11736234047125163)	(78, 0.1198984735217235)	(80, 0.12264492004467356)	(82, 0.12543672829698163)	(84, 0.12800255266121513)	(86, 0.13104178852820342)	(88, 0.13367359358968495)	(90, 0.13636972983098333)	(92, 0.13914916670255742)	(94, 0.14203994600073755)	(96, 0.145047841036533)	(98, 0.14792707371269476)	(100, 0.15076836748793887)	(102, 0.15354038153107252)	(104, 0.1563346640595274)	(106, 0.15914791603844108)	(108, 0.161729410818271)	(110, 0.16452946665773507)	(112, 0.16761406425408137)	(114, 0.1704825750669403)	(116, 0.17341459230090048)	(118, 0.1765371287981644)	(120, 0.1792332650394628)	(122, 0.18209352826516573)	(124, 0.1851055470945392)	(126, 0.18777859009180076)	(128, 0.19069163787530213)	(130, 0.19363355221384954)	(132, 0.19663814821478254)	(134, 0.20003367984691028)	(136, 0.20378303296803066)	(138, 0.2068156707652941)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1 - illumina_universal_adapter	(1, 9.938669158051126e-05)	(2, 0.00020391407410484205)	(3, 0.0004917927669587368)	(4, 0.0011566554623593983)	(5, 0.0013897001184792178)	(6, 0.0017067093933480898)	(7, 0.0018437944851832778)	(8, 0.0021453816872206914)	(9, 0.0023698585251008117)	(10, 0.0028308071463966312)	(12, 0.003195796203407819)	(14, 0.0036216167699208712)	(16, 0.003996887208819699)	(18, 0.004308755792744751)	(20, 0.00455722252169603)	(22, 0.004801405341527457)	(24, 0.005007889761104209)	(26, 0.005145831634763367)	(28, 0.005262353962823277)	(30, 0.005384873763650976)	(32, 0.005489401146175308)	(34, 0.005632483710778284)	(36, 0.005772139148085382)	(38, 0.0059469226401752465)	(40, 0.006122562914089082)	(42, 0.006313625260834375)	(44, 0.006532961407770675)	(46, 0.0067865688276657725)	(48, 0.0070590254476882094)	(50, 0.007437723013882916)	(52, 0.007872968180459638)	(54, 0.008320208292571938)	(56, 0.008814571405002584)	(58, 0.009466582373043698)	(60, 0.01024625383285633)	(62, 0.011103035656826254)	(64, 0.012186864664148207)	(66, 0.01341634658154505)	(68, 0.01488315706418156)	(70, 0.016661836130743124)	(72, 0.018720682853742853)	(74, 0.021111104142618943)	(76, 0.023948765543607333)	(78, 0.027270508675138732)	(80, 0.031196282992568925)	(82, 0.03600368580686417)	(84, 0.041508509025870936)	(86, 0.04805432216100117)	(88, 0.05557772335728107)	(90, 0.06416096366981178)	(92, 0.07379290493488166)	(94, 0.08496619670127345)	(96, 0.0976191506776613)	(98, 0.11185543746474558)	(100, 0.12808202842891198)	(102, 0.14620125044222793)	(104, 0.1667280293808994)	(106, 0.18998622877438698)	(108, 0.2153658199640241)	(110, 0.24382211468353718)	(112, 0.27491729742087767)	(114, 0.3093582131808207)	(116, 0.34737276592854227)	(118, 0.388003930366668)	(120, 0.4321761740832614)	(122, 0.4809767532129404)	(124, 0.5336808303326264)	(126, 0.5909027180101056)	(128, 0.6530759478483072)	(130, 0.7205235265948677)	(132, 0.7926020110999855)	(134, 0.8719948420363346)	(136, 0.9576250446511847)	(138, 1.0480489415711467)
