Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05955643906573022)	(3, 0.0)	(4, 0.0016574613340399537)	(5, 0.0)	(6, 0.005498918295337968)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00017894248160495041)	(20, 6.756530278888983e-05)	(25, 0.00017683106589279764)	(30, 0.0011657654000723687)	(35, 0.0015057033297289709)	(40, 0.0027340194202738663)	(45, 0.0003391461487645447)	(50, 0.003312811252367755)	(55, 0.0006270904665093837)	(60, 0.0007630128529792209)	(65, 4.011689853090334e-05)	(70, 0.0)	(75, 0.0002296164586966178)	(80, 7.917808920573028e-07)	(85, 0.0)	(90, 1.0293151596744936e-05)	(95, 0.00013592238646983697)	(100, 0.0006611370448678478)	(105, 0.0)	(110, 2.639269640191009e-07)	(115, 0.0)	(120, 4.513151084726626e-05)	(125, 2.8504112114062903e-05)	(130, 0.0)	(135, 2.639269640191009e-07)	(140, 0.00033624295216033457)	(145, 6.650959493281343e-05)	(150, 0.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1, 0.010883028361327627)	(2, 0.011479503300010794)	(3, 0.002030917988126982)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000920313323534605)	(15, 0.0010237726934300925)	(20, 0.0029195600759792943)	(25, 0.0003808466090795626)	(30, 8.97351677664943e-06)	(35, 4.961826923559097e-05)	(40, 0.0)	(45, 6.862101064496623e-06)	(50, 6.914886457300444e-05)	(55, 0.00040433610887726255)	(60, 0.00015967581323155606)	(65, 0.0016007170367758469)	(70, 0.0050032634569100965)	(75, 0.005186164842975333)	(80, 0.0016329161263861774)	(85, 0.000355773547497748)	(90, 0.0005745690006695827)	(95, 9.263836437070443e-05)	(100, 2.639269640191009e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.653881956553927e-06)	(130, 0.004906930115043125)	(135, 0.0016748805136652146)	(140, 0.004745406813063434)	(145, 0.002290358193757758)	(150, 0.002722406633857026)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.060184292994807924)	(3, 0.0)	(4, 0.0015373502458795427)	(5, 0.0)	(6, 0.00547639787158807)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001854057592670178)	(20, 7.026944256917222e-05)	(25, 0.0001751787511935702)	(30, 0.0011906216818410448)	(35, 0.0015700106910173268)	(40, 0.002845747472308355)	(45, 0.00037543016734139904)	(50, 0.003340932605154963)	(55, 0.0006297857552326281)	(60, 0.0007894590425729067)	(65, 4.585658458739408e-05)	(70, 0.0)	(75, 0.0002299427299094509)	(80, 6.598069724804903e-07)	(85, 0.0)	(90, 1.3196139449609807e-05)	(95, 0.0001642919361476421)	(100, 0.0006931272245907552)	(105, 0.0)	(110, 6.598069724804903e-07)	(115, 0.0)	(120, 4.981542642227702e-05)	(125, 2.8371699816661085e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00033650155596505005)	(145, 6.664050422052952e-05)	(150, 0.0)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(1, 0.01059155142574307)	(2, 0.011360226548682843)	(3, 0.0020998356899191604)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009273586998213292)	(15, 0.001060309804776148)	(20, 0.0029486773600153116)	(25, 0.00038994592073596983)	(30, 5.608359266084169e-06)	(35, 5.3774268257159965e-05)	(40, 0.0)	(45, 5.278455779843923e-06)	(50, 6.49909867893283e-05)	(55, 0.00040347196367181983)	(60, 0.00015406492807419452)	(65, 0.0015766087607421318)	(70, 0.004961748433053288)	(75, 0.0052481046591098205)	(80, 0.0016587547288159526)	(85, 0.0003582751860569063)	(90, 0.0006020738623884475)	(95, 8.84141343123857e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.257876697285393e-06)	(130, 0.004907974164796127)	(135, 0.0017283643644126444)	(140, 0.00477601277030003)	(145, 0.002347593208085585)	(150, 0.002863562260565328)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05984621040429924)	(3, 0.0)	(4, 0.0016758652476851726)	(5, 0.0)	(6, 0.005433710327617262)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001898628521917353)	(20, 7.094153502470975e-05)	(25, 0.00016415939747263758)	(30, 0.0011467167932013472)	(35, 0.0015151329775084147)	(40, 0.002798249437085774)	(45, 0.0003656744824703638)	(50, 0.003284901513100691)	(55, 0.0006158547750695819)	(60, 0.0007707609288433441)	(65, 3.8041112984264655e-05)	(70, 0.0)	(75, 0.00020974019050783757)	(80, 3.4271272958796986e-07)	(85, 0.0)	(90, 1.1652232805990976e-05)	(95, 0.00015696243015129018)	(100, 0.0006792566300433563)	(105, 0.0)	(110, 3.4271272958796986e-07)	(115, 0.0)	(120, 4.763706941272781e-05)	(125, 3.769840025467668e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0003386001768329142)	(145, 7.539680050935337e-05)	(150, 0.0)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(1, 0.010709772799624059)	(2, 0.011467167932013472)	(3, 0.0021333867416851123)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009455444209332088)	(15, 0.0010696064290440538)	(20, 0.0029315646888954943)	(25, 0.0004040583081842165)	(30, 5.826116402995488e-06)	(35, 4.592350576478796e-05)	(40, 0.0)	(45, 9.253243698875186e-06)	(50, 6.785712045841803e-05)	(55, 0.00039172064991904954)	(60, 0.00015387801558499844)	(65, 0.001569281588783314)	(70, 0.004964879313540919)	(75, 0.005196553118742387)	(80, 0.0016597577493945377)	(85, 0.00033928560229209016)	(90, 0.0005846679166770766)	(95, 8.567818239699246e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 3.4271272958796986e-07)	(125, 6.854254591759396e-06)	(130, 0.004829165072624083)	(135, 0.001660100462124126)	(140, 0.004747256730252558)	(145, 0.0023095410846933288)	(150, 0.0028136715099172324)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05979234538189981)	(3, 0.0)	(4, 0.0015604530782700105)	(5, 0.0)	(6, 0.005515091585738328)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00016994084700913933)	(20, 6.963741475186535e-05)	(25, 0.00016035771653869914)	(30, 0.001126976143323766)	(35, 0.0015039126084944133)	(40, 0.00276217763926321)	(45, 0.0003449926969358467)	(50, 0.00326369480054958)	(55, 0.0005855292717438955)	(60, 0.0007724003159174792)	(65, 4.120746102289281e-05)	(70, 0.0)	(75, 0.00021977312545542828)	(80, 1.5971884117400314e-06)	(85, 0.0)	(90, 1.0541443517484206e-05)	(95, 0.0001482190846094749)	(100, 0.0006804022634012533)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 4.08880233405448e-05)	(125, 3.386039432888866e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0003469093230299348)	(145, 6.484584951664527e-05)	(150, 0.0)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(1, 0.01028749056001754)	(2, 0.011359203984295102)	(3, 0.0020731505584385603)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009135917715152979)	(15, 0.0010308254009370162)	(20, 0.002925090857260693)	(25, 0.0003743809637118633)	(30, 7.666504376352149e-06)	(35, 4.6318463940460904e-05)	(40, 0.0)	(45, 8.305379741048163e-06)	(50, 6.101259732846919e-05)	(55, 0.00039642216379387577)	(60, 0.00014758020924477889)	(65, 0.0015598142029053146)	(70, 0.004997602540334558)	(75, 0.005179362581590573)	(80, 0.0016115631074456913)	(85, 0.0003443538215711507)	(90, 0.0005555021296031828)	(95, 8.017885826934957e-05)	(100, 3.1943768234800626e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 3.1943768234800626e-07)	(125, 6.708191329308131e-06)	(130, 0.004871424655807095)	(135, 0.00163104880606892)	(140, 0.004702761559527348)	(145, 0.002296756936082165)	(150, 0.002756747198663294)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05990552862867075)	(3, 0.0)	(4, 0.0015837093775395716)	(5, 0.0)	(6, 0.005291906944461496)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00018003567897374557)	(20, 7.691822851676817e-05)	(25, 0.00016189775609206226)	(30, 0.001175606112701697)	(35, 0.0015423952198646263)	(40, 0.002761666702466672)	(45, 0.0003462999720558427)	(50, 0.003348462096435205)	(55, 0.0006260942268788465)	(60, 0.0007973968318725224)	(65, 3.728350814568239e-05)	(70, 0.0)	(75, 0.0002106014379039897)	(80, 1.679437303859567e-06)	(85, 0.0)	(90, 1.3435498430876536e-05)	(95, 0.00015182113226890485)	(100, 0.0006996535807878956)	(105, 0.0)	(110, 3.358874607719134e-07)	(115, 0.0)	(120, 4.601658212575213e-05)	(125, 3.4596408459507075e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00032513906202721215)	(145, 6.045974293894441e-05)	(150, 0.0)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(1, 0.010308386171090022)	(2, 0.011363072797913829)	(3, 0.0018876875295381532)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0008978271826433245)	(15, 0.0010268079675797392)	(20, 0.002853363979257404)	(25, 0.0003909730043385072)	(30, 7.725411597754008e-06)	(35, 4.433714482189257e-05)	(40, 0.0)	(45, 9.068961440841663e-06)	(50, 6.012385547817249e-05)	(55, 0.00040205729054398036)	(60, 0.0001481263702004138)	(65, 0.0015565024932170464)	(70, 0.004902277489966076)	(75, 0.005110863603105434)	(80, 0.0016270388599791484)	(85, 0.00034764352189893034)	(90, 0.0005810853071354102)	(95, 8.162065296757496e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 4.366536990034873e-06)	(130, 0.004816626187469238)	(135, 0.0016545816317624453)	(140, 0.004687981289993595)	(145, 0.0022927678072290807)	(150, 0.0028382490435226683)
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.059178236291098286)	(3, 0.0)	(4, 0.0016085442208429142)	(5, 0.0)	(6, 0.005492632946663824)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001738776466294091)	(20, 8.517892810590486e-05)	(25, 0.00016965389812828983)	(30, 0.0011830015593551496)	(35, 0.0015381484124909266)	(40, 0.002783098283195825)	(45, 0.0003579626854698564)	(50, 0.003343096938635886)	(55, 0.0005923807272819748)	(60, 0.0007757618080389021)	(65, 3.76617574683133e-05)	(70, 0.0)	(75, 0.0002294903352274792)	(80, 7.039580835198749e-07)	(85, 0.0)	(90, 1.5487077837437246e-05)	(95, 0.00013727182628637562)	(100, 0.0007088857901045141)	(105, 0.0)	(110, 3.5197904175993744e-07)	(115, 0.0)	(120, 5.209289818047074e-05)	(125, 2.745436525727512e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00032522863458618216)	(145, 6.58200808091083e-05)	(150, 0.0)
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(1, 0.010547051986336525)	(2, 0.011451638123659565)	(3, 0.001979882109899648)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009274647750374351)	(15, 0.0010365782779830158)	(20, 0.002948880411864756)	(25, 0.000382601218393052)	(30, 5.9836437099189365e-06)	(35, 4.998102392991112e-05)	(40, 0.0)	(45, 6.335622751678874e-06)	(50, 6.757997601790799e-05)	(55, 0.00042061495490312525)	(60, 0.0001587425478337318)	(65, 0.001576162149001)	(70, 0.005025908737290147)	(75, 0.005226888770135071)	(80, 0.0016352946280166695)	(85, 0.0003533869579269772)	(90, 0.0005790055236950971)	(95, 8.658684427294462e-05)	(100, 3.5197904175993744e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 3.5197904175993744e-07)	(125, 4.927706584639124e-06)	(130, 0.004906235863091768)	(135, 0.0017194176189972946)	(140, 0.004764740288304273)	(145, 0.00236283530733446)	(150, 0.0029566239507834748)
