Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1, 39.42986297967736)	(2, 39.31558569220257)	(3, 39.48036541743876)	(4, 39.41630462925256)	(5, 39.42695980946585)	(6, 39.46509934078962)	(7, 39.497262417565715)	(8, 39.50277732983507)	(9, 39.48700174218189)	(10, 39.48721275178962)	(15, 39.58942843184891)	(20, 39.614782826378026)	(25, 39.59262962310966)	(30, 39.560062563886824)	(35, 39.545643542353815)	(40, 39.54413868622963)	(45, 39.53458511605)	(50, 39.52639406882213)	(55, 39.517495296161684)	(60, 39.49946850387986)	(65, 39.482279339243014)	(70, 39.48209948885265)	(75, 39.472353180729)	(80, 39.46063388394656)	(85, 39.44982197598423)	(90, 39.43646104820705)	(95, 39.42713914783789)	(100, 39.42179059137323)	(105, 39.41028623407102)	(110, 39.385601744240525)	(115, 39.379596690567006)	(120, 39.36207351316085)	(125, 39.352907569874)	(130, 39.34602929272588)	(135, 39.32687513641725)	(140, 39.305981173561804)	(145, 39.287919286911574)	(150, 39.27810213815151)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1, 39.352760042618925)	(2, 39.29870505554739)	(3, 39.46338691666533)	(4, 39.43518523845933)	(5, 39.47532346228893)	(6, 39.45365495297217)	(7, 39.489752323019154)	(8, 39.48185461213689)	(9, 39.487286136681966)	(10, 39.45363830445929)	(15, 39.468580487298915)	(20, 39.46535374790805)	(25, 39.476299852174506)	(30, 39.44793985473988)	(35, 39.433464862215615)	(40, 39.41674087677065)	(45, 39.394024751598536)	(50, 39.37828765241453)	(55, 39.36667878003456)	(60, 39.342493962010884)	(65, 39.33685895241582)	(70, 39.308300389529805)	(75, 39.286371468756194)	(80, 39.27999230388973)	(85, 39.254180824808714)	(90, 39.23451152529462)	(95, 39.226078377862656)	(100, 39.20484151845628)	(105, 39.18156105937116)	(110, 39.16425557156419)	(115, 39.14156999857743)	(120, 39.12523905052802)	(125, 39.08433052682197)	(130, 39.07191689098259)	(135, 39.05291684162826)	(140, 39.00737779851657)	(145, 38.976896208346055)	(150, 38.981725129568346)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(1, 39.455481380238986)	(2, 39.325035281940714)	(3, 39.4269498091929)	(4, 39.395245242911315)	(5, 39.418659483040244)	(6, 39.4199289516553)	(7, 39.46678806345186)	(8, 39.448594496507155)	(9, 39.43068124855471)	(10, 39.45925814504078)	(15, 39.569695603496655)	(20, 39.59839954251623)	(25, 39.57565457429081)	(30, 39.5365417975923)	(35, 39.52076818158732)	(40, 39.522131926721634)	(45, 39.51199987476864)	(50, 39.50568318302628)	(55, 39.49797806277077)	(60, 39.481525036928154)	(65, 39.46272150153065)	(70, 39.462414915622816)	(75, 39.450778503772554)	(80, 39.43831120359992)	(85, 39.4257175833824)	(90, 39.41139127046674)	(95, 39.402222388236986)	(100, 39.39628903114951)	(105, 39.38555053741196)	(110, 39.357286745726604)	(115, 39.3527928433245)	(120, 39.33474327925154)	(125, 39.32719929705485)	(130, 39.322757380844095)	(135, 39.30488130641649)	(140, 39.28866651047936)	(145, 39.276186924700895)	(150, 39.27081848114711)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(1, 39.39630113200938)	(2, 39.3245640313058)	(3, 39.48860075411648)	(4, 39.4628088500767)	(5, 39.49633299903663)	(6, 39.477758459546024)	(7, 39.51549988023679)	(8, 39.5002102392442)	(9, 39.51034889916403)	(10, 39.470390622717744)	(15, 39.48623708801055)	(20, 39.47935251690215)	(25, 39.48838297492811)	(30, 39.45794774859923)	(35, 39.45050063266416)	(40, 39.43219073845118)	(45, 39.40300232956399)	(50, 39.38646467028101)	(55, 39.374401313834035)	(60, 39.348866724616414)	(65, 39.34118994307037)	(70, 39.31200378082591)	(75, 39.29192599651183)	(80, 39.28400959286759)	(85, 39.25762330171665)	(90, 39.23833652039345)	(95, 39.22940130550397)	(100, 39.20805408556519)	(105, 39.18605780031143)	(110, 39.17003815548255)	(115, 39.150501927535345)	(120, 39.13723993934989)	(125, 39.10154723580384)	(130, 39.095209575395906)	(135, 39.084388744346256)	(140, 39.05063726549203)	(145, 39.032337756640786)	(150, 39.048497231062306)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(1, 39.42485094652287)	(2, 39.33418857295002)	(3, 39.484802249785695)	(4, 39.415982226506586)	(5, 39.42309802231793)	(6, 39.46280701534328)	(7, 39.52308345017267)	(8, 39.491337096113476)	(9, 39.46389536815864)	(10, 39.48115658486354)	(15, 39.587063077683)	(20, 39.611896309384875)	(25, 39.58922191769911)	(30, 39.55300739159388)	(35, 39.540352682928315)	(40, 39.54016328616544)	(45, 39.53015417926007)	(50, 39.52166598346884)	(55, 39.512427109714714)	(60, 39.494667475605794)	(65, 39.476524393932245)	(70, 39.47635727006966)	(75, 39.46607057956184)	(80, 39.45377838214025)	(85, 39.44231699577199)	(90, 39.4280531617357)	(95, 39.41835182799714)	(100, 39.41351288875747)	(105, 39.402314626941596)	(110, 39.375532055515215)	(115, 39.36910331647564)	(120, 39.350878079706554)	(125, 39.34298203667801)	(130, 39.336986366579175)	(135, 39.31751672618044)	(140, 39.29779210065665)	(145, 39.282149869167704)	(150, 39.27260383227543)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(1, 39.3767908153811)	(2, 39.306587552118465)	(3, 39.4821791608247)	(4, 39.45171446669598)	(5, 39.49831542984899)	(6, 39.46340935010117)	(7, 39.49006881911509)	(8, 39.484291128020786)	(9, 39.48791927346821)	(10, 39.45229186567567)	(15, 39.46894946244994)	(20, 39.46330765695292)	(25, 39.47532234959597)	(30, 39.45357042062881)	(35, 39.43718461218474)	(40, 39.4168367909792)	(45, 39.390596747512255)	(50, 39.37321453265105)	(55, 39.35980452282787)	(60, 39.33870005703083)	(65, 39.331744146989216)	(70, 39.30588039867224)	(75, 39.28395794270508)	(80, 39.278309940961904)	(85, 39.251356468978656)	(90, 39.232830481226586)	(95, 39.22442818980816)	(100, 39.203535972858795)	(105, 39.18084325289626)	(110, 39.16329660789451)	(115, 39.14208563383537)	(120, 39.127053831978984)	(125, 39.0886663735102)	(130, 39.07676515647903)	(135, 39.05986947374439)	(140, 39.01695174368295)	(145, 38.990067102124314)	(150, 38.998485980838865)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(1, 39.47930876752142)	(2, 39.332527264285694)	(3, 39.44179049229196)	(4, 39.44657990132283)	(5, 39.43409675585319)	(6, 39.43743989480534)	(7, 39.514567324614056)	(8, 39.47590672426064)	(9, 39.47084408420818)	(10, 39.472534800778945)	(15, 39.58036089142983)	(20, 39.60636049618958)	(25, 39.584045502875654)	(30, 39.548482649446804)	(35, 39.5336188627057)	(40, 39.534444270510626)	(45, 39.52522068312355)	(50, 39.518413229728836)	(55, 39.509345144605525)	(60, 39.491917081452506)	(65, 39.47544095856476)	(70, 39.473530596643634)	(75, 39.46247500220452)	(80, 39.45039177035254)	(85, 39.43935468732713)	(90, 39.42540671564381)	(95, 39.41633482921209)	(100, 39.410387151922535)	(105, 39.399972882935145)	(110, 39.373354814878596)	(115, 39.369057652927474)	(120, 39.3514354387455)	(125, 39.343227126532994)	(130, 39.33857631831812)	(135, 39.32218684929047)	(140, 39.305761504216704)	(145, 39.29478656459802)	(150, 39.28822528265883)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(1, 39.399452892692686)	(2, 39.333361268158654)	(3, 39.49118851118098)	(4, 39.46006186453763)	(5, 39.50604423212061)	(6, 39.47433382908464)	(7, 39.503582629368545)	(8, 39.49379015541298)	(9, 39.501965492073545)	(10, 39.463626875320806)	(15, 39.47548713328175)	(20, 39.46874163482552)	(25, 39.47942816374395)	(30, 39.45489546154281)	(35, 39.42638599338595)	(40, 39.41261431935952)	(45, 39.390471365598174)	(50, 39.374499471897636)	(55, 39.36311232031052)	(60, 39.33986753334582)	(65, 39.334617175739325)	(70, 39.30623251507934)	(75, 39.28397482888562)	(80, 39.276305890394134)	(85, 39.25045992877083)	(90, 39.23118316794687)	(95, 39.22264748641435)	(100, 39.20248683194021)	(105, 39.18000130362518)	(110, 39.16389015106704)	(115, 39.143408979211166)	(120, 39.13036003932981)	(125, 39.09324990962709)	(130, 39.08519035634887)	(135, 39.07358133612509)	(140, 39.036769947737284)	(145, 39.01692075458656)	(150, 39.02964825710568)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(1, 39.461732400374565)	(2, 39.27390779348423)	(3, 39.40807536938426)	(4, 39.381310042717665)	(5, 39.36177046146218)	(6, 39.39358510035469)	(7, 39.44410139884867)	(8, 39.447289373916355)	(9, 39.41204497136753)	(10, 39.43896404716041)	(15, 39.55500389100432)	(20, 39.584911562427045)	(25, 39.562763082804)	(30, 39.52668568607021)	(35, 39.513609640964354)	(40, 39.51423793861297)	(45, 39.50385140150638)	(50, 39.49619269379947)	(55, 39.48971068048062)	(60, 39.473370736305455)	(65, 39.455698501234885)	(70, 39.45484670071099)	(75, 39.44334625330049)	(80, 39.43111787058501)	(85, 39.418385414839406)	(90, 39.40318403510776)	(95, 39.393697814109906)	(100, 39.38729288696331)	(105, 39.37619427851651)	(110, 39.3470463509413)	(115, 39.34249231485291)	(120, 39.32395249254779)	(125, 39.316020335500184)	(130, 39.31092170155953)	(135, 39.29336296622082)	(140, 39.27428109880813)	(145, 39.26153111645482)	(150, 39.25450923457915)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(1, 39.33299914770236)	(2, 39.25254216004826)	(3, 39.44227435580018)	(4, 39.41307990781166)	(5, 39.45177817394211)	(6, 39.425482904982495)	(7, 39.46503707954049)	(8, 39.46548797486783)	(9, 39.467426482170175)	(10, 39.440994826107115)	(15, 39.45996605890797)	(20, 39.45832898037179)	(25, 39.46474805173936)	(30, 39.432547125472595)	(35, 39.42142343295022)	(40, 39.40705557474686)	(45, 39.384227030499744)	(50, 39.36853174505141)	(55, 39.35540527316107)	(60, 39.331917008993365)	(65, 39.32572001297937)	(70, 39.29493492961386)	(75, 39.271171728124024)	(80, 39.26474725232721)	(85, 39.236990137319694)	(90, 39.21699340987122)	(95, 39.20770845935761)	(100, 39.18666067622576)	(105, 39.16309532252696)	(110, 39.14609827163565)	(115, 39.12438031912433)	(120, 39.111219492664496)	(125, 39.07350861139035)	(130, 39.06583145002634)	(135, 39.05278985353846)	(140, 39.015085411226934)	(145, 38.99371282156166)	(150, 39.00669464015814)
