Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(0.0, 7420.0)	(1.0, 4027.5)	(2.0, 437.0)	(3.0, 194.5)	(4.0, 5572.5)	(5.0, 27336.5)	(6.0, 36337.0)	(7.0, 35971.5)	(8.0, 71429.0)	(9.0, 75177.5)	(10.0, 73913.5)	(11.0, 99542.0)	(12.0, 134166.5)	(13.0, 123913.0)	(14.0, 115200.0)	(15.0, 107567.0)	(16.0, 102301.0)	(17.0, 97616.0)	(18.0, 87293.0)	(19.0, 106204.0)	(20.0, 98711.0)	(21.0, 200278.0)	(22.0, 333541.0)	(23.0, 381860.5)	(24.0, 357962.0)	(25.0, 365242.5)	(26.0, 438207.0)	(27.0, 505595.0)	(28.0, 586145.0)	(29.0, 707650.5)	(30.0, 792907.5)	(31.0, 926267.5)	(32.0, 1039400.0)	(33.0, 1053380.5)	(34.0, 1095905.5)	(35.0, 1065928.5)	(36.0, 1014510.0)	(37.0, 1015421.0)	(38.0, 1071546.5)	(39.0, 1114348.5)	(40.0, 1122617.5)	(41.0, 1191758.5)	(42.0, 1281308.5)	(43.0, 1330912.5)	(44.0, 1411230.0)	(45.0, 1534410.0)	(46.0, 1653788.5)	(47.0, 1830413.5)	(48.0, 2024684.5)	(49.0, 2180896.0)	(50.0, 2355162.5)	(51.0, 2582422.0)	(52.0, 2820360.5)	(53.0, 2971231.0)	(54.0, 3121654.0)	(55.0, 3239848.5)	(56.0, 3283972.5)	(57.0, 3285796.5)	(58.0, 3195978.0)	(59.0, 3072564.0)	(60.0, 2848292.0)	(61.0, 2545216.0)	(62.0, 2207692.5)	(63.0, 1823929.0)	(64.0, 1456797.5)	(65.0, 1128261.5)	(66.0, 855120.0)	(67.0, 627271.0)	(68.0, 451034.0)	(69.0, 312809.0)	(70.0, 199845.0)	(71.0, 120863.5)	(72.0, 72808.0)	(73.0, 51010.0)	(74.0, 37910.0)	(75.0, 23875.0)	(76.0, 13350.0)	(77.0, 9463.0)	(78.0, 4911.0)	(79.0, 2450.0)	(80.0, 1694.0)	(81.0, 653.5)	(82.0, 250.5)	(83.0, 99.5)	(84.0, 40.0)	(85.0, 36.5)	(86.0, 29.0)	(87.0, 24.5)	(88.0, 25.0)	(89.0, 25.5)	(90.0, 20.0)	(91.0, 18.5)	(92.0, 26.0)	(93.0, 33.0)	(94.0, 48.0)	(95.0, 129.5)	(96.0, 433.0)	(97.0, 1601.5)	(98.0, 7556.0)	(99.0, 7687.5)	(100.0, 1437.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(0.0, 6670.0)	(1.0, 4000.0)	(2.0, 812.0)	(3.0, 287.0)	(4.0, 5371.0)	(5.0, 26306.0)	(6.0, 35314.5)	(7.0, 35318.5)	(8.0, 72021.5)	(9.0, 76656.0)	(10.0, 74572.5)	(11.0, 100130.0)	(12.0, 132738.0)	(13.0, 121677.0)	(14.0, 113814.5)	(15.0, 106201.5)	(16.0, 104133.0)	(17.0, 100253.5)	(18.0, 88467.5)	(19.0, 107584.5)	(20.0, 99474.0)	(21.0, 197127.0)	(22.0, 329230.0)	(23.0, 380879.5)	(24.0, 358727.0)	(25.0, 366604.5)	(26.0, 439521.0)	(27.0, 506936.5)	(28.0, 589264.5)	(29.0, 711084.0)	(30.0, 795629.5)	(31.0, 930088.5)	(32.0, 1044701.5)	(33.0, 1054859.5)	(34.0, 1094704.5)	(35.0, 1063854.0)	(36.0, 1013274.0)	(37.0, 1015968.0)	(38.0, 1076849.0)	(39.0, 1122074.5)	(40.0, 1126803.5)	(41.0, 1196205.5)	(42.0, 1285837.5)	(43.0, 1337697.0)	(44.0, 1420458.0)	(45.0, 1542589.0)	(46.0, 1660028.5)	(47.0, 1837118.5)	(48.0, 2030093.5)	(49.0, 2184461.0)	(50.0, 2358058.0)	(51.0, 2587555.5)	(52.0, 2825337.5)	(53.0, 2973547.5)	(54.0, 3125099.0)	(55.0, 3239403.0)	(56.0, 3280400.5)	(57.0, 3284342.0)	(58.0, 3191943.5)	(59.0, 3064680.5)	(60.0, 2839826.5)	(61.0, 2529956.5)	(62.0, 2189375.5)	(63.0, 1809006.0)	(64.0, 1442082.0)	(65.0, 1116330.5)	(66.0, 845514.5)	(67.0, 617776.0)	(68.0, 444082.0)	(69.0, 308866.5)	(70.0, 197169.0)	(71.0, 119480.0)	(72.0, 71448.5)	(73.0, 49625.5)	(74.0, 37167.0)	(75.0, 23871.5)	(76.0, 13741.0)	(77.0, 9770.0)	(78.0, 5281.0)	(79.0, 3025.5)	(80.0, 2252.5)	(81.0, 1211.5)	(82.0, 836.0)	(83.0, 681.5)	(84.0, 594.0)	(85.0, 595.5)	(86.0, 594.0)	(87.0, 601.5)	(88.0, 622.5)	(89.0, 613.0)	(90.0, 628.5)	(91.0, 651.0)	(92.0, 683.5)	(93.0, 715.5)	(94.0, 716.0)	(95.0, 772.5)	(96.0, 870.5)	(97.0, 1101.0)	(98.0, 1605.5)	(99.0, 2887.5)	(100.0, 18166.0)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(0.0, 5431.0)	(1.0, 2954.0)	(2.0, 326.0)	(3.0, 143.5)	(4.0, 3710.5)	(5.0, 18467.5)	(6.0, 24981.0)	(7.0, 25791.0)	(8.0, 52716.0)	(9.0, 56100.0)	(10.0, 53751.5)	(11.0, 73499.0)	(12.0, 103456.5)	(13.0, 94252.0)	(14.0, 81556.5)	(15.0, 78073.5)	(16.0, 84650.0)	(17.0, 84433.5)	(18.0, 75297.0)	(19.0, 90232.5)	(20.0, 82837.5)	(21.0, 156896.0)	(22.0, 259528.0)	(23.0, 295816.0)	(24.0, 274876.5)	(25.0, 279280.0)	(26.0, 329974.5)	(27.0, 378567.5)	(28.0, 436448.0)	(29.0, 517512.0)	(30.0, 578081.5)	(31.0, 671595.5)	(32.0, 742976.5)	(33.0, 745488.5)	(34.0, 770425.5)	(35.0, 756883.0)	(36.0, 733663.5)	(37.0, 743852.5)	(38.0, 783518.5)	(39.0, 816959.0)	(40.0, 843622.5)	(41.0, 912137.0)	(42.0, 988895.5)	(43.0, 1034319.0)	(44.0, 1110099.0)	(45.0, 1219945.5)	(46.0, 1324439.0)	(47.0, 1476214.5)	(48.0, 1643304.5)	(49.0, 1778658.5)	(50.0, 1927059.0)	(51.0, 2124225.5)	(52.0, 2334093.0)	(53.0, 2475793.5)	(54.0, 2605347.5)	(55.0, 2696877.5)	(56.0, 2732293.0)	(57.0, 2727576.5)	(58.0, 2639347.0)	(59.0, 2527383.0)	(60.0, 2343541.0)	(61.0, 2096257.5)	(62.0, 1813862.0)	(63.0, 1492071.0)	(64.0, 1190613.0)	(65.0, 923173.5)	(66.0, 696564.0)	(67.0, 506551.0)	(68.0, 363101.0)	(69.0, 251938.5)	(70.0, 160540.5)	(71.0, 98501.0)	(72.0, 60066.5)	(73.0, 42128.0)	(74.0, 32436.5)	(75.0, 20811.0)	(76.0, 11447.5)	(77.0, 7735.0)	(78.0, 3873.0)	(79.0, 1822.0)	(80.0, 1227.5)	(81.0, 486.5)	(82.0, 209.5)	(83.0, 97.5)	(84.0, 51.0)	(85.0, 49.5)	(86.0, 47.0)	(87.0, 44.0)	(88.0, 41.0)	(89.0, 36.5)	(90.0, 32.0)	(91.0, 32.5)	(92.0, 36.5)	(93.0, 33.5)	(94.0, 44.0)	(95.0, 90.5)	(96.0, 338.5)	(97.0, 1495.5)	(98.0, 7946.5)	(99.0, 8568.5)	(100.0, 1886.5)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(0.0, 4886.0)	(1.0, 2912.0)	(2.0, 573.5)	(3.0, 187.0)	(4.0, 3601.0)	(5.0, 17362.5)	(6.0, 23545.5)	(7.0, 24614.0)	(8.0, 50721.0)	(9.0, 54183.5)	(10.0, 52542.5)	(11.0, 72471.0)	(12.0, 101216.5)	(13.0, 91444.5)	(14.0, 79909.0)	(15.0, 76506.0)	(16.0, 83409.0)	(17.0, 83820.0)	(18.0, 74838.0)	(19.0, 90002.5)	(20.0, 81707.5)	(21.0, 153890.0)	(22.0, 255819.0)	(23.0, 293169.0)	(24.0, 272722.0)	(25.0, 276486.0)	(26.0, 328791.5)	(27.0, 379211.5)	(28.0, 435761.0)	(29.0, 516385.5)	(30.0, 579082.5)	(31.0, 674212.5)	(32.0, 745519.0)	(33.0, 744983.0)	(34.0, 772205.0)	(35.0, 760783.5)	(36.0, 733872.0)	(37.0, 741903.0)	(38.0, 786136.0)	(39.0, 822364.0)	(40.0, 844914.0)	(41.0, 911322.0)	(42.0, 988744.5)	(43.0, 1035259.0)	(44.0, 1111695.0)	(45.0, 1220265.0)	(46.0, 1322732.5)	(47.0, 1474373.5)	(48.0, 1640995.0)	(49.0, 1778001.0)	(50.0, 1930172.0)	(51.0, 2127859.5)	(52.0, 2336259.5)	(53.0, 2478143.0)	(54.0, 2609924.0)	(55.0, 2698746.5)	(56.0, 2733720.5)	(57.0, 2733637.0)	(58.0, 2644340.5)	(59.0, 2531660.0)	(60.0, 2347380.0)	(61.0, 2095712.0)	(62.0, 1809779.0)	(63.0, 1486888.0)	(64.0, 1185509.5)	(65.0, 920002.5)	(66.0, 694167.0)	(67.0, 504028.5)	(68.0, 361257.0)	(69.0, 251095.0)	(70.0, 159583.0)	(71.0, 97639.5)	(72.0, 59916.0)	(73.0, 42129.5)	(74.0, 32307.5)	(75.0, 20802.0)	(76.0, 11695.0)	(77.0, 8221.0)	(78.0, 4317.0)	(79.0, 2249.5)	(80.0, 1675.0)	(81.0, 899.5)	(82.0, 601.5)	(83.0, 513.0)	(84.0, 450.5)	(85.0, 435.5)	(86.0, 469.5)	(87.0, 475.5)	(88.0, 467.0)	(89.0, 474.5)	(90.0, 483.5)	(91.0, 504.0)	(92.0, 541.5)	(93.0, 588.0)	(94.0, 618.0)	(95.0, 644.0)	(96.0, 725.0)	(97.0, 927.5)	(98.0, 1330.5)	(99.0, 2091.5)	(100.0, 10710.5)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(0.0, 1840.0)	(1.0, 1028.5)	(2.0, 169.5)	(3.0, 117.0)	(4.0, 5061.0)	(5.0, 24962.5)	(6.0, 32170.5)	(7.0, 32958.5)	(8.0, 66861.0)	(9.0, 67759.5)	(10.0, 65877.0)	(11.0, 96259.0)	(12.0, 126606.5)	(13.0, 112570.0)	(14.0, 108776.5)	(15.0, 103722.0)	(16.0, 103728.5)	(17.0, 96701.5)	(18.0, 75488.0)	(19.0, 90081.0)	(20.0, 86661.0)	(21.0, 171845.5)	(22.0, 288360.0)	(23.0, 338947.5)	(24.0, 327509.5)	(25.0, 336640.0)	(26.0, 401395.0)	(27.0, 468545.5)	(28.0, 543413.0)	(29.0, 647614.0)	(30.0, 715913.0)	(31.0, 825752.0)	(32.0, 912710.5)	(33.0, 923945.0)	(34.0, 944736.5)	(35.0, 885897.5)	(36.0, 822698.0)	(37.0, 816876.5)	(38.0, 853392.0)	(39.0, 878862.5)	(40.0, 884909.5)	(41.0, 933146.0)	(42.0, 1003064.0)	(43.0, 1041059.0)	(44.0, 1100518.5)	(45.0, 1194414.0)	(46.0, 1279097.5)	(47.0, 1408323.0)	(48.0, 1549825.5)	(49.0, 1652495.0)	(50.0, 1769669.5)	(51.0, 1937068.0)	(52.0, 2110577.5)	(53.0, 2214096.0)	(54.0, 2318924.0)	(55.0, 2398391.5)	(56.0, 2427168.5)	(57.0, 2422504.0)	(58.0, 2342855.5)	(59.0, 2245135.0)	(60.0, 2080948.5)	(61.0, 1857997.5)	(62.0, 1610898.0)	(63.0, 1327626.5)	(64.0, 1056517.0)	(65.0, 813960.0)	(66.0, 611110.5)	(67.0, 443603.5)	(68.0, 316620.5)	(69.0, 221816.0)	(70.0, 142363.0)	(71.0, 85099.0)	(72.0, 50229.5)	(73.0, 34751.5)	(74.0, 26153.5)	(75.0, 16174.5)	(76.0, 8416.0)	(77.0, 5702.0)	(78.0, 2978.5)	(79.0, 1693.5)	(80.0, 1202.0)	(81.0, 454.5)	(82.0, 152.5)	(83.0, 68.5)	(84.0, 32.5)	(85.0, 27.0)	(86.0, 20.0)	(87.0, 20.0)	(88.0, 22.5)	(89.0, 18.5)	(90.0, 20.5)	(91.0, 17.5)	(92.0, 14.5)	(93.0, 28.5)	(94.0, 34.0)	(95.0, 54.5)	(96.0, 167.5)	(97.0, 509.5)	(98.0, 1652.5)	(99.0, 1603.0)	(100.0, 346.5)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(0.0, 1639.0)	(1.0, 998.0)	(2.0, 259.5)	(3.0, 159.0)	(4.0, 4968.5)	(5.0, 24627.0)	(6.0, 31899.5)	(7.0, 32512.0)	(8.0, 65179.5)	(9.0, 64912.5)	(10.0, 60570.5)	(11.0, 90226.0)	(12.0, 119820.0)	(13.0, 105562.5)	(14.0, 100382.5)	(15.0, 96627.5)	(16.0, 102856.0)	(17.0, 97079.5)	(18.0, 76811.0)	(19.0, 91950.5)	(20.0, 86862.0)	(21.0, 166583.0)	(22.0, 277313.5)	(23.0, 328000.5)	(24.0, 321370.5)	(25.0, 335902.5)	(26.0, 402480.5)	(27.0, 469632.0)	(28.0, 544958.5)	(29.0, 649651.5)	(30.0, 722073.0)	(31.0, 834444.5)	(32.0, 923358.0)	(33.0, 930767.5)	(34.0, 954960.5)	(35.0, 896437.0)	(36.0, 823499.0)	(37.0, 814804.5)	(38.0, 856953.5)	(39.0, 885744.5)	(40.0, 886506.5)	(41.0, 934741.0)	(42.0, 1004371.0)	(43.0, 1043265.5)	(44.0, 1104032.0)	(45.0, 1197541.5)	(46.0, 1281609.5)	(47.0, 1411067.5)	(48.0, 1553471.5)	(49.0, 1657782.5)	(50.0, 1773706.5)	(51.0, 1940765.5)	(52.0, 2112142.5)	(53.0, 2212219.5)	(54.0, 2317983.5)	(55.0, 2397107.0)	(56.0, 2427704.0)	(57.0, 2426063.5)	(58.0, 2345089.5)	(59.0, 2242719.0)	(60.0, 2076798.5)	(61.0, 1854865.5)	(62.0, 1604846.5)	(63.0, 1320096.0)	(64.0, 1049519.0)	(65.0, 807211.0)	(66.0, 604407.5)	(67.0, 438702.5)	(68.0, 313958.0)	(69.0, 218955.0)	(70.0, 140175.5)	(71.0, 84301.0)	(72.0, 50251.5)	(73.0, 34760.0)	(74.0, 25791.5)	(75.0, 15912.0)	(76.0, 8613.0)	(77.0, 5940.5)	(78.0, 3266.5)	(79.0, 1979.5)	(80.0, 1481.0)	(81.0, 793.5)	(82.0, 509.0)	(83.0, 412.5)	(84.0, 379.5)	(85.0, 363.5)	(86.0, 369.0)	(87.0, 380.5)	(88.0, 388.5)	(89.0, 364.5)	(90.0, 353.5)	(91.0, 378.5)	(92.0, 387.5)	(93.0, 412.0)	(94.0, 426.0)	(95.0, 430.5)	(96.0, 491.0)	(97.0, 632.0)	(98.0, 953.0)	(99.0, 1858.5)	(100.0, 11579.5)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(0.0, 3484.0)	(1.0, 1945.5)	(2.0, 268.0)	(3.0, 122.0)	(4.0, 3884.5)	(5.0, 18657.5)	(6.0, 24761.0)	(7.0, 25088.5)	(8.0, 48144.0)	(9.0, 49524.5)	(10.0, 48640.5)	(11.0, 69029.0)	(12.0, 95400.0)	(13.0, 86787.0)	(14.0, 79746.0)	(15.0, 75971.0)	(16.0, 81858.5)	(17.0, 80448.0)	(18.0, 65916.5)	(19.0, 80095.5)	(20.0, 79876.5)	(21.0, 148530.5)	(22.0, 244155.5)	(23.0, 288734.5)	(24.0, 285179.5)	(25.0, 304181.5)	(26.0, 368312.5)	(27.0, 433985.5)	(28.0, 506656.0)	(29.0, 598781.5)	(30.0, 665482.0)	(31.0, 766116.0)	(32.0, 845797.0)	(33.0, 858948.5)	(34.0, 885052.5)	(35.0, 865828.0)	(36.0, 837660.5)	(37.0, 840886.5)	(38.0, 879693.5)	(39.0, 917660.5)	(40.0, 946234.5)	(41.0, 1012877.0)	(42.0, 1087280.5)	(43.0, 1132597.5)	(44.0, 1209886.0)	(45.0, 1317576.0)	(46.0, 1415295.5)	(47.0, 1563690.0)	(48.0, 1731655.5)	(49.0, 1861093.0)	(50.0, 2004398.0)	(51.0, 2192948.0)	(52.0, 2392033.5)	(53.0, 2525134.5)	(54.0, 2638998.0)	(55.0, 2710563.5)	(56.0, 2727837.5)	(57.0, 2710792.5)	(58.0, 2611152.5)	(59.0, 2484397.0)	(60.0, 2288506.5)	(61.0, 2037972.5)	(62.0, 1764573.0)	(63.0, 1451497.5)	(64.0, 1152346.5)	(65.0, 890796.5)	(66.0, 671492.0)	(67.0, 487371.0)	(68.0, 346890.0)	(69.0, 239778.5)	(70.0, 153970.5)	(71.0, 94548.0)	(72.0, 56856.0)	(73.0, 39156.5)	(74.0, 28951.5)	(75.0, 18624.5)	(76.0, 10781.5)	(77.0, 7476.0)	(78.0, 3748.0)	(79.0, 1790.0)	(80.0, 1212.5)	(81.0, 451.5)	(82.0, 193.0)	(83.0, 118.0)	(84.0, 88.0)	(85.0, 73.5)	(86.0, 70.5)	(87.0, 63.5)	(88.0, 63.5)	(89.0, 67.0)	(90.0, 55.0)	(91.0, 50.0)	(92.0, 53.5)	(93.0, 58.0)	(94.0, 85.0)	(95.0, 148.5)	(96.0, 428.0)	(97.0, 1892.5)	(98.0, 9512.5)	(99.0, 10036.0)	(100.0, 2135.5)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(0.0, 3193.0)	(1.0, 1895.0)	(2.0, 385.0)	(3.0, 156.5)	(4.0, 3641.0)	(5.0, 17927.0)	(6.0, 23840.5)	(7.0, 23494.0)	(8.0, 45642.0)	(9.0, 47195.0)	(10.0, 44515.0)	(11.0, 64010.5)	(12.0, 88514.5)	(13.0, 79636.5)	(14.0, 72492.5)	(15.0, 69887.0)	(16.0, 79762.0)	(17.0, 78975.5)	(18.0, 66101.5)	(19.0, 80864.5)	(20.0, 79880.5)	(21.0, 143156.0)	(22.0, 234008.0)	(23.0, 279909.5)	(24.0, 280918.5)	(25.0, 304836.5)	(26.0, 370071.5)	(27.0, 436749.5)	(28.0, 509242.5)	(29.0, 602021.0)	(30.0, 672497.5)	(31.0, 772491.0)	(32.0, 852444.5)	(33.0, 864499.5)	(34.0, 891856.5)	(35.0, 871786.0)	(36.0, 839119.0)	(37.0, 840143.5)	(38.0, 883617.5)	(39.0, 924635.5)	(40.0, 947398.5)	(41.0, 1012359.0)	(42.0, 1087912.5)	(43.0, 1134997.0)	(44.0, 1212773.5)	(45.0, 1319470.5)	(46.0, 1416695.0)	(47.0, 1562977.0)	(48.0, 1729578.5)	(49.0, 1861969.5)	(50.0, 2001977.0)	(51.0, 2192168.0)	(52.0, 2394678.0)	(53.0, 2529189.0)	(54.0, 2647588.5)	(55.0, 2716822.0)	(56.0, 2732653.0)	(57.0, 2714963.5)	(58.0, 2611210.0)	(59.0, 2482732.0)	(60.0, 2287992.5)	(61.0, 2032773.5)	(62.0, 1753832.0)	(63.0, 1444923.5)	(64.0, 1149363.5)	(65.0, 887166.5)	(66.0, 667171.0)	(67.0, 482511.0)	(68.0, 342770.0)	(69.0, 237571.0)	(70.0, 152798.0)	(71.0, 93915.0)	(72.0, 56845.5)	(73.0, 39065.5)	(74.0, 29046.0)	(75.0, 18970.0)	(76.0, 11155.5)	(77.0, 7877.0)	(78.0, 4325.5)	(79.0, 2488.5)	(80.0, 1911.0)	(81.0, 1064.5)	(82.0, 780.0)	(83.0, 729.5)	(84.0, 716.5)	(85.0, 697.0)	(86.0, 733.0)	(87.0, 758.0)	(88.0, 770.5)	(89.0, 814.5)	(90.0, 816.0)	(91.0, 813.0)	(92.0, 860.0)	(93.0, 939.5)	(94.0, 1025.0)	(95.0, 1108.0)	(96.0, 1239.0)	(97.0, 1509.5)	(98.0, 2071.0)	(99.0, 3175.5)	(100.0, 16178.0)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(0.0, 2046.0)	(1.0, 1142.0)	(2.0, 189.5)	(3.0, 133.5)	(4.0, 5539.5)	(5.0, 27143.5)	(6.0, 35178.0)	(7.0, 36145.5)	(8.0, 70170.5)	(9.0, 68400.0)	(10.0, 63789.0)	(11.0, 94012.5)	(12.0, 125819.0)	(13.0, 112722.0)	(14.0, 109390.0)	(15.0, 104094.0)	(16.0, 99476.0)	(17.0, 91714.5)	(18.0, 73714.0)	(19.0, 88674.5)	(20.0, 85130.5)	(21.0, 166876.5)	(22.0, 276479.0)	(23.0, 322768.5)	(24.0, 312631.5)	(25.0, 325087.0)	(26.0, 391886.5)	(27.0, 459913.0)	(28.0, 534527.5)	(29.0, 634228.5)	(30.0, 702660.0)	(31.0, 812367.0)	(32.0, 904125.5)	(33.0, 920846.0)	(34.0, 949895.0)	(35.0, 902742.0)	(36.0, 845238.0)	(37.0, 847397.0)	(38.0, 890954.0)	(39.0, 923618.5)	(40.0, 939608.5)	(41.0, 999109.0)	(42.0, 1075555.5)	(43.0, 1119780.0)	(44.0, 1186316.5)	(45.0, 1282428.5)	(46.0, 1362463.5)	(47.0, 1486636.5)	(48.0, 1627491.0)	(49.0, 1729698.0)	(50.0, 1843688.5)	(51.0, 2005435.5)	(52.0, 2172240.5)	(53.0, 2278683.0)	(54.0, 2381358.0)	(55.0, 2446796.0)	(56.0, 2463698.5)	(57.0, 2447203.5)	(58.0, 2362133.5)	(59.0, 2254823.5)	(60.0, 2076773.5)	(61.0, 1848395.0)	(62.0, 1596180.0)	(63.0, 1311239.5)	(64.0, 1042701.5)	(65.0, 805068.0)	(66.0, 605672.0)	(67.0, 440607.0)	(68.0, 315787.5)	(69.0, 220851.0)	(70.0, 141726.0)	(71.0, 84684.5)	(72.0, 49959.0)	(73.0, 34467.5)	(74.0, 25932.5)	(75.0, 16379.0)	(76.0, 9144.0)	(77.0, 6341.5)	(78.0, 3208.0)	(79.0, 1606.5)	(80.0, 1090.0)	(81.0, 374.5)	(82.0, 128.5)	(83.0, 56.0)	(84.0, 34.5)	(85.0, 28.0)	(86.0, 19.5)	(87.0, 21.5)	(88.0, 21.5)	(89.0, 19.0)	(90.0, 19.0)	(91.0, 15.5)	(92.0, 15.0)	(93.0, 24.5)	(94.0, 47.5)	(95.0, 102.0)	(96.0, 342.5)	(97.0, 1461.0)	(98.0, 8722.0)	(99.0, 9473.5)	(100.0, 1982.5)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(0.0, 1826.0)	(1.0, 1111.5)	(2.0, 286.0)	(3.0, 177.5)	(4.0, 5370.0)	(5.0, 25783.5)	(6.0, 33218.5)	(7.0, 34304.5)	(8.0, 67221.0)	(9.0, 66291.5)	(10.0, 62689.5)	(11.0, 92157.0)	(12.0, 122531.5)	(13.0, 108929.0)	(14.0, 105021.5)	(15.0, 99974.0)	(16.0, 97948.5)	(17.0, 91275.0)	(18.0, 73067.0)	(19.0, 88114.0)	(20.0, 84795.5)	(21.0, 164401.5)	(22.0, 272363.0)	(23.0, 320093.5)	(24.0, 311720.0)	(25.0, 325571.0)	(26.0, 392528.0)	(27.0, 459108.0)	(28.0, 533868.0)	(29.0, 635810.0)	(30.0, 705892.0)	(31.0, 816263.5)	(32.0, 908447.5)	(33.0, 922279.5)	(34.0, 951390.0)	(35.0, 905693.5)	(36.0, 846330.0)	(37.0, 846392.0)	(38.0, 893902.0)	(39.0, 927738.0)	(40.0, 939804.5)	(41.0, 997942.5)	(42.0, 1074759.0)	(43.0, 1120230.0)	(44.0, 1185138.5)	(45.0, 1281455.0)	(46.0, 1364064.5)	(47.0, 1489196.0)	(48.0, 1628555.0)	(49.0, 1731704.5)	(50.0, 1847364.0)	(51.0, 2010174.5)	(52.0, 2178781.0)	(53.0, 2283755.0)	(54.0, 2384256.0)	(55.0, 2446305.5)	(56.0, 2462076.0)	(57.0, 2446878.0)	(58.0, 2360448.5)	(59.0, 2253207.0)	(60.0, 2076490.0)	(61.0, 1845368.5)	(62.0, 1590531.5)	(63.0, 1307803.5)	(64.0, 1039842.0)	(65.0, 799463.0)	(66.0, 599533.0)	(67.0, 435601.5)	(68.0, 312564.5)	(69.0, 220189.0)	(70.0, 140766.5)	(71.0, 83896.0)	(72.0, 50127.0)	(73.0, 34652.0)	(74.0, 25852.5)	(75.0, 16606.5)	(76.0, 9726.5)	(77.0, 6958.5)	(78.0, 3765.0)	(79.0, 2189.0)	(80.0, 1716.5)	(81.0, 1035.5)	(82.0, 781.0)	(83.0, 677.5)	(84.0, 655.5)	(85.0, 678.5)	(86.0, 669.5)	(87.0, 684.5)	(88.0, 715.5)	(89.0, 715.5)	(90.0, 713.0)	(91.0, 772.5)	(92.0, 842.5)	(93.0, 839.5)	(94.0, 848.0)	(95.0, 938.0)	(96.0, 1026.0)	(97.0, 1278.5)	(98.0, 1821.5)	(99.0, 3119.0)	(100.0, 18139.5)
