Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(12.0, 9.0)	(13.0, 152.0)	(14.0, 1268.0)	(15.0, 3583.0)	(16.0, 5407.0)	(17.0, 8023.0)	(18.0, 11567.0)	(19.0, 16261.0)	(20.0, 21271.0)	(21.0, 25780.0)	(22.0, 30333.0)	(23.0, 37322.0)	(24.0, 44782.0)	(25.0, 55424.0)	(26.0, 67497.0)	(27.0, 78258.0)	(28.0, 95787.0)	(29.0, 107634.0)	(30.0, 130688.0)	(31.0, 151123.0)	(32.0, 182618.0)	(33.0, 234464.0)	(34.0, 301555.0)	(35.0, 456246.0)	(36.0, 694729.0)	(37.0, 1367763.0)	(38.0, 3127467.0)	(39.0, 48488620.0)	(40.0, 20032909.0)			
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(10.0, 4.0)	(11.0, 50.0)	(12.0, 694.0)	(13.0, 4781.0)	(14.0, 17318.0)	(15.0, 30650.0)	(16.0, 36471.0)	(17.0, 35745.0)	(18.0, 35668.0)	(19.0, 37562.0)	(20.0, 42005.0)	(21.0, 45255.0)	(22.0, 50222.0)	(23.0, 57102.0)	(24.0, 65106.0)	(25.0, 75764.0)	(26.0, 84079.0)	(27.0, 95099.0)	(28.0, 108816.0)	(29.0, 120639.0)	(30.0, 145631.0)	(31.0, 165734.0)	(32.0, 207752.0)	(33.0, 257198.0)	(34.0, 339976.0)	(35.0, 497779.0)	(36.0, 791103.0)	(37.0, 1630568.0)	(38.0, 4469217.0)	(39.0, 52228357.0)	(40.0, 14102195.0)	
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(12.0, 1.0)	(13.0, 95.0)	(14.0, 678.0)	(15.0, 1882.0)	(16.0, 3338.0)	(17.0, 5136.0)	(18.0, 8316.0)	(19.0, 11939.0)	(20.0, 15799.0)	(21.0, 19073.0)	(22.0, 22797.0)	(23.0, 27795.0)	(24.0, 33421.0)	(25.0, 41982.0)	(26.0, 51436.0)	(27.0, 60166.0)	(28.0, 74642.0)	(29.0, 84150.0)	(30.0, 102324.0)	(31.0, 119540.0)	(32.0, 146764.0)	(33.0, 186527.0)	(34.0, 239234.0)	(35.0, 364797.0)	(36.0, 563633.0)	(37.0, 1122840.0)	(38.0, 2707251.0)	(39.0, 41637387.0)	(40.0, 12970848.0)			
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(9.0, 1.0)	(10.0, 3.0)	(11.0, 55.0)	(12.0, 480.0)	(13.0, 3247.0)	(14.0, 11559.0)	(15.0, 20983.0)	(16.0, 25699.0)	(17.0, 26439.0)	(18.0, 26688.0)	(19.0, 27990.0)	(20.0, 31347.0)	(21.0, 33999.0)	(22.0, 38343.0)	(23.0, 43885.0)	(24.0, 49141.0)	(25.0, 57270.0)	(26.0, 64945.0)	(27.0, 73248.0)	(28.0, 84086.0)	(29.0, 93904.0)	(30.0, 113336.0)	(31.0, 129811.0)	(32.0, 161745.0)	(33.0, 196779.0)	(34.0, 257964.0)	(35.0, 376535.0)	(36.0, 596605.0)	(37.0, 1243253.0)	(38.0, 3514531.0)	(39.0, 42975401.0)	(40.0, 10344519.0)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(12.0, 3.0)	(13.0, 149.0)	(14.0, 1095.0)	(15.0, 3093.0)	(16.0, 4456.0)	(17.0, 6235.0)	(18.0, 8970.0)	(19.0, 12771.0)	(20.0, 16882.0)	(21.0, 20026.0)	(22.0, 23754.0)	(23.0, 28801.0)	(24.0, 34585.0)	(25.0, 43143.0)	(26.0, 52676.0)	(27.0, 61214.0)	(28.0, 74439.0)	(29.0, 83142.0)	(30.0, 101067.0)	(31.0, 117094.0)	(32.0, 142249.0)	(33.0, 182872.0)	(34.0, 234370.0)	(35.0, 354314.0)	(36.0, 539311.0)	(37.0, 1062749.0)	(38.0, 2447482.0)	(39.0, 37533429.0)	(40.0, 15167543.0)			
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(10.0, 1.0)	(11.0, 70.0)	(12.0, 536.0)	(13.0, 3701.0)	(14.0, 13177.0)	(15.0, 23456.0)	(16.0, 27859.0)	(17.0, 26573.0)	(18.0, 26162.0)	(19.0, 27698.0)	(20.0, 30646.0)	(21.0, 33605.0)	(22.0, 38160.0)	(23.0, 43453.0)	(24.0, 48720.0)	(25.0, 57040.0)	(26.0, 64110.0)	(27.0, 72406.0)	(28.0, 83009.0)	(29.0, 92360.0)	(30.0, 112684.0)	(31.0, 127332.0)	(32.0, 160454.0)	(33.0, 196803.0)	(34.0, 259375.0)	(35.0, 380785.0)	(36.0, 603237.0)	(37.0, 1247265.0)	(38.0, 3450505.0)	(39.0, 40612395.0)	(40.0, 10494337.0)	
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(12.0, 4.0)	(13.0, 142.0)	(14.0, 1201.0)	(15.0, 3259.0)	(16.0, 4927.0)	(17.0, 6916.0)	(18.0, 10334.0)	(19.0, 13979.0)	(20.0, 18359.0)	(21.0, 21566.0)	(22.0, 25677.0)	(23.0, 31378.0)	(24.0, 36663.0)	(25.0, 45895.0)	(26.0, 56039.0)	(27.0, 65044.0)	(28.0, 79491.0)	(29.0, 89198.0)	(30.0, 107331.0)	(31.0, 125456.0)	(32.0, 151758.0)	(33.0, 194608.0)	(34.0, 248470.0)	(35.0, 375744.0)	(36.0, 575109.0)	(37.0, 1139130.0)	(38.0, 2651624.0)	(39.0, 40566699.0)	(40.0, 15964020.0)			
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(10.0, 7.0)	(11.0, 55.0)	(12.0, 652.0)	(13.0, 4256.0)	(14.0, 14841.0)	(15.0, 26467.0)	(16.0, 30550.0)	(17.0, 30256.0)	(18.0, 29585.0)	(19.0, 31260.0)	(20.0, 34146.0)	(21.0, 36854.0)	(22.0, 41204.0)	(23.0, 46088.0)	(24.0, 51900.0)	(25.0, 60325.0)	(26.0, 67877.0)	(27.0, 76427.0)	(28.0, 87543.0)	(29.0, 97592.0)	(30.0, 117699.0)	(31.0, 133869.0)	(32.0, 167549.0)	(33.0, 206422.0)	(34.0, 271349.0)	(35.0, 396010.0)	(36.0, 632500.0)	(37.0, 1312928.0)	(38.0, 3662484.0)	(39.0, 43645057.0)	(40.0, 11296269.0)	
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(12.0, 2.0)	(13.0, 82.0)	(14.0, 705.0)	(15.0, 2089.0)	(16.0, 3424.0)	(17.0, 5381.0)	(18.0, 8210.0)	(19.0, 11881.0)	(20.0, 15650.0)	(21.0, 18960.0)	(22.0, 22662.0)	(23.0, 27958.0)	(24.0, 33137.0)	(25.0, 41606.0)	(26.0, 51253.0)	(27.0, 60093.0)	(28.0, 73688.0)	(29.0, 82734.0)	(30.0, 101681.0)	(31.0, 118574.0)	(32.0, 146512.0)	(33.0, 186187.0)	(34.0, 240519.0)	(35.0, 367666.0)	(36.0, 569905.0)	(37.0, 1147188.0)	(38.0, 2792497.0)	(39.0, 40796361.0)	(40.0, 12617148.0)			
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(10.0, 4.0)	(11.0, 51.0)	(12.0, 522.0)	(13.0, 3791.0)	(14.0, 13122.0)	(15.0, 23385.0)	(16.0, 28012.0)	(17.0, 27754.0)	(18.0, 28059.0)	(19.0, 29629.0)	(20.0, 32833.0)	(21.0, 35657.0)	(22.0, 39721.0)	(23.0, 44505.0)	(24.0, 50380.0)	(25.0, 58135.0)	(26.0, 65404.0)	(27.0, 73453.0)	(28.0, 84662.0)	(29.0, 93729.0)	(30.0, 114049.0)	(31.0, 129502.0)	(32.0, 161799.0)	(33.0, 199245.0)	(34.0, 262627.0)	(35.0, 385016.0)	(36.0, 614620.0)	(37.0, 1283669.0)	(38.0, 3641426.0)	(39.0, 42162985.0)	(40.0, 9856007.0)	
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	(12.0, 7.0)	(13.0, 111.0)	(14.0, 982.0)	(15.0, 2735.0)	(16.0, 4193.0)	(17.0, 5783.0)	(18.0, 8640.0)	(19.0, 12242.0)	(20.0, 15851.0)	(21.0, 18913.0)	(22.0, 22576.0)	(23.0, 27704.0)	(24.0, 33082.0)	(25.0, 41163.0)	(26.0, 50750.0)	(27.0, 59065.0)	(28.0, 71319.0)	(29.0, 80737.0)	(30.0, 98581.0)	(31.0, 114466.0)	(32.0, 138312.0)	(33.0, 177587.0)	(34.0, 225034.0)	(35.0, 340212.0)	(36.0, 520935.0)	(37.0, 1033390.0)	(38.0, 2409785.0)	(39.0, 37079771.0)	(40.0, 14227639.0)			
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	(10.0, 3.0)	(11.0, 40.0)	(12.0, 490.0)	(13.0, 3536.0)	(14.0, 12760.0)	(15.0, 22527.0)	(16.0, 26808.0)	(17.0, 26201.0)	(18.0, 25709.0)	(19.0, 27317.0)	(20.0, 30214.0)	(21.0, 33133.0)	(22.0, 36870.0)	(23.0, 41575.0)	(24.0, 47548.0)	(25.0, 55256.0)	(26.0, 62373.0)	(27.0, 70760.0)	(28.0, 81004.0)	(29.0, 90522.0)	(30.0, 109696.0)	(31.0, 124000.0)	(32.0, 154544.0)	(33.0, 190613.0)	(34.0, 248949.0)	(35.0, 365034.0)	(36.0, 579732.0)	(37.0, 1206668.0)	(38.0, 3357374.0)	(39.0, 39620684.0)	(40.0, 10169625.0)	
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(12.0, 1.0)	(13.0, 92.0)	(14.0, 577.0)	(15.0, 1757.0)	(16.0, 2916.0)	(17.0, 4700.0)	(18.0, 7539.0)	(19.0, 10721.0)	(20.0, 14286.0)	(21.0, 17067.0)	(22.0, 20591.0)	(23.0, 25324.0)	(24.0, 30854.0)	(25.0, 38672.0)	(26.0, 47267.0)	(27.0, 55207.0)	(28.0, 67623.0)	(29.0, 76386.0)	(30.0, 93512.0)	(31.0, 107958.0)	(32.0, 131903.0)	(33.0, 168607.0)	(34.0, 212813.0)	(35.0, 325582.0)	(36.0, 500836.0)	(37.0, 1001367.0)	(38.0, 2370444.0)	(39.0, 35404441.0)	(40.0, 12007311.0)			
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(10.0, 2.0)	(11.0, 32.0)	(12.0, 358.0)	(13.0, 2602.0)	(14.0, 10118.0)	(15.0, 19313.0)	(16.0, 23731.0)	(17.0, 23267.0)	(18.0, 22824.0)	(19.0, 23972.0)	(20.0, 26958.0)	(21.0, 29222.0)	(22.0, 32961.0)	(23.0, 38240.0)	(24.0, 42698.0)	(25.0, 50522.0)	(26.0, 56894.0)	(27.0, 64275.0)	(28.0, 74930.0)	(29.0, 83628.0)	(30.0, 100872.0)	(31.0, 114312.0)	(32.0, 143218.0)	(33.0, 175535.0)	(34.0, 230771.0)	(35.0, 338003.0)	(36.0, 534293.0)	(37.0, 1110007.0)	(38.0, 3074487.0)	(39.0, 36798085.0)	(40.0, 9500224.0)	
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(12.0, 8.0)	(13.0, 79.0)	(14.0, 598.0)	(15.0, 1806.0)	(16.0, 3258.0)	(17.0, 5477.0)	(18.0, 8430.0)	(19.0, 11674.0)	(20.0, 15085.0)	(21.0, 17778.0)	(22.0, 21114.0)	(23.0, 25569.0)	(24.0, 30928.0)	(25.0, 38624.0)	(26.0, 46779.0)	(27.0, 54892.0)	(28.0, 67784.0)	(29.0, 75826.0)	(30.0, 92778.0)	(31.0, 108108.0)	(32.0, 133171.0)	(33.0, 168646.0)	(34.0, 216791.0)	(35.0, 330973.0)	(36.0, 510075.0)	(37.0, 1023647.0)	(38.0, 2483274.0)	(39.0, 35972131.0)	(40.0, 10326504.0)			
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(10.0, 1.0)	(11.0, 34.0)	(12.0, 446.0)	(13.0, 3145.0)	(14.0, 12185.0)	(15.0, 23130.0)	(16.0, 28255.0)	(17.0, 27486.0)	(18.0, 26201.0)	(19.0, 27132.0)	(20.0, 29235.0)	(21.0, 31551.0)	(22.0, 35321.0)	(23.0, 40328.0)	(24.0, 45318.0)	(25.0, 53698.0)	(26.0, 60069.0)	(27.0, 68480.0)	(28.0, 79303.0)	(29.0, 88450.0)	(30.0, 107583.0)	(31.0, 121529.0)	(32.0, 153214.0)	(33.0, 186941.0)	(34.0, 244839.0)	(35.0, 357679.0)	(36.0, 566170.0)	(37.0, 1173824.0)	(38.0, 3307781.0)	(39.0, 36809497.0)	(40.0, 8082982.0)	
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(12.0, 5.0)	(13.0, 84.0)	(14.0, 643.0)	(15.0, 1704.0)	(16.0, 2795.0)	(17.0, 4636.0)	(18.0, 7161.0)	(19.0, 10292.0)	(20.0, 13647.0)	(21.0, 16592.0)	(22.0, 19770.0)	(23.0, 24576.0)	(24.0, 29544.0)	(25.0, 37169.0)	(26.0, 45761.0)	(27.0, 53959.0)	(28.0, 66434.0)	(29.0, 73748.0)	(30.0, 90844.0)	(31.0, 105302.0)	(32.0, 128685.0)	(33.0, 165016.0)	(34.0, 210221.0)	(35.0, 321654.0)	(36.0, 495746.0)	(37.0, 996441.0)	(38.0, 2421741.0)	(39.0, 35682601.0)	(40.0, 10631032.0)			
