Sample	Unique Reads	Duplicate Reads
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	18171941.0	57606599.0
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	18425394.0	57353146.0
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	16092265.0	44531526.0
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	16154646.0	44469145.0
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	15346562.0	43011352.0
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	15526352.0	42831562.0
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	16977159.0	45632862.0
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	17084782.0	45525239.0
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	15837207.0	43706546.0
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	15985811.0	43557942.0
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	15494970.0	41326595.0
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	15533797.0	41287768.0
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	14471390.0	38274964.0
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	14570461.0	38175893.0
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	14440167.0	37351640.0
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	14486577.0	37305230.0
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	14579978.0	37077825.0
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	14547594.0	37110209.0
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	13053289.0	37888610.0
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	13057665.0	37884234.0
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	14212476.0	38974999.0
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	14271857.0	38915618.0
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	15055932.0	39747727.0
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	15057708.0	39745951.0
