Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1.0, 12.94453081729459)	(2.0, 8.452221637307643)	(3.0, 6.218139453012669)	(4.0, 4.892999570066279)	(5.0, 3.8815669071380863)	(6.0, 3.2339447907434185)	(7.0, 2.595822774781109)	(8.0, 2.218643069064133)	(9.0, 1.9282426962046624)	('>10', 21.162486790189703)	('>50', 6.174345669576022)	('>100', 12.843839308421432)	('>500', 3.9908019446970258)	('>1k', 5.3723634014020565)	('>5k', 1.4838553326375628)	('>10k+', 2.606195837463698)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1.0, 13.262309960791077)	(2.0, 8.477233004555016)	(3.0, 6.291157268615876)	(4.0, 4.840124148364815)	(5.0, 3.933225872933351)	(6.0, 3.132280461718377)	(7.0, 2.612987577654216)	(8.0, 2.278114457917307)	(9.0, 1.9523968646944538)	('>10', 21.03251769285731)	('>50', 6.031833314466774)	('>100', 12.710208536662094)	('>500', 3.98490411642574)	('>1k', 5.2981544168336585)	('>5k', 1.4883056406954718)	('>10k+', 2.6742466648145387)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(1.0, 14.73817506449206)	(2.0, 9.422949578338855)	(3.0, 6.850342068065078)	(4.0, 5.217591880470808)	(5.0, 4.071438346437821)	(6.0, 3.2798623483802176)	(7.0, 2.6550649245837703)	(8.0, 2.1966653502235123)	(9.0, 1.8873173285308964)	('>10', 20.24859712054665)	('>50', 6.026579458608518)	('>100', 12.231795703699252)	('>500', 3.4592345888087896)	('>1k', 4.625277799930956)	('>5k', 1.2044908451526186)	('>10k+', 1.884617593729839)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(1.0, 14.79457743955413)	(2.0, 9.525408627207527)	(3.0, 6.855674776320314)	(4.0, 5.1918589903137935)	(5.0, 3.9427738212518673)	(6.0, 3.364377293604351)	(7.0, 2.6359340589117437)	(8.0, 2.2816775698587004)	(9.0, 1.9445636019381929)	('>10', 20.144111335395774)	('>50', 6.13055252674721)	('>100', 12.04869640538185)	('>500', 3.4240668308434397)	('>1k', 4.568474044748039)	('>5k', 1.1952912841258452)	('>10k+', 1.951961393797037)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(1.0, 15.055196823902259)	(2.0, 9.16981599279157)	(3.0, 6.54049591608872)	(4.0, 4.817571453195332)	(5.0, 3.7781175563383504)	(6.0, 3.0777841919048083)	(7.0, 2.430564520727026)	(8.0, 1.9721039362113015)	(9.0, 1.7786551920994769)	('>10', 19.151323959345014)	('>50', 6.064870078789394)	('>100', 12.740766680728747)	('>500', 3.7236405449395162)	('>1k', 5.540215498742969)	('>5k', 1.38904020428151)	('>10k+', 2.7698374499141276)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(1.0, 15.40365903089231)	(2.0, 9.122153101906106)	(3.0, 6.544541871828752)	(4.0, 4.747488431776626)	(5.0, 3.7664641605930687)	(6.0, 3.055465812043862)	(7.0, 2.381958596633496)	(8.0, 2.0527164388022197)	(9.0, 1.8331966352742337)	('>10', 18.964134223070435)	('>50', 6.152177421121651)	('>100', 12.590692683881135)	('>500', 3.6021859439776303)	('>1k', 5.539457993880295)	('>5k', 1.4779143943707704)	('>10k+', 2.7657932599473902)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	(1.0, 15.109358059000202)	(2.0, 9.645173451831678)	(3.0, 6.937989296975072)	(4.0, 5.150754940264631)	(5.0, 4.110128331649846)	(6.0, 3.3686937865433593)	(7.0, 2.71220324196264)	(8.0, 2.304002901306595)	(9.0, 1.9698537342566769)	('>10', 20.61934470701018)	('>50', 6.105890862116111)	('>100', 11.769389306419017)	('>500', 3.137465379544282)	('>1k', 4.208458642624131)	('>5k', 1.2320626455013277)	('>10k+', 1.619230712994292)
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	(1.0, 15.228639794356743)	(2.0, 9.656971011728329)	(3.0, 7.037719494879065)	(4.0, 5.223348886403552)	(5.0, 4.135353074914775)	(6.0, 3.2845631213045463)	(7.0, 2.8059029179592554)	(8.0, 2.30194585340053)	(9.0, 1.9495195612666056)	('>10', 20.60439745068729)	('>50', 5.939145962141781)	('>100', 11.785274135451816)	('>500', 3.010601752490578)	('>1k', 4.137204899985876)	('>5k', 1.1568786612473108)	('>10k+', 1.7425334217818316)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(1.0, 15.04588030248499)	(2.0, 9.221796890496957)	(3.0, 6.735187358644675)	(4.0, 5.095056369317658)	(5.0, 3.8865692739802915)	(6.0, 3.152430917264893)	(7.0, 2.6052408435484242)	(8.0, 2.1362589951387108)	(9.0, 1.8428144524306924)	('>10', 20.083259721051007)	('>50', 6.173824181959824)	('>100', 11.79197833341688)	('>500', 3.396685571756234)	('>1k', 4.987227260466032)	('>5k', 1.3153272076223326)	('>10k+', 2.5304623204204173)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(1.0, 15.276372828200524)	(2.0, 9.437522814006831)	(3.0, 6.600246633728449)	(4.0, 5.04686786124905)	(5.0, 3.8339124702773573)	(6.0, 3.109383419100392)	(7.0, 2.511053665956557)	(8.0, 2.224471853246586)	(9.0, 1.8137282643878923)	('>10', 20.086333148491338)	('>50', 6.099120607345789)	('>100', 11.79142625968302)	('>500', 3.289384821969504)	('>1k', 4.972142062266941)	('>5k', 1.2815390376669764)	('>10k+', 2.626494252423016)
