Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	76.0196750503398	49.0	150.0	150	27.27272727272727	75.77853999999999
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	75.68520903342241	49.0	150.0	150	27.27272727272727	75.77853999999999
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	73.45552983023242	49.0	150.0	150	27.27272727272727	60.623791
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	73.35263060485501	49.0	150.0	150	27.27272727272727	60.623791
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	73.70268974753323	48.0	150.0	150	27.27272727272727	58.357913999999994
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	73.39460813025268	48.0	150.0	150	27.27272727272727	58.357913999999994
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	72.8842790117638	49.0	150.0	150	27.27272727272727	62.610020999999996
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	72.71238521314672	49.0	150.0	150	27.27272727272727	62.610020999999996
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	73.40240410679486	48.0	150.0	150	27.27272727272727	59.543752999999995
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	73.15283384158616	48.0	150.0	150	27.27272727272727	59.543752999999995
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	72.730477177745	49.0	150.0	150	27.27272727272727	56.821565
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	72.66214622935027	49.0	150.0	150	27.27272727272727	56.821565
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	72.56418938167403	48.0	150.0	150	36.36363636363637	52.746354
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	72.3763654280519	48.0	150.0	150	27.27272727272727	52.746354
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	72.11882177232806	48.0	150.0	150	36.36363636363637	51.791807
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	72.02921140940784	48.0	150.0	150	27.27272727272727	51.791807
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	71.77584683061889	49.0	150.0	150	36.36363636363637	51.657802999999994
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	71.83853636577051	49.0	150.0	150	27.27272727272727	51.657802999999994
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	74.37612420380532	48.0	150.0	150	36.36363636363637	50.941899
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	74.36753519008273	48.0	150.0	150	27.27272727272727	50.941899
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	73.27852846483053	49.0	150.0	150	36.36363636363637	53.187475
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	73.16688375997165	49.0	150.0	150	27.27272727272727	53.187475
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	72.52750600368026	50.0	150.0	150	36.36363636363637	54.803658999999996
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	72.52426580544288	50.0	150.0	150	27.27272727272727	54.803658999999996
