.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
HSF4_0H_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_0H_1_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_0H_2_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_0H_2_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_0H_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_0H_3_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_2H_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	1	1
HSF4_2H_1_2	1	1	1	1	0.5	0.25	1	0.5	0.25	1	1
HSF4_2H_2_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_2H_2_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_2H_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_2H_3_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_4H_1_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_4H_1_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_4H_2_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_4H_2_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_4H_3_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	1	1
HSF4_4H_3_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_6H_1_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_6H_1_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_6H_2_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_6H_2_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.5	1
HSF4_6H_3_1	1	1	0.5	1	0.5	0.25	1	0.5	0.25	1	1
HSF4_6H_3_2	1	1	0.5	1	0.5	0.25	1	0.5	0.25	1	1
