Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
HSF4_0H_1_1 - polya	(1, 0.01315471534944647)	(2, 0.01583069974077395)	(3, 0.016932887371261307)	(4, 0.018519931579583246)	(5, 0.0203917959087643)	(6, 0.021822520236800775)	(7, 0.02307042978958814)	(8, 0.02444286534870461)	(9, 0.026141188115873834)	(10, 0.02892116496993359)	(12, 0.032225740744273396)	(14, 0.03527927738883272)	(16, 0.03861697178187706)	(18, 0.04195930278154006)	(20, 0.04525924194926122)	(22, 0.048788361958417854)	(24, 0.05199490662139219)	(26, 0.05498816737990924)	(28, 0.058510663665324966)	(30, 0.062020574875632964)	(32, 0.0652344056347223)	(34, 0.06849857669424256)	(36, 0.07143553580096187)	(38, 0.07463082013357666)	(40, 0.07824406143424284)	(42, 0.08159699039189129)	(44, 0.08457766607530061)	(46, 0.0877000894467654)	(48, 0.09118284338973567)	(50, 0.09411317877271408)	(52, 0.09726010992202022)	(54, 0.1003977678580891)	(56, 0.10360894912768208)	(58, 0.10678899889569277)	(60, 0.10985843247723029)	(62, 0.11296760840121325)	(64, 0.1157926265767112)	(66, 0.11885079982788917)	(68, 0.1225991650928699)	(70, 0.12559838720275376)	(72, 0.12866318417767264)	(74, 0.13165843205331196)	(76, 0.13472919037959766)	(78, 0.13804701360141927)	(80, 0.1410945888946118)	(82, 0.14420575193571702)	(84, 0.14739573728933908)	(86, 0.1508400736346121)	(88, 0.15411616739686596)	(90, 0.15720149791538168)	(92, 0.1604497720379237)	(94, 0.16370864411845126)	(96, 0.1669065779405624)	(98, 0.1700144291197972)	(100, 0.17292423095917878)	(102, 0.17600426249870174)	(104, 0.17944594935447838)	(106, 0.18268958687040182)	(108, 0.18603390498718708)	(110, 0.18972133199375144)	(112, 0.19268147413356396)	(114, 0.19581250834589192)	(116, 0.19902037775361442)	(118, 0.20186725421745738)	(120, 0.20493668779899488)	(122, 0.20811408807750922)	(124, 0.21134712763544722)	(126, 0.21506767326071613)	(128, 0.21897169603360825)	(130, 0.22224447793399166)
HSF4_0H_1_2 - polya	(1, 0.01019656032675624)	(2, 0.012908312826284631)	(3, 0.013974732348571077)	(4, 0.015357765865673003)	(5, 0.01710775367802132)	(6, 0.018416601489225057)	(7, 0.019610196507336967)	(8, 0.020919044318540702)	(9, 0.022499464803121736)	(10, 0.025125771266392392)	(12, 0.028262104457713086)	(14, 0.031006313203571938)	(16, 0.03415655621474854)	(18, 0.03735713952635606)	(20, 0.04064913022558814)	(22, 0.04383447897259156)	(24, 0.04680853093225997)	(26, 0.04981437676588475)	(28, 0.05314544743518819)	(30, 0.056552690927512084)	(32, 0.05962013739192733)	(34, 0.0626696998022421)	(36, 0.0655927490891055)	(38, 0.0686350254033053)	(40, 0.07204756787462192)	(42, 0.07527795794306352)	(44, 0.07823147635913512)	(46, 0.08119161849894763)	(48, 0.08461740841774607)	(50, 0.08747090860532993)	(52, 0.0906019428176579)	(54, 0.09371641772063359)	(56, 0.09676200589670382)	(58, 0.0998261404992486)	(60, 0.10285583173834065)	(62, 0.1059226158303818)	(64, 0.10874630926113157)	(66, 0.11188926617619317)	(68, 0.1155720565761389)	(70, 0.11839243814501821)	(72, 0.1213174745490039)	(74, 0.12425178416622684)	(76, 0.1271867561558239)	(78, 0.13034627238023777)	(80, 0.13329250470019438)	(82, 0.13630431188518596)	(84, 0.1393664593706085)	(86, 0.1424835837630805)	(88, 0.14556030344073304)	(90, 0.1485462781031351)	(92, 0.15155212393675987)	(94, 0.1546487147856351)	(96, 0.1576982771959499)	(98, 0.1607955304171992)	(100, 0.16347482667039714)	(102, 0.1664243708522242)	(104, 0.1697011269868522)	(106, 0.1727029985862324)	(108, 0.1758148239997117)	(110, 0.17932473521001974)	(112, 0.18220804215443767)	(114, 0.18512711720705655)	(116, 0.1880905712087395)	(118, 0.19081888301762018)	(120, 0.1939519043470704)	(122, 0.1970955236345061)	(124, 0.20032922556481816)	(126, 0.2038808662346939)	(128, 0.20755504579377645)	(130, 0.2107755002766067)
HSF4_0H_2_1 - polya	(1, 0.011751552611191183)	(2, 0.01434884603941473)	(3, 0.01534373026526709)	(4, 0.016818675099267842)	(5, 0.018594899349416896)	(6, 0.019811604683861964)	(7, 0.02106472840927001)	(8, 0.022417175019122552)	(9, 0.024128839394382685)	(10, 0.02683290492338407)	(12, 0.029813419147422623)	(14, 0.03251003546009067)	(16, 0.0355658695381663)	(18, 0.03848182388731594)	(20, 0.04161711627294717)	(22, 0.04454962443617089)	(24, 0.04748296029009831)	(26, 0.05013157054195151)	(28, 0.05315264161047157)	(30, 0.05625648174936204)	(32, 0.05928914048773396)	(34, 0.062351596091439226)	(36, 0.06524023664736663)	(38, 0.0682422708297015)	(40, 0.0714727476462587)	(42, 0.07472226134900109)	(44, 0.077489231371484)	(46, 0.08032738279448545)	(48, 0.08337162920270921)	(50, 0.08604010403145132)	(52, 0.08888404928937871)	(54, 0.09178344982445424)	(56, 0.09466546885475202)	(58, 0.09770309373734616)	(60, 0.10041129771986607)	(62, 0.10333470128534902)	(64, 0.10612401895683193)	(66, 0.10909129012961123)	(68, 0.11237722222331661)	(70, 0.11505066319628093)	(72, 0.11788136540294905)	(74, 0.12076669519606163)	(76, 0.12349393606476673)	(78, 0.12671448059287949)	(80, 0.129488072140992)	(82, 0.13228235595669713)	(84, 0.13504022138143928)	(86, 0.13789078816499628)	(88, 0.1408216409468126)	(90, 0.14361592476251775)	(92, 0.146560848286297)	(94, 0.14948921799600223)	(96, 0.15227522490467033)	(98, 0.15510096096711617)	(100, 0.15780502649611758)	(102, 0.16063159024926715)	(104, 0.1638438578703429)	(106, 0.16676560605441842)	(108, 0.16977508945308667)	(110, 0.17295424944601417)	(112, 0.17581392082731195)	(114, 0.1787141490530912)	(116, 0.18176667236835203)	(118, 0.18435403350813112)	(120, 0.1872584001874289)	(122, 0.19027698818383787)	(124, 0.19343628359987652)	(126, 0.19705660273787834)	(128, 0.20086480766562104)	(130, 0.20399513390703006)
HSF4_0H_2_2 - polya	(1, 0.009369458765930708)	(2, 0.011759829518228224)	(3, 0.012716639971710193)	(4, 0.01398962827400714)	(5, 0.015565551373859796)	(6, 0.016744182935934472)	(7, 0.017810248562305387)	(8, 0.01912296601838013)	(9, 0.020784968951418015)	(10, 0.02336157011204896)	(12, 0.026311459780050464)	(14, 0.02896007003190367)	(16, 0.031905821246386655)	(18, 0.03473900652516588)	(20, 0.03760281635998215)	(22, 0.04061643821216888)	(24, 0.043424792769836976)	(26, 0.04603450155861609)	(28, 0.04907047105980282)	(30, 0.05192352091547094)	(32, 0.05461186032110195)	(34, 0.05733827349910334)	(36, 0.060073791274845474)	(38, 0.06291525346066174)	(40, 0.0659760536829596)	(42, 0.06918004439699826)	(44, 0.07189652528655521)	(46, 0.07463618151581587)	(48, 0.07773008936626188)	(50, 0.08034228122715212)	(52, 0.08323588792730174)	(54, 0.08597306108445128)	(56, 0.08889977541274907)	(58, 0.091733788382232)	(60, 0.0945048968582334)	(62, 0.09744982038201269)	(64, 0.10013236595271777)	(66, 0.10283063764679323)	(68, 0.10591213013668369)	(70, 0.10841341144327755)	(72, 0.11113154771424191)	(74, 0.11389189621109516)	(76, 0.11643207898076313)	(78, 0.11944487314224614)	(80, 0.12204547733328451)	(82, 0.1246924322037303)	(84, 0.12742629459806504)	(86, 0.13028182752584427)	(88, 0.13325240946143838)	(90, 0.13609469933795837)	(92, 0.13889891544210792)	(94, 0.1416220178572945)	(96, 0.1443707786842959)	(98, 0.1471360933253714)	(100, 0.14967875916715045)	(102, 0.15243993535470743)	(104, 0.15548335407222752)	(106, 0.1583148839695993)	(108, 0.16120683528834154)	(110, 0.16427922318049126)	(112, 0.16694355955571483)	(114, 0.16975522487619776)	(116, 0.17271173606982887)	(118, 0.175321444858608)	(120, 0.178172011642165)	(122, 0.18104575376542573)	(124, 0.18399316036131613)	(126, 0.18732296006231783)	(128, 0.1909499007259493)	(130, 0.19388985810550635)
HSF4_0H_3_1 - polya	(1, 0.008784229447719652)	(2, 0.011479527576675341)	(3, 0.012571751132442324)	(4, 0.014164505483056852)	(5, 0.01601698543512148)	(6, 0.017442896187453497)	(7, 0.018548880039986046)	(8, 0.020059072610007167)	(9, 0.021749869075076367)	(10, 0.024696292620003675)	(12, 0.028054665049350187)	(14, 0.03101054879830382)	(16, 0.03443084256309539)	(18, 0.03785801647626974)	(20, 0.041478694562709896)	(22, 0.044874047789613875)	(24, 0.048167058809323926)	(26, 0.05138954830811045)	(28, 0.05507730784128275)	(30, 0.05873410670673252)	(32, 0.061994437021624355)	(34, 0.06543537123156429)	(36, 0.06860281954328853)	(38, 0.0718012285227353)	(40, 0.07538492581161799)	(42, 0.07897206317469208)	(44, 0.08216101195011252)	(46, 0.08543080246903069)	(48, 0.08907384103771489)	(50, 0.09225160957201331)	(52, 0.09560310185297705)	(54, 0.09901651546938584)	(56, 0.10253485134863206)	(58, 0.10585108286913403)	(60, 0.10895746986396107)	(62, 0.11219715973370455)	(64, 0.11499652010694984)	(66, 0.11815278817755206)	(68, 0.1218680683042555)	(70, 0.12487985325881926)	(72, 0.1280438614963521)	(74, 0.1311691688992318)	(76, 0.1342402951335971)	(78, 0.1376743491951542)	(80, 0.14070505455777063)	(82, 0.14379338116309287)	(84, 0.14691266843613762)	(86, 0.15035618270172108)	(88, 0.15367671431496227)	(90, 0.15700154602094274)	(92, 0.16036679859867203)	(94, 0.16365034941435574)	(96, 0.1669734610832405)	(98, 0.1702939926964817)	(100, 0.1731311938858323)	(102, 0.1761274985065348)	(104, 0.17961229366241496)	(106, 0.18279522230800047)	(108, 0.1860839332349713)	(110, 0.1897648126197608)	(112, 0.19272585648000154)	(114, 0.1959044850328478)	(116, 0.1992301767573761)	(118, 0.20224454176758339)	(120, 0.20557281354775522)	(122, 0.20896042660772857)	(124, 0.21227837816532621)	(126, 0.21576317332120637)	(128, 0.21952317441239794)	(130, 0.22286778654497885)
HSF4_0H_3_2 - polya	(1, 0.00715019420680842)	(2, 0.009658008292333238)	(3, 0.010753671922291614)	(4, 0.012294825160035262)	(5, 0.014135264852430019)	(6, 0.015406372266149389)	(7, 0.01660351808475383)	(8, 0.017874625498473202)	(9, 0.019434699144269506)	(10, 0.02213429736596443)	(12, 0.02520198352613831)	(14, 0.02797124325020893)	(16, 0.03134079592067746)	(18, 0.034581345808968794)	(20, 0.03779523512227684)	(22, 0.04105814549281221)	(24, 0.04421613360051013)	(26, 0.0470705351608177)	(28, 0.05038504664422397)	(30, 0.05369095794215174)	(32, 0.05678616469585676)	(34, 0.05995361300758101)	(36, 0.0629800182774582)	(38, 0.06597288282396929)	(40, 0.06944477770163174)	(42, 0.07281519039064811)	(44, 0.07586739621696073)	(46, 0.0789634629892136)	(48, 0.08250071927651248)	(50, 0.08540930200533448)	(52, 0.08863351154121671)	(54, 0.09172527822073033)	(56, 0.09485402569780141)	(58, 0.09805157465870035)	(60, 0.10105905952052487)	(62, 0.10436067072571341)	(64, 0.10710670994899213)	(66, 0.11015203562692195)	(68, 0.1137598134351444)	(70, 0.11668817659056689)	(72, 0.11966212072902535)	(74, 0.1227134665367901)	(76, 0.1256598900817174)	(78, 0.1289752615836715)	(80, 0.1319638260374434)	(82, 0.1351845954991342)	(84, 0.1382402413996382)	(86, 0.14135608859849158)	(88, 0.14444527522236167)	(90, 0.14752242158656187)	(92, 0.15061160821043196)	(94, 0.15366897414803166)	(96, 0.15683040232992096)	(98, 0.15991786891669535)	(100, 0.16288321286967533)	(102, 0.16579265561704515)	(104, 0.16912178741576483)	(106, 0.17224365474445313)	(108, 0.1755581662278594)	(110, 0.1791186430159502)	(112, 0.1820074453181717)	(114, 0.1850071900130656)	(116, 0.1882210793263736)	(118, 0.1912311442438417)	(120, 0.1943788121289654)	(122, 0.19751529977296714)	(124, 0.2008280912192777)	(126, 0.20442726884202167)	(128, 0.20806858737361017)	(130, 0.21119045470229847)
HSF4_2H_1_1 - polya	(1, 0.010515984296130118)	(2, 0.01328047910041928)	(3, 0.014305138137507896)	(4, 0.015858963813468567)	(5, 0.017831312194718955)	(6, 0.01938353433541032)	(7, 0.02070324386205184)	(8, 0.022269897820166983)	(9, 0.024057839645446808)	(10, 0.02704121701399668)	(12, 0.03044311708783627)	(14, 0.033460168697041645)	(16, 0.03671053468793151)	(18, 0.040068337541865104)	(20, 0.043535180794111714)	(22, 0.04694910738247113)	(24, 0.05004954282568058)	(26, 0.053060982061443364)	(28, 0.056544662434017734)	(30, 0.060066827653055516)	(32, 0.06347594363560699)	(34, 0.06695080456420016)	(36, 0.07013382207377905)	(38, 0.07336093680326393)	(40, 0.0769151727276879)	(42, 0.08053034299234563)	(44, 0.08370373929030864)	(46, 0.08680818357169137)	(48, 0.09025257733016764)	(50, 0.09331051908874041)	(52, 0.09655126386801442)	(54, 0.09971984956016952)	(56, 0.1030600135261407)	(58, 0.10636089087801381)	(60, 0.10962167984815419)	(62, 0.11294420492616297)	(64, 0.11598370602913868)	(66, 0.11920039777937305)	(68, 0.12282037864983869)	(70, 0.12598094666564724)	(72, 0.12910864220843493)	(74, 0.1323060915354376)	(76, 0.1352541911280627)	(78, 0.1386328399404973)	(80, 0.1417501125040345)	(82, 0.14498123607169267)	(84, 0.14809610333232587)	(86, 0.15151965113230115)	(88, 0.15490311055054368)	(90, 0.15807650684850671)	(92, 0.16142789556136306)	(94, 0.16460049009169142)	(96, 0.16788853916141006)	(98, 0.17126798974147933)	(100, 0.17429947316810848)	(102, 0.17751295784780424)	(104, 0.18103672660211134)	(106, 0.18428629082536654)	(108, 0.18793914416885305)	(110, 0.1917250909396922)	(112, 0.19502516652393065)	(114, 0.19823865120362638)	(116, 0.20161329117788773)	(118, 0.20455577839707023)	(120, 0.20770993227180154)	(122, 0.21118158612985607)	(124, 0.2147630821538583)	(126, 0.2185345971072737)	(128, 0.2224183595295407)	(130, 0.2258819957112487)
HSF4_2H_1_2 - polya	(1, 0.00843619905183601)	(2, 0.010958560030459473)	(3, 0.01195916603850845)	(4, 0.013484128079621556)	(5, 0.01535866080944408)	(6, 0.016774582452244155)	(7, 0.018026943497574686)	(8, 0.0194845570573768)	(9, 0.02107205697399297)	(10, 0.023881450765822786)	(12, 0.027062864740132357)	(14, 0.029844998432383918)	(16, 0.032949442713766645)	(18, 0.03615250441421189)	(20, 0.039471822421682054)	(22, 0.04258508614704598)	(24, 0.04544739660276301)	(26, 0.04828485226180574)	(28, 0.05163223213648882)	(30, 0.055010880948923424)	(32, 0.05818748431742507)	(34, 0.061336025818713794)	(36, 0.06419833627443083)	(38, 0.06736772373422056)	(40, 0.07082654931012064)	(42, 0.0742076034254592)	(44, 0.07712283054506344)	(46, 0.08017115109202035)	(48, 0.08348726202895189)	(50, 0.08648106237675228)	(52, 0.08962479327223308)	(54, 0.09267391558682464)	(56, 0.09587136491382729)	(58, 0.09904957181759824)	(60, 0.10208426231476603)	(62, 0.10532500709404002)	(64, 0.10828352966591562)	(66, 0.11141282874397263)	(68, 0.1148981126518163)	(70, 0.11790794835230978)	(72, 0.12091056814409137)	(74, 0.12385546066617782)	(76, 0.12677630015922464)	(78, 0.1301701825567177)	(80, 0.13319926068044285)	(82, 0.1362275370365334)	(84, 0.13927345228058635)	(86, 0.1426529028606556)	(88, 0.14589845824573755)	(90, 0.14909189873456694)	(92, 0.15225166498274084)	(94, 0.1555637670814991)	(96, 0.15869066085665215)	(98, 0.161943432150446)	(100, 0.16474240296302528)	(102, 0.16780355179213668)	(104, 0.17118941651328318)	(106, 0.17429305902703124)	(108, 0.17753540734157458)	(110, 0.18117062179709864)	(112, 0.18433359511581116)	(114, 0.18744124646773253)	(116, 0.1907669786162799)	(118, 0.19371908704707824)	(120, 0.19700392904625827)	(122, 0.2002951851865155)	(124, 0.20374438955079974)	(126, 0.20763777318468263)	(128, 0.21156402929158635)	(130, 0.21490339148992288)
HSF4_2H_2_1 - polya	(1, 0.008882526421807325)	(2, 0.01167253994013929)	(3, 0.012796974391334107)	(4, 0.01430408743386509)	(5, 0.016291655976531788)	(6, 0.017815627106786833)	(7, 0.01907998368609135)	(8, 0.020514606951408873)	(9, 0.022217273811538953)	(10, 0.02509494938603603)	(12, 0.028503654723841004)	(14, 0.031657802937012675)	(16, 0.03505639342218321)	(18, 0.03858731989598762)	(20, 0.04216207739787459)	(22, 0.04567951740149975)	(24, 0.049046077519994576)	(26, 0.052181681836669776)	(28, 0.055908162128073285)	(30, 0.059552880694015105)	(32, 0.06281576357300696)	(34, 0.06631971710645287)	(36, 0.06947976565032796)	(38, 0.07254878052049313)	(40, 0.07620867136538659)	(42, 0.07970841037690149)	(44, 0.08288025958218342)	(46, 0.0861465140787201)	(48, 0.08965636794286942)	(50, 0.0927590989884827)	(52, 0.09590397525340613)	(54, 0.09900080596831601)	(56, 0.10234713638154194)	(58, 0.10570189583862993)	(60, 0.10885267243425678)	(62, 0.11214252825360714)	(64, 0.11508679327461425)	(66, 0.11831511707377179)	(68, 0.12198090824936868)	(70, 0.12505750925900966)	(72, 0.1281745696791884)	(74, 0.1313632769721944)	(76, 0.1345030958108006)	(78, 0.13787555625999887)	(80, 0.140886410727516)	(82, 0.1439916704862879)	(84, 0.14708765829681153)	(86, 0.15048624878198208)	(88, 0.1537676755574704)	(90, 0.15701875777505542)	(92, 0.16024708157421297)	(94, 0.16348299151284632)	(96, 0.16677284733219666)	(98, 0.17007534671734006)	(100, 0.17306259986204353)	(102, 0.1761948325611739)	(104, 0.1796338824568822)	(106, 0.182938067650798)	(108, 0.18629282710788597)	(110, 0.1900479661484204)	(112, 0.19319958564843345)	(114, 0.19643802430022542)	(116, 0.19983745768978217)	(118, 0.20283566859150626)	(120, 0.2060387052590777)	(122, 0.20949967066882724)	(124, 0.2130685278400108)	(126, 0.21684726820335892)	(128, 0.2209572699904848)	(130, 0.2243760901809242)
HSF4_2H_2_2 - polya	(1, 0.007137714342367094)	(2, 0.00984680903962357)	(3, 0.010918983418873799)	(4, 0.01238900866841185)	(5, 0.014054587735548999)	(6, 0.015474038721914869)	(7, 0.016721537213495324)	(8, 0.018245508343750366)	(9, 0.019894229323163457)	(10, 0.02245665865722061)	(12, 0.025573719077399342)	(14, 0.028336759655372808)	(16, 0.03146814945011699)	(18, 0.03473777556419847)	(20, 0.038132994431824205)	(22, 0.04146920999241571)	(24, 0.044535696149422266)	(26, 0.047393984923036675)	(28, 0.05081954834856571)	(30, 0.05411108997668847)	(32, 0.057277038851266976)	(34, 0.06044888805654891)	(36, 0.06339989631264564)	(38, 0.06635174747312858)	(40, 0.06986328714605033)	(42, 0.07334869678299978)	(44, 0.076434569740889)	(46, 0.07957607438826761)	(48, 0.08312301604540989)	(50, 0.08611532661643057)	(52, 0.08925430255065059)	(54, 0.09243036627786352)	(56, 0.09557608544717316)	(58, 0.0987479346524551)	(60, 0.10184392246297876)	(62, 0.10502841523405373)	(64, 0.10788501819889573)	(66, 0.11093801788572304)	(68, 0.1146510117069473)	(70, 0.11768041007096092)	(72, 0.12063394704021627)	(74, 0.1236085566191267)	(76, 0.1264676882971273)	(78, 0.12967156786908496)	(80, 0.13258717414096116)	(82, 0.13563174478392642)	(84, 0.1387875788058705)	(86, 0.14202264584011765)	(88, 0.14526867063138543)	(90, 0.14847929343843275)	(92, 0.15173880469987977)	(94, 0.15493425522797538)	(96, 0.1580504727437679)	(98, 0.16124423746309113)	(100, 0.16411769851565716)	(102, 0.16721874375249807)	(104, 0.1705364154165931)	(106, 0.17360627319114447)	(108, 0.17700992110263222)	(110, 0.18058383570013298)	(112, 0.18346825450971968)	(114, 0.1866578047071119)	(116, 0.18980605258958014)	(118, 0.1926862568772358)	(120, 0.19593902490359322)	(122, 0.1992027506869713)	(124, 0.20258026856248673)	(126, 0.2062662894433525)	(128, 0.21007790307776253)	(130, 0.21338124536729214)
