Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
HSF4_0H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.3247447481819203e-06)	(8, 0.0)	(9, 0.0)	(10, 5.298978992727681e-07)	(15, 2.7024792862911173e-05)	(20, 0.00015420028868837554)	(25, 0.00018202018014020578)	(30, 0.0007516649637273433)	(35, 1.3777520159346983e-05)	(40, 0.0014647378214025408)	(45, 0.00022259166255103957)	(50, 0.0)	(55, 0.00014100106451563077)	(60, 0.0)	(65, 5.302068056004144e-07)	(70, 2.6779946725140634e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.831874886299017e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 5.249579803441841e-05)	(135, 0.0)	(140, 0.0)
HSF4_0H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00012055177208455476)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.756198215727794e-05)	(10, 0.0)	(15, 0.0004745235687987638)	(20, 6.6237237409096015e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00010812392818015415)	(55, 0.0)	(60, 0.0025851722819720487)	(65, 0.00024601238903015384)	(70, 0.0018037763190731457)	(75, 9.653467104503378e-05)	(80, 1.5917228543949978e-06)	(85, 0.0)	(90, 3.7175459170825175e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026152763069934356)	(125, 0.0015567695363692847)	(130, 0.00012982515560144197)	(135, 0.000969242798962569)	(140, 0.0003078091628885472)
HSF4_0H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.621525629633009e-07)	(15, 3.0790094177793495e-05)	(20, 0.00016288953048897202)	(25, 0.00018573380252009383)	(30, 0.0007651175018195131)	(35, 1.5891669455765014e-05)	(40, 0.0014925848381927614)	(45, 0.00022814892948863294)	(50, 0.0)	(55, 0.0001397643040609529)	(60, 0.0)	(65, 6.625212513215104e-07)	(70, 2.9154257099155193e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.3596436900501591e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.134058481280129e-05)	(135, 0.0)	(140, 0.0)
HSF4_0H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00011091055429635291)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.297220503706407e-05)	(10, 0.0)	(15, 0.0004535745056298611)	(20, 8.939059600004562e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.3113066758532027e-07)	(50, 0.00011226436194753554)	(55, 0.0)	(60, 0.00248652071923945)	(65, 0.00024016452482367197)	(70, 0.0017356774310251263)	(75, 0.00010370992571019454)	(80, 6.627855249802026e-07)	(85, 0.0)	(90, 9.945959425140254e-07)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026441044315353245)	(125, 0.0015467346799259844)	(130, 0.00013576091325025413)	(135, 0.0009529406265457471)	(140, 0.0003142813886425853)
HSF4_0H_3_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.7200370956960354e-06)	(8, 0.0)	(9, 0.0)	(10, 3.440074191392071e-07)	(15, 2.5800556435440534e-05)	(20, 0.00015067524958297271)	(25, 0.00019264439528205343)	(30, 0.0007716127103320614)	(35, 9.976320686833214e-06)	(40, 0.0014693445530203641)	(45, 0.00021503492175730732)	(50, 0.0)	(55, 0.00012938639003489425)	(60, 0.0)	(65, 0.0)	(70, 2.5817248974946786e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.2413310311286203e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.552359431962996e-05)	(135, 0.0)	(140, 0.0)
HSF4_0H_3_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00010836233702885024)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.988107577518503e-05)	(10, 0.0)	(15, 0.0004561538377785886)	(20, 3.4400741913920708e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00011044921864919574)	(55, 0.0)	(60, 0.002517389517658877)	(65, 0.00023094401273516838)	(70, 0.001760371480377925)	(75, 9.502341085920446e-05)	(80, 6.887419386027611e-07)	(85, 0.0)	(90, 3.1016117366862867e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00024523697248651376)	(125, 0.0015011766262724767)	(130, 0.00012692277544125192)	(135, 0.0009716764306837314)	(140, 0.0003089248379831377)
HSF4_2H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.405302903963888e-05)	(20, 0.00014624241656100437)	(25, 0.00017959596283412924)	(30, 0.0007645658395401631)	(35, 1.1545460085526074e-05)	(40, 0.001448396421020141)	(45, 0.00020816985998536915)	(50, 0.0)	(55, 0.00014628992203850747)	(60, 0.0)	(65, 0.0)	(70, 2.8560965539061028e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.2850346217240372e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 5.979934288473866e-05)	(135, 0.0)	(140, 0.0)
HSF4_2H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00010262625723579254)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 9.300504561993701e-05)	(10, 3.207070538618517e-07)	(15, 0.0004778535102541591)	(20, 4.810605807927776e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0001167650367191396)	(55, 0.0)	(60, 0.002555819813791939)	(65, 0.00023616290950034835)	(70, 0.0017791286889895608)	(75, 0.00010270525348829647)	(80, 9.630234127748252e-07)	(85, 0.0)	(90, 3.5327487462748407e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026626482125976185)	(125, 0.0015410197971914652)	(130, 0.00012548415903985212)	(135, 0.0009692604924370926)	(140, 0.0003216689342970426)
HSF4_2H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.798442562193995e-05)	(20, 0.00016183764215097802)	(25, 0.00019622815169376134)	(30, 0.0007471506620543824)	(35, 9.440534090933497e-06)	(40, 0.0015034917170537296)	(45, 0.00023874729375895958)	(50, 0.0)	(55, 0.00014233076571779896)	(60, 0.0)	(65, 0.0)	(70, 2.429146388242586e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.4185775497335555e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.08593341380252e-05)	(135, 0.0)	(140, 0.0)
HSF4_2H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00010957757020639138)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 7.754720353067697e-05)	(10, 0.0)	(15, 0.0004167319285387685)	(20, 3.3716175448120426e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00011331466465239957)	(55, 0.0)	(60, 0.002482931130253491)	(65, 0.00024153775999945915)	(70, 0.001702095178962673)	(75, 0.00011067654147064517)	(80, 1.3499391280386112e-06)	(85, 3.375572479370746e-07)	(90, 1.350593581658534e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00027730287494603104)	(125, 0.0014873693450767498)	(130, 0.00012996031607315065)	(135, 0.0009494846964576294)	(140, 0.0003208089756597378)
