Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
HSF4_0H_1_1	(1, 39.50762642304081)	(2, 39.503769004788154)	(3, 39.494970036923284)	(4, 39.500391528310324)	(5, 39.52134383696949)	(6, 39.51850868449667)	(7, 39.501731216179266)	(8, 39.620946108853744)	(9, 39.644346625292236)	(10, 39.6388851027684)	(15, 39.628630598106355)	(20, 39.59273370616949)	(25, 39.576291851960576)	(30, 39.58307620895799)	(35, 39.57159191173181)	(40, 39.559469010766314)	(45, 39.55875031079772)	(50, 39.548057046729625)	(55, 39.52628723978163)	(60, 39.5180308903274)	(65, 39.52455185291516)	(70, 39.50644361091528)	(75, 39.4934904061878)	(80, 39.488940146936756)	(85, 39.479873294318736)	(90, 39.46942256776689)	(95, 39.4571516695953)	(100, 39.44855087575776)	(105, 39.42946247448477)	(110, 39.419533841322)	(115, 39.41519190711912)	(120, 39.40296479591116)	(125, 39.410599595763465)	(130, 39.39618958818608)	(135, 39.410615968200034)	(140, 39.42972014179316)
HSF4_0H_1_2	(1, 39.538084450888)	(2, 39.50275860872127)	(3, 39.493703355737416)	(4, 39.513217269796456)	(5, 39.49187943392067)	(6, 39.536232616699415)	(7, 39.51174461729714)	(8, 39.5134487689412)	(9, 39.54489014156752)	(10, 39.53268752556757)	(15, 39.52908613278394)	(20, 39.5297099921787)	(25, 39.50292772581226)	(30, 39.490227605032096)	(35, 39.48104436536307)	(40, 39.455121131238165)	(45, 39.446509327321365)	(50, 39.43930173249089)	(55, 39.41491985773147)	(60, 39.401810017997086)	(65, 39.38363018435853)	(70, 39.36663219848963)	(75, 39.34650147205416)	(80, 39.33589743851439)	(85, 39.31381240873068)	(90, 39.30512691290322)	(95, 39.28055777855737)	(100, 39.27053609156365)	(105, 39.24889688033677)	(110, 39.2380567711818)	(115, 39.207812276779876)	(120, 39.211561994087056)	(125, 39.2047819951441)	(130, 39.20078550468476)	(135, 39.21024368192583)	(140, 39.24726532246175)
HSF4_0H_2_1	(1, 39.44897684930893)	(2, 39.498366179935424)	(3, 39.45790804584725)	(4, 39.46055788108134)	(5, 39.48602574194236)	(6, 39.48242540325795)	(7, 39.460900760232256)	(8, 39.600694508647955)	(9, 39.62806845843053)	(10, 39.620850002265385)	(15, 39.60898359929216)	(20, 39.567711318830945)	(25, 39.54712281563137)	(30, 39.558178905418124)	(35, 39.54635809215209)	(40, 39.53427658547705)	(45, 39.535079245147315)	(50, 39.52607785318897)	(55, 39.50348141149472)	(60, 39.49519344106598)	(65, 39.50135242086178)	(70, 39.48039030804251)	(75, 39.46628576974091)	(80, 39.46161351641109)	(85, 39.453137702461966)	(90, 39.44103224633932)	(95, 39.42891114373744)	(100, 39.41959922951239)	(105, 39.39884664707971)	(110, 39.3881028883079)	(115, 39.38498520828269)	(120, 39.37165099786618)	(125, 39.38085142883831)	(130, 39.3635707159131)	(135, 39.37817997662996)	(140, 39.3965723491341)
HSF4_0H_2_2	(1, 39.55428905266975)	(2, 39.51465473569278)	(3, 39.50529112042322)	(4, 39.51650316767992)	(5, 39.5040043427938)	(6, 39.54823401511155)	(7, 39.520839141307974)	(8, 39.52312499127821)	(9, 39.55545156081692)	(10, 39.542553911509835)	(15, 39.535205845602015)	(20, 39.53139727649036)	(25, 39.51553133596543)	(30, 39.498526965770616)	(35, 39.48653927238807)	(40, 39.456480111358964)	(45, 39.44867134439442)	(50, 39.43981252845632)	(55, 39.41455814388496)	(60, 39.3998659050321)	(65, 39.38375108109122)	(70, 39.36538133553661)	(75, 39.34415843912521)	(80, 39.33462630195929)	(85, 39.31177283411189)	(90, 39.3027467810482)	(95, 39.27812285020369)	(100, 39.2685594996597)	(105, 39.24735393320417)	(110, 39.23650918390773)	(115, 39.20690243904124)	(120, 39.21059381196939)	(125, 39.2047857912972)	(130, 39.20130254483613)	(135, 39.21093347441019)	(140, 39.248477506316696)
HSF4_0H_3_1	(1, 39.48452263320272)	(2, 39.49473784751221)	(3, 39.488531558062405)	(4, 39.493858323743694)	(5, 39.51631861974041)	(6, 39.51566364681474)	(7, 39.49526909816959)	(8, 39.62098067536603)	(9, 39.643508672022826)	(10, 39.637175519516994)	(15, 39.62545138202487)	(20, 39.588350384835074)	(25, 39.56936063690256)	(30, 39.579654176777616)	(35, 39.56775874607017)	(40, 39.55588305593128)	(45, 39.55326107706874)	(50, 39.544852487860474)	(55, 39.52139930705496)	(60, 39.51268252850065)	(65, 39.51944798326133)	(70, 39.50065576452298)	(75, 39.48697989431242)	(80, 39.481607289519815)	(85, 39.472585572005784)	(90, 39.46139981038659)	(95, 39.44973714236162)	(100, 39.44029378685725)	(105, 39.41899517942856)	(110, 39.40830593678341)	(115, 39.40496447255384)	(120, 39.39212819894418)	(125, 39.40024152941943)	(130, 39.38332865161233)	(135, 39.39983492459825)	(140, 39.41843287154552)
HSF4_0H_3_2	(1, 39.537846638430885)	(2, 39.50698977494708)	(3, 39.485351880286935)	(4, 39.50593460099035)	(5, 39.49240998370764)	(6, 39.534818065914266)	(7, 39.51007073979363)	(8, 39.511453890423766)	(9, 39.545312356242526)	(10, 39.52948956987566)	(15, 39.52620042893941)	(20, 39.529342482623456)	(25, 39.510031196468276)	(30, 39.487887871904164)	(35, 39.476316801727585)	(40, 39.44823326287825)	(45, 39.437420523954174)	(50, 39.43284161641273)	(55, 39.407395364534956)	(60, 39.39619761423522)	(65, 39.37940941799841)	(70, 39.3617331989164)	(75, 39.341543672277666)	(80, 39.33064202321528)	(85, 39.3088611667671)	(90, 39.3002978448758)	(95, 39.27627261489172)	(100, 39.26545337853652)	(105, 39.24349866463103)	(110, 39.2335143874221)	(115, 39.204379894610426)	(120, 39.20743687191291)	(125, 39.20047246243699)	(130, 39.19594140466861)	(135, 39.206246083109136)	(140, 39.24302129415727)
HSF4_2H_1_1	(1, 39.491632095515286)	(2, 39.48488560571813)	(3, 39.480379639540665)	(4, 39.486119702496744)	(5, 39.508418848800225)	(6, 39.50534322004763)	(7, 39.48652066649083)	(8, 39.61119460362917)	(9, 39.637246455417355)	(10, 39.63128084239737)	(15, 39.62028384883358)	(20, 39.58216671866397)	(25, 39.56450112922653)	(30, 39.57377759665809)	(35, 39.56324124533994)	(40, 39.552319613810155)	(45, 39.552178008618775)	(50, 39.540624799122455)	(55, 39.52031794735085)	(60, 39.512079404327714)	(65, 39.516837181288615)	(70, 39.49735939711458)	(75, 39.48465799391992)	(80, 39.47991653756532)	(85, 39.471641365634106)	(90, 39.46055764152489)	(95, 39.448742984245335)	(100, 39.439963880472035)	(105, 39.42025664949948)	(110, 39.41040332066594)	(115, 39.40713479432781)	(120, 39.39406396182565)	(125, 39.403494930555134)	(130, 39.387940651169814)	(135, 39.405409258516784)	(140, 39.424386221426275)
HSF4_2H_1_2	(1, 39.55266064344611)	(2, 39.51604957605093)	(3, 39.502668427006306)	(4, 39.519710222575824)	(5, 39.50380778692121)	(6, 39.54666730209424)	(7, 39.51803396698205)	(8, 39.52134972514123)	(9, 39.55310257776633)	(10, 39.538172695873754)	(15, 39.53395291263581)	(20, 39.5360238912644)	(25, 39.50905359226636)	(30, 39.48143666880261)	(35, 39.48078102178762)	(40, 39.454310951822166)	(45, 39.44518002443218)	(50, 39.43904290133757)	(55, 39.4153193478726)	(60, 39.4030829472125)	(65, 39.38474277215842)	(70, 39.366208467738424)	(75, 39.34521409337419)	(80, 39.33606519017553)	(85, 39.313072196911364)	(90, 39.305440050709166)	(95, 39.2810259592819)	(100, 39.271164006889094)	(105, 39.24920983945902)	(110, 39.23961131019034)	(115, 39.20960999168567)	(120, 39.21261174691605)	(125, 39.206697358805265)	(130, 39.20298507299623)	(135, 39.21232912977657)	(140, 39.24796681406327)
HSF4_2H_2_1	(1, 39.43138320828931)	(2, 39.47994407632843)	(3, 39.43888834465363)	(4, 39.440841421548804)	(5, 39.46545893303241)	(6, 39.46287797665995)	(7, 39.44256782459645)	(8, 39.58711353613579)	(9, 39.616755330936144)	(10, 39.607456204078886)	(15, 39.596480850586275)	(20, 39.55777653556149)	(25, 39.53955560384626)	(30, 39.550685480215996)	(35, 39.53843647525662)	(40, 39.52569544305471)	(45, 39.52596235819994)	(50, 39.51876392670184)	(55, 39.495575907954716)	(60, 39.486845578193666)	(65, 39.49320140793212)	(70, 39.47254834149965)	(75, 39.458019245682195)	(80, 39.45274869425681)	(85, 39.443234275553245)	(90, 39.43096069362444)	(95, 39.41856397302124)	(100, 39.4084559436118)	(105, 39.386718260190236)	(110, 39.376756156177706)	(115, 39.37291381121874)	(120, 39.35926381871313)	(125, 39.36850827193274)	(130, 39.35127048414559)	(135, 39.36551033047381)	(140, 39.38429560239433)
HSF4_2H_2_2	(1, 39.51659185637368)	(2, 39.496578811248234)	(3, 39.479088764389665)	(4, 39.49514631210197)	(5, 39.47240652186142)	(6, 39.52339321814978)	(7, 39.50056178734436)	(8, 39.500689436784604)	(9, 39.53378523460448)	(10, 39.525279216713905)	(15, 39.51718594549992)	(20, 39.51266892204279)	(25, 39.49211295460658)	(30, 39.47565638112625)	(35, 39.469941087855965)	(40, 39.44558231090205)	(45, 39.43365175607515)	(50, 39.42932767359206)	(55, 39.40314731021773)	(60, 39.38888534599454)	(65, 39.36923330267928)	(70, 39.350838849495226)	(75, 39.32932841958243)	(80, 39.318446474424775)	(85, 39.29504788466133)	(90, 39.28647611543018)	(95, 39.26070078826443)	(100, 39.25027303590694)	(105, 39.226844672716055)	(110, 39.21695459948904)	(115, 39.18613456623349)	(120, 39.19024675704273)	(125, 39.18409552690409)	(130, 39.17998478737374)	(135, 39.19058124533755)	(140, 39.22827097952855)
