Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
HSF4_0H_1_1	(18.0, 201.0)	(19.0, 2378.0)	(20.0, 8439.0)	(21.0, 15231.0)	(22.0, 21697.0)	(23.0, 28872.0)	(24.0, 37503.0)	(25.0, 47641.0)	(26.0, 58953.0)	(27.0, 71192.0)	(28.0, 84979.0)	(29.0, 100674.0)	(30.0, 118580.0)	(31.0, 141113.0)	(32.0, 171424.0)	(33.0, 215043.0)	(34.0, 285177.0)	(35.0, 410233.0)	(36.0, 676132.0)	(37.0, 1263761.0)	(38.0, 3205154.0)	(39.0, 47121402.0)	(40.0, 21400461.0)
HSF4_0H_1_2	(18.0, 1343.0)	(19.0, 7669.0)	(20.0, 18459.0)	(21.0, 30576.0)	(22.0, 41327.0)	(23.0, 51278.0)	(24.0, 60231.0)	(25.0, 69682.0)	(26.0, 79067.0)	(27.0, 88985.0)	(28.0, 101086.0)	(29.0, 116186.0)	(30.0, 133661.0)	(31.0, 159192.0)	(32.0, 192655.0)	(33.0, 243321.0)	(34.0, 319653.0)	(35.0, 460131.0)	(36.0, 768083.0)	(37.0, 1527167.0)	(38.0, 4696020.0)	(39.0, 51396687.0)	(40.0, 14923781.0)
HSF4_0H_2_1	(18.0, 122.0)	(19.0, 1592.0)	(20.0, 5938.0)	(21.0, 11232.0)	(22.0, 15965.0)	(23.0, 21553.0)	(24.0, 28055.0)	(25.0, 36061.0)	(26.0, 44989.0)	(27.0, 54552.0)	(28.0, 66350.0)	(29.0, 78491.0)	(30.0, 93207.0)	(31.0, 111663.0)	(32.0, 137508.0)	(33.0, 171166.0)	(34.0, 228145.0)	(35.0, 332263.0)	(36.0, 554168.0)	(37.0, 1046112.0)	(38.0, 2806086.0)	(39.0, 40695087.0)	(40.0, 13868734.0)
HSF4_0H_2_2	(18.0, 974.0)	(19.0, 5460.0)	(20.0, 13512.0)	(21.0, 22915.0)	(22.0, 31104.0)	(23.0, 39196.0)	(24.0, 45701.0)	(25.0, 53034.0)	(26.0, 60540.0)	(27.0, 68303.0)	(28.0, 78062.0)	(29.0, 89774.0)	(30.0, 104880.0)	(31.0, 124932.0)	(32.0, 150557.0)	(33.0, 188836.0)	(34.0, 248228.0)	(35.0, 357204.0)	(36.0, 596238.0)	(37.0, 1191222.0)	(38.0, 3773103.0)	(39.0, 42361606.0)	(40.0, 10803658.0)
HSF4_0H_3_1	(18.0, 163.0)	(19.0, 1874.0)	(20.0, 6633.0)	(21.0, 12079.0)	(22.0, 16950.0)	(23.0, 21973.0)	(24.0, 29352.0)	(25.0, 37244.0)	(26.0, 46115.0)	(27.0, 55847.0)	(28.0, 66123.0)	(29.0, 77542.0)	(30.0, 92368.0)	(31.0, 109302.0)	(32.0, 133081.0)	(33.0, 168349.0)	(34.0, 221793.0)	(35.0, 320428.0)	(36.0, 529383.0)	(37.0, 987350.0)	(38.0, 2523744.0)	(39.0, 36533452.0)	(40.0, 16147136.0)
HSF4_0H_3_2	(18.0, 1058.0)	(19.0, 5725.0)	(20.0, 13808.0)	(21.0, 23358.0)	(22.0, 31679.0)	(23.0, 39050.0)	(24.0, 45383.0)	(25.0, 52674.0)	(26.0, 60518.0)	(27.0, 68212.0)	(28.0, 77285.0)	(29.0, 89045.0)	(30.0, 104178.0)	(31.0, 122757.0)	(32.0, 149657.0)	(33.0, 187272.0)	(34.0, 246448.0)	(35.0, 354694.0)	(36.0, 591371.0)	(37.0, 1179274.0)	(38.0, 3659653.0)	(39.0, 39969897.0)	(40.0, 11065285.0)
HSF4_2H_1_1	(18.0, 152.0)	(19.0, 1937.0)	(20.0, 6921.0)	(21.0, 12623.0)	(22.0, 18174.0)	(23.0, 23937.0)	(24.0, 30884.0)	(25.0, 39218.0)	(26.0, 49035.0)	(27.0, 59450.0)	(28.0, 70393.0)	(29.0, 83079.0)	(30.0, 97884.0)	(31.0, 117321.0)	(32.0, 142607.0)	(33.0, 179969.0)	(34.0, 236832.0)	(35.0, 341927.0)	(36.0, 566349.0)	(37.0, 1060525.0)	(38.0, 2739325.0)	(39.0, 39515794.0)	(40.0, 16967872.0)
HSF4_2H_1_2	(18.0, 1112.0)	(19.0, 5918.0)	(20.0, 14639.0)	(21.0, 24323.0)	(22.0, 33112.0)	(23.0, 40870.0)	(24.0, 48029.0)	(25.0, 55801.0)	(26.0, 63253.0)	(27.0, 71049.0)	(28.0, 80923.0)	(29.0, 93629.0)	(30.0, 108462.0)	(31.0, 128556.0)	(32.0, 156888.0)	(33.0, 197294.0)	(34.0, 260158.0)	(35.0, 374517.0)	(36.0, 628323.0)	(37.0, 1257658.0)	(38.0, 3931238.0)	(39.0, 42997996.0)	(40.0, 11788460.0)
HSF4_2H_2_1	(18.0, 144.0)	(19.0, 1610.0)	(20.0, 5976.0)	(21.0, 11334.0)	(22.0, 16198.0)	(23.0, 21524.0)	(24.0, 28287.0)	(25.0, 36061.0)	(26.0, 45083.0)	(27.0, 54959.0)	(28.0, 65730.0)	(29.0, 77996.0)	(30.0, 92388.0)	(31.0, 112175.0)	(32.0, 136780.0)	(33.0, 171564.0)	(34.0, 229378.0)	(35.0, 335032.0)	(36.0, 559704.0)	(37.0, 1066516.0)	(38.0, 2889907.0)	(39.0, 39833323.0)	(40.0, 13527040.0)
HSF4_2H_2_2	(18.0, 999.0)	(19.0, 5703.0)	(20.0, 13862.0)	(21.0, 23415.0)	(22.0, 32383.0)	(23.0, 39844.0)	(24.0, 46750.0)	(25.0, 53903.0)	(26.0, 61123.0)	(27.0, 69179.0)	(28.0, 78685.0)	(29.0, 89612.0)	(30.0, 105136.0)	(31.0, 124060.0)	(32.0, 150981.0)	(33.0, 189503.0)	(34.0, 249752.0)	(35.0, 361642.0)	(36.0, 606172.0)	(37.0, 1223547.0)	(38.0, 3909137.0)	(39.0, 41546089.0)	(40.0, 10337232.0)
