Sample	Unique Reads	Duplicate Reads
HSF4_0H_1_1	17061022.0	58425218.0
HSF4_0H_1_2	17317055.0	58169185.0
HSF4_0H_2_1	15005229.0	45403810.0
HSF4_0H_2_2	15065524.0	45343515.0
HSF4_0H_3_1	14474473.0	43663808.0
HSF4_0H_3_2	14594450.0	43543831.0
HSF4_2H_1_1	15836433.0	46525775.0
HSF4_2H_1_2	15970167.0	46392041.0
HSF4_2H_2_1	14936919.0	44381790.0
HSF4_2H_2_2	15111632.0	44207077.0
HSF4_2H_3_1	14652134.0	41957205.0
HSF4_2H_3_2	14692988.0	41916351.0
HSF4_4H_1_1	13690444.0	38869929.0
HSF4_4H_1_2	13762949.0	38797424.0
HSF4_4H_2_1	13361663.0	38104974.0
HSF4_4H_2_2	13377046.0	38089591.0
HSF4_4H_3_1	13804181.0	37599221.0
HSF4_4H_3_2	13748850.0	37654552.0
HSF4_6H_1_1	12325329.0	38341586.0
HSF4_6H_1_2	12321129.0	38345786.0
HSF4_6H_2_1	13377667.0	39592610.0
HSF4_6H_2_2	13455134.0	39515143.0
HSF4_6H_3_1	14185768.0	40413214.0
HSF4_6H_3_2	14133605.0	40465377.0
