Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_0H_1_1	(1.0, 11.709244788029649)	(2.0, 8.082190267002925)	(3.0, 6.168843369005401)	(4.0, 4.871264222901436)	(5.0, 3.914990876734903)	(6.0, 3.2815898219816426)	(7.0, 2.691011074026156)	(8.0, 2.2013399806134752)	(9.0, 1.9622885225999902)	('>10', 21.704924278951186)	('>50', 6.304741278681231)	('>100', 13.26425222495263)	('>500', 4.146314412388803)	('>1k', 5.528373492654587)	('>5k', 1.5075122453397791)	('>10k+', 2.6611191441364106)
HSF4_0H_1_2	(1.0, 12.015055518597832)	(2.0, 8.152531147503286)	(3.0, 6.2144430108577655)	(4.0, 4.802863731727447)	(5.0, 4.040058882351113)	(6.0, 3.144408520758034)	(7.0, 2.6844184748666673)	(8.0, 2.29218491027994)	(9.0, 1.987223616980956)	('>10', 21.537227272897862)	('>50', 6.16506158568963)	('>100', 13.089447996911174)	('>500', 4.149771733231562)	('>1k', 5.519159762346937)	('>5k', 1.5202283565913532)	('>10k+', 2.6859154784085284)
HSF4_0H_2_1	(1.0, 13.170446057794871)	(2.0, 8.97867479462202)	(3.0, 6.804933388171211)	(4.0, 5.229593896844046)	(5.0, 4.1474344154487985)	(6.0, 3.3730760644100135)	(7.0, 2.7416571827197243)	(8.0, 2.2793604093822464)	(9.0, 1.9396165521282347)	('>10', 20.8358339952031)	('>50', 6.222669529221404)	('>100', 12.716410863219757)	('>500', 3.630993086921255)	('>1k', 4.751469379899879)	('>5k', 1.2321320776924085)	('>10k+', 1.9456983063211548)
HSF4_0H_2_2	(1.0, 13.244580031250694)	(2.0, 9.070859202836298)	(3.0, 6.793994046257507)	(4.0, 5.180078683677588)	(5.0, 4.046156689809684)	(6.0, 3.415861021796693)	(7.0, 2.733711167690937)	(8.0, 2.289006025094875)	(9.0, 2.0389252984204536)	('>10', 20.74169956138146)	('>50', 6.342863892918353)	('>100', 12.551930137864792)	('>500', 3.5764726857489606)	('>1k', 4.756908458022042)	('>5k', 1.2332018539604943)	('>10k+', 1.9837512432692632)
HSF4_0H_3_1	(1.0, 13.717451868347528)	(2.0, 8.908923194941503)	(3.0, 6.523167446285688)	(4.0, 4.8670064379920355)	(5.0, 3.811061946219369)	(6.0, 3.1193032089931227)	(7.0, 2.4614120244937094)	(8.0, 2.045800119397399)	(9.0, 1.7988588863378743)	('>10', 19.638344417396606)	('>50', 6.223231262834345)	('>100', 13.103886093864922)	('>500', 3.841533520517347)	('>1k', 5.680883453484233)	('>5k', 1.463797129103174)	('>10k+', 2.795338989791192)
HSF4_0H_3_2	(1.0, 13.981066628335764)	(2.0, 8.818002915625941)	(3.0, 6.493548268000561)	(4.0, 4.8292633780472185)	(5.0, 3.8083841661010034)	(6.0, 3.11216556552081)	(7.0, 2.457585109646448)	(8.0, 2.1127699143841947)	(9.0, 1.8684470719924147)	('>10', 19.427257823822504)	('>50', 6.287305490201225)	('>100', 13.05432922858632)	('>500', 3.726921965687953)	('>1k', 5.689507008492383)	('>5k', 1.5785143270463566)	('>10k+', 2.754931138508955)
HSF4_2H_1_1	(1.0, 13.512466265905978)	(2.0, 9.206720608018818)	(3.0, 6.846976603748768)	(4.0, 5.227060331470146)	(5.0, 4.2624094534170975)	(6.0, 3.4310629463947353)	(7.0, 2.7692834976282756)	(8.0, 2.41039572767747)	(9.0, 1.9654515604828993)	('>10', 21.34138629897161)	('>50', 6.3008283792263695)	('>100', 12.217876782882108)	('>500', 3.280977448666723)	('>1k', 4.291563201471415)	('>5k', 1.2373809420795705)	('>10k+', 1.6981599519576656)
HSF4_2H_1_2	(1.0, 13.656856433753198)	(2.0, 9.313297722035685)	(3.0, 6.926513320433876)	(4.0, 5.341596966135535)	(5.0, 4.126796889399778)	(6.0, 3.355810385598347)	(7.0, 2.8999103650099873)	(8.0, 2.3272712261553767)	(9.0, 1.9440235010595912)	('>10', 21.311372371708288)	('>50', 6.154459640143528)	('>100', 12.26649823260014)	('>500', 3.163563412369804)	('>1k', 4.27588284997036)	('>5k', 1.1514401651912107)	('>10k+', 1.784706518435195)
HSF4_2H_2_1	(1.0, 13.731665749472766)	(2.0, 8.912528676944916)	(3.0, 6.667174905002201)	(4.0, 5.135654261811452)	(5.0, 3.956191963632251)	(6.0, 3.172824697777657)	(7.0, 2.6631586939282816)	(8.0, 2.140131301382137)	(9.0, 1.9226858913685665)	('>10', 20.547865216366535)	('>50', 6.354794187090642)	('>100', 12.209582861266417)	('>500', 3.5581440274110356)	('>1k', 5.082456162669549)	('>5k', 1.3564043105663077)	('>10k+', 2.588737093309296)
HSF4_2H_2_2	(1.0, 14.01252186638207)	(2.0, 9.087422826775555)	(3.0, 6.600008772886541)	(4.0, 5.083934848637386)	(5.0, 3.8692409861055097)	(6.0, 3.15663505153436)	(7.0, 2.5232173538597285)	(8.0, 2.290569160698046)	(9.0, 1.8350765867461718)	('>10', 20.5562708108274)	('>50', 6.289595702268628)	('>100', 12.193416006079348)	('>500', 3.411536232015582)	('>1k', 5.104005634328677)	('>5k', 1.3502864201074014)	('>10k+', 2.636261740747521)
HSF4_2H_3_1	(1.0, 13.94858112007159)	(2.0, 9.517976642704692)	(3.0, 7.053012849907773)	(4.0, 5.3302886331555435)	(5.0, 3.970994077023024)	(6.0, 3.2565898276068554)	(7.0, 2.707119858745035)	(8.0, 2.245038820070749)	(9.0, 1.867132692711229)	('>10', 20.40084068585464)	('>50', 6.200553838209269)	('>100', 11.386900749946511)	('>500', 3.1156703326035795)	('>1k', 4.6471294026589405)	('>5k', 1.3480529488946527)	('>10k+', 3.0041175198361576)
HSF4_2H_3_2	(1.0, 14.09256142225056)	(2.0, 9.453108922125649)	(3.0, 6.888601661184069)	(4.0, 5.3066972940978205)	(5.0, 4.012545211965747)	(6.0, 3.3154686150118713)	(7.0, 2.643110053558949)	(8.0, 2.2598172274743304)	(9.0, 1.9055337134800003)	('>10', 20.57338154002047)	('>50', 6.2768193272985275)	('>100', 11.194867560113869)	('>500', 3.0478278979334457)	('>1k', 4.660104030741122)	('>5k', 1.347303230255446)	('>10k+', 3.022252292488358)
HSF4_4H_1_1	(1.0, 14.257116160548748)	(2.0, 9.46104769131381)	(3.0, 6.908914016691996)	(4.0, 5.208724710749711)	(5.0, 4.047056990678291)	(6.0, 3.226493133160884)	(7.0, 2.601820882780139)	(8.0, 2.159802767627497)	(9.0, 1.859163086817782)	('>10', 19.872785671093826)	('>50', 6.172534418254489)	('>100', 11.967599348119009)	('>500', 3.359199365632094)	('>1k', 4.9905274634281644)	('>5k', 1.307872920889594)	('>10k+', 2.599341372213729)
