Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
HSF4_0H_1_1	(25, 305.0)	(30, 444.0)	(35, 1702.0)	(40, 6530.0)	(45, 6637.0)	(50, 7260.0)	(55, 7592.0)	(60, 9161.0)	(65, 11428.0)	(70, 15170.0)	(75, 20523.0)	(80, 27401.0)	(85, 36092.0)	(90, 47248.0)	(95, 61276.0)	(100, 76993.0)	(105, 95995.0)	(110, 117617.0)	(115, 143888.0)	(120, 176487.0)	(125, 218268.0)	(130, 310383.0)	(135, 536931.0)	(140, 73550909.0)
HSF4_0H_1_2	(25, 14.0)	(30, 17.0)	(35, 1278.0)	(40, 6540.0)	(45, 6649.0)	(50, 7254.0)	(55, 7602.0)	(60, 9182.0)	(65, 11447.0)	(70, 15185.0)	(75, 20611.0)	(80, 27535.0)	(85, 36347.0)	(90, 47561.0)	(95, 61802.0)	(100, 77775.0)	(105, 97248.0)	(110, 119602.0)	(115, 147532.0)	(120, 183363.0)	(125, 232521.0)	(130, 310721.0)	(135, 467403.0)	(140, 73591051.0)
HSF4_0H_2_1	(25, 9.0)	(30, 17.0)	(35, 1220.0)	(40, 6141.0)	(45, 6062.0)	(50, 5942.0)	(55, 5636.0)	(60, 6072.0)	(65, 6495.0)	(70, 7316.0)	(75, 8490.0)	(80, 10235.0)	(85, 12746.0)	(90, 15449.0)	(95, 19033.0)	(100, 23710.0)	(105, 28830.0)	(110, 35495.0)	(115, 44871.0)	(120, 57252.0)	(125, 75842.0)	(130, 107814.0)	(135, 188829.0)	(140, 59735533.0)
HSF4_0H_2_2	(25, 15.0)	(30, 19.0)	(35, 1225.0)	(40, 6149.0)	(45, 6081.0)	(50, 5957.0)	(55, 5669.0)	(60, 6116.0)	(65, 6532.0)	(70, 7364.0)	(75, 8596.0)	(80, 10385.0)	(85, 12927.0)	(90, 15736.0)	(95, 19447.0)	(100, 24423.0)	(105, 29852.0)	(110, 37228.0)	(115, 47860.0)	(120, 62861.0)	(125, 88009.0)	(130, 135124.0)	(135, 243291.0)	(140, 59628173.0)
HSF4_0H_3_1	(25, 196.0)	(30, 279.0)	(35, 1140.0)	(40, 4659.0)	(45, 4559.0)	(50, 4904.0)	(55, 5208.0)	(60, 5966.0)	(65, 7133.0)	(70, 9259.0)	(75, 12476.0)	(80, 16237.0)	(85, 21540.0)	(90, 28339.0)	(95, 36998.0)	(100, 47484.0)	(105, 59226.0)	(110, 73353.0)	(115, 90522.0)	(120, 112427.0)	(125, 142233.0)	(130, 209384.0)	(135, 379248.0)	(140, 56865511.0)
HSF4_0H_3_2	(25, 6.0)	(30, 20.0)	(35, 866.0)	(40, 4656.0)	(45, 4562.0)	(50, 4898.0)	(55, 5201.0)	(60, 5977.0)	(65, 7163.0)	(70, 9287.0)	(75, 12535.0)	(80, 16314.0)	(85, 21635.0)	(90, 28574.0)	(95, 37269.0)	(100, 47953.0)	(105, 60060.0)	(110, 74793.0)	(115, 93111.0)	(120, 117303.0)	(125, 152098.0)	(130, 207542.0)	(135, 323399.0)	(140, 56903059.0)
HSF4_2H_1_1	(25, 13.0)	(30, 13.0)	(35, 1160.0)	(40, 5772.0)	(45, 5581.0)	(50, 5560.0)	(55, 5482.0)	(60, 6083.0)	(65, 6628.0)	(70, 7800.0)	(75, 9448.0)	(80, 11869.0)	(85, 14699.0)	(90, 18310.0)	(95, 22667.0)	(100, 28327.0)	(105, 35311.0)	(110, 42999.0)	(115, 54918.0)	(120, 69068.0)	(125, 90657.0)	(130, 126610.0)	(135, 214917.0)	(140, 61578316.0)
HSF4_2H_1_2	(25, 11.0)	(30, 29.0)	(35, 1162.0)	(40, 5780.0)	(45, 5605.0)	(50, 5583.0)	(55, 5491.0)	(60, 6140.0)	(65, 6656.0)	(70, 7845.0)	(75, 9540.0)	(80, 11997.0)	(85, 14844.0)	(90, 18618.0)	(95, 23097.0)	(100, 29011.0)	(105, 36257.0)	(110, 44749.0)	(115, 57902.0)	(120, 74740.0)	(125, 101806.0)	(130, 152972.0)	(135, 266485.0)	(140, 61475888.0)
HSF4_2H_2_1	(25, 13.0)	(30, 12.0)	(35, 1121.0)	(40, 5655.0)	(45, 5724.0)	(50, 5633.0)	(55, 5367.0)	(60, 5838.0)	(65, 6225.0)	(70, 7626.0)	(75, 8821.0)	(80, 11461.0)	(85, 14362.0)	(90, 17913.0)	(95, 22921.0)	(100, 29131.0)	(105, 35669.0)	(110, 44575.0)	(115, 55795.0)	(120, 71235.0)	(125, 92525.0)	(130, 128031.0)	(135, 209967.0)	(140, 58533089.0)
HSF4_2H_2_2	(25, 13.0)	(30, 21.0)	(35, 1124.0)	(40, 5656.0)	(45, 5739.0)	(50, 5653.0)	(55, 5401.0)	(60, 5871.0)	(65, 6281.0)	(70, 7700.0)	(75, 8925.0)	(80, 11639.0)	(85, 14580.0)	(90, 18232.0)	(95, 23408.0)	(100, 29904.0)	(105, 36828.0)	(110, 46518.0)	(115, 59060.0)	(120, 77338.0)	(125, 105182.0)	(130, 156904.0)	(135, 266458.0)	(140, 58420274.0)
