Module	Section	Sample Name	Source
FastQC	all_sections	HSF4_0H_1_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_1_1.trim_fastqc.zip
FastQC	all_sections	HSF4_0H_1_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_1_2.trim_fastqc.zip
FastQC	all_sections	HSF4_0H_2_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_2_1.trim_fastqc.zip
FastQC	all_sections	HSF4_0H_2_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_2_2.trim_fastqc.zip
FastQC	all_sections	HSF4_0H_3_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_3_1.trim_fastqc.zip
FastQC	all_sections	HSF4_0H_3_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_0H_3_2.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_1_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_1_1.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_1_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_1_2.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_2_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_2_1.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_2_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_2_2.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_3_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_3_1.trim_fastqc.zip
FastQC	all_sections	HSF4_2H_3_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_2H_3_2.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_1_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_1_1.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_1_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_1_2.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_2_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_2_1.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_2_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_2_2.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_3_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_3_1.trim_fastqc.zip
FastQC	all_sections	HSF4_4H_3_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_4H_3_2.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_1_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_1_1.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_1_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_1_2.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_2_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_2_1.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_2_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_2_2.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_3_1	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_3_1.trim_fastqc.zip
FastQC	all_sections	HSF4_6H_3_2	/nfs/nas22/fs2202/biol_bc_jagannathan_comp_1/Sebastian/013.0_RNAseq_hsf4_14d29_0-6h25/02_work/03_qc_trim/fastqc/HSF4_6H_3_2.trim_fastqc.zip
