Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped
HSF4_0H_1	75.48624	72.399715	95.91	70.111936	92.88	2.287779
HSF4_0H_2	60.409039	59.037251999999995	97.72999999999999	57.363461	94.96	1.673791
HSF4_0H_3	58.138281	55.956573	96.25	53.812897	92.56	2.1436759999999997
HSF4_2H_1	62.362207999999995	60.586769999999994	97.14999999999999	58.582212	93.94	2.004558
HSF4_2H_2	59.318709	57.513017	96.96	55.586231	93.71	1.9267859999999999
HSF4_2H_3	56.609339	55.137919	97.4	53.618216999999994	94.72	1.5197019999999999
HSF4_4H_1	52.560373	51.256057999999996	97.52	49.651357	94.47	1.604701
HSF4_4H_2	51.466637	49.922180999999995	97.0	48.512214	94.26	1.409967
HSF4_4H_3	51.403402	50.307399	97.86	48.809461999999996	94.95	1.4979369999999999
HSF4_6H_1	50.666914999999996	49.232515	97.17	47.851737	94.44	1.3807779999999998
HSF4_6H_2	52.970276999999996	51.644825	97.5	50.093101	94.57	1.5517239999999999
HSF4_6H_3	54.598982	52.978061	97.03	51.259253	93.88	1.718808
