Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
HSF4_0H_1	70111936.0	2287779.0	784849.0	2241304.0	60372.0
HSF4_0H_2	57363461.0	1673791.0	511113.0	812185.0	48489.0
HSF4_0H_3	53812897.0	2143676.0	709218.0	1425929.0	46561.0
HSF4_2H_1	58582212.0	2004558.0	745514.0	979988.0	49936.0
HSF4_2H_2	55586231.0	1926786.0	760923.0	997279.0	47490.0
HSF4_2H_3	53618217.0	1519702.0	423708.0	1013732.0	33980.0
HSF4_4H_1	49651357.0	1604701.0	592259.0	680409.0	31647.0
HSF4_4H_2	48512214.0	1409967.0	438890.0	1069571.0	35995.0
HSF4_4H_3	48809462.0	1497937.0	434997.0	630021.0	30985.0
HSF4_6H_1	47851737.0	1380778.0	482454.0	916312.0	35634.0
HSF4_6H_2	50093101.0	1551724.0	548877.0	739595.0	36980.0
HSF4_6H_3	51259253.0	1718808.0	645181.0	937583.0	38157.0
