Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
HSF4_0H_1	75.48624	95.91	92.88	2.287779	282.0	283.22	35.919304	35.428536	35.155803999999996	0.718488	0.013203	0.031809	0.31	0.02	2.81	0.02	2.0
HSF4_0H_2	60.409039	97.72999999999999	94.96	1.673791	283.0	283.31	30.082922999999997	29.691864	29.392165	0.651253	0.011378	0.028127	0.31	0.02	2.79	0.02	1.97
HSF4_0H_3	58.138281	96.25	92.56	2.1436759999999997	283.0	283.21	27.554209	27.179772	26.90467	0.61454	0.009972	0.025026999999999997	0.31	0.02	2.78	0.02	1.92
HSF4_2H_1	62.362207999999995	97.14999999999999	93.94	2.004558	283.0	283.26	29.832221999999998	29.40081	29.046326999999998	0.7462209999999999	0.011238	0.028436	0.31	0.02	2.79	0.02	2.09
HSF4_2H_2	59.318709	96.96	93.71	1.9267859999999999	283.0	283.23	28.000731	27.575129999999998	27.336340999999997	0.628127	0.009992	0.026271	0.32	0.02	2.8	0.03	1.97
HSF4_2H_3	56.609339	97.4	94.72	1.5197019999999999	283.0	283.25	27.121837	26.746343	26.109025	0.97242	0.009259	0.031132999999999997	0.32	0.02	2.78	0.02	1.94
HSF4_4H_1	52.560373	97.52	94.47	1.604701	283.0	283.27	25.369462	25.036426	24.586264	0.751304	0.009433	0.022461	0.31	0.02	2.77	0.02	1.97
HSF4_4H_2	51.466637	97.0	94.26	1.409967	282.0	282.85	24.934979	24.585825	23.861532999999998	1.040662	0.007880999999999999	0.024902999999999998	0.32	0.02	2.75	0.03	1.73
HSF4_4H_3	51.403402	97.86	94.95	1.4979369999999999	283.0	283.11	25.997569	25.650897	25.085345	0.877945	0.009098	0.025181	0.32	0.02	2.79	0.02	2.07
HSF4_6H_1	50.666914999999996	97.17	94.44	1.3807779999999998	283.0	283.02	24.207296	23.936284999999998	23.244244	0.933735	0.008952	0.020364999999999998	0.31	0.02	2.78	0.03	1.88
HSF4_6H_2	52.970276999999996	97.5	94.57	1.5517239999999999	283.0	283.29	26.383001999999998	26.082074	25.423652	0.926267	0.010118	0.022965	0.33	0.02	2.78	0.02	2.14
HSF4_6H_3	54.598982	97.03	93.88	1.718808	283.0	283.31	27.108487999999998	26.760932	26.375709	0.698453	0.010683	0.023642999999999997	0.33	0.02	2.85	0.02	2.15
