#Insert size (bp)	insert size
29.0	1.0
33.0	2.0
36.0	1.0
37.0	2.0
38.0	3.0
42.0	3.0
43.0	2.0
44.0	3.0
46.0	2.0
47.0	1.0
48.0	6.0
49.0	8.0
50.0	1.0
51.0	8.0
52.0	4.0
53.0	5.0
54.0	3.0
55.0	7.0
56.0	5.0
57.0	10.0
58.0	5.0
59.0	7.0
60.0	11.0
61.0	6.0
62.0	10.0
63.0	4.0
64.0	8.0
65.0	8.0
66.0	4.0
67.0	11.0
68.0	7.0
69.0	7.0
70.0	3.0
71.0	35.0
72.0	13.0
73.0	14.0
74.0	10.0
75.0	18.0
76.0	16.0
77.0	13.0
78.0	18.0
79.0	22.0
80.0	19.0
81.0	24.0
82.0	19.0
83.0	33.0
84.0	28.0
85.0	19.0
86.0	25.0
87.0	43.0
88.0	38.0
89.0	31.0
90.0	30.0
91.0	44.0
92.0	59.0
93.0	45.0
94.0	43.0
95.0	57.0
96.0	48.0
97.0	59.0
98.0	67.0
99.0	94.0
100.0	89.0
101.0	105.0
102.0	95.0
103.0	117.0
104.0	131.0
105.0	121.0
106.0	158.0
107.0	184.0
108.0	183.0
109.0	185.0
110.0	247.0
111.0	234.0
112.0	197.0
113.0	235.0
114.0	334.0
115.0	322.0
116.0	304.0
117.0	315.0
118.0	359.0
119.0	360.0
120.0	387.0
121.0	441.0
122.0	431.0
123.0	480.0
124.0	475.0
125.0	483.0
126.0	517.0
127.0	558.0
128.0	595.0
129.0	660.0
130.0	693.0
131.0	760.0
132.0	696.0
133.0	770.0
134.0	784.0
135.0	928.0
136.0	960.0
137.0	997.0
138.0	1230.0
139.0	1207.0
140.0	1552.0
141.0	1885.0
142.0	23172.0
143.0	24606.0
144.0	25362.0
145.0	25787.0
146.0	26971.0
147.0	28558.0
148.0	29240.0
149.0	30521.0
150.0	31426.0
151.0	32924.0
152.0	33994.0
153.0	35101.0
154.0	36104.0
155.0	37878.0
156.0	38623.0
157.0	39545.0
158.0	42698.0
159.0	43460.0
160.0	45088.0
161.0	45968.0
162.0	47733.0
163.0	48947.0
164.0	49885.0
165.0	51742.0
166.0	51865.0
167.0	55194.0
168.0	57680.0
169.0	59046.0
170.0	60213.0
171.0	63401.0
172.0	66308.0
173.0	67468.0
174.0	68837.0
175.0	71365.0
176.0	74868.0
177.0	75162.0
178.0	76039.0
179.0	79999.0
180.0	81120.0
181.0	84391.0
182.0	85184.0
183.0	88266.0
184.0	89155.0
185.0	92843.0
186.0	95685.0
187.0	96892.0
188.0	100970.0
189.0	102991.0
190.0	105688.0
191.0	108490.0
192.0	111719.0
193.0	115124.0
194.0	118629.0
195.0	122151.0
196.0	125307.0
197.0	125702.0
198.0	131083.0
199.0	135828.0
200.0	139574.0
201.0	145831.0
202.0	147278.0
203.0	154544.0
204.0	156233.0
205.0	167596.0
206.0	164655.0
207.0	166845.0
208.0	170277.0
209.0	179011.0
210.0	176032.0
211.0	181624.0
212.0	182228.0
213.0	191316.0
214.0	195333.0
215.0	195961.0
216.0	202975.0
217.0	205677.0
218.0	211439.0
219.0	213164.0
220.0	214515.0
221.0	219450.0
222.0	226611.0
223.0	230412.0
224.0	241084.0
225.0	235543.0
226.0	244732.0
227.0	245857.0
228.0	249537.0
229.0	254484.0
230.0	253532.0
231.0	260552.0
232.0	260149.0
233.0	259169.0
234.0	259963.0
235.0	267141.0
236.0	270288.0
237.0	279639.0
238.0	275269.0
239.0	274199.0
240.0	281634.0
241.0	278223.0
242.0	283752.0
243.0	284764.0
244.0	287503.0
245.0	294144.0
246.0	294899.0
247.0	296491.0
248.0	296141.0
249.0	295805.0
250.0	300099.0
251.0	300341.0
252.0	300541.0
253.0	304105.0
254.0	302017.0
255.0	303375.0
256.0	300513.0
257.0	304964.0
258.0	310187.0
259.0	307914.0
260.0	304872.0
261.0	307543.0
262.0	305559.0
263.0	308698.0
264.0	308907.0
265.0	308286.0
266.0	309543.0
267.0	307244.0
268.0	305819.0
269.0	306175.0
270.0	308077.0
271.0	307643.0
272.0	304921.0
273.0	306343.0
274.0	301251.0
275.0	301782.0
276.0	298202.0
277.0	304024.0
278.0	296124.0
279.0	293971.0
280.0	293908.0
281.0	295185.0
282.0	294206.0
283.0	294582.0
284.0	292733.0
285.0	287125.0
286.0	282998.0
287.0	284229.0
288.0	285204.0
289.0	282193.0
290.0	282788.0
291.0	277332.0
292.0	274639.0
293.0	271473.0
294.0	274047.0
295.0	273013.0
296.0	267610.0
297.0	263619.0
298.0	264173.0
299.0	258413.0
300.0	260925.0
301.0	258960.0
302.0	254506.0
303.0	256630.0
304.0	251489.0
305.0	249180.0
306.0	248565.0
307.0	242474.0
308.0	241704.0
309.0	244864.0
310.0	238736.0
311.0	233722.0
312.0	230545.0
313.0	230847.0
314.0	229865.0
315.0	224427.0
316.0	224887.0
317.0	219057.0
318.0	221185.0
319.0	217922.0
320.0	216451.0
321.0	210783.0
322.0	212000.0
323.0	206587.0
324.0	204021.0
325.0	200412.0
326.0	201996.0
327.0	197894.0
328.0	190513.0
329.0	188751.0
330.0	188646.0
331.0	187604.0
332.0	185853.0
333.0	181727.0
334.0	179415.0
335.0	176636.0
336.0	174648.0
337.0	175315.0
338.0	171308.0
339.0	172268.0
340.0	167063.0
341.0	165062.0
342.0	161870.0
343.0	162016.0
344.0	157211.0
345.0	153450.0
346.0	151092.0
347.0	150132.0
348.0	149649.0
349.0	145897.0
350.0	144381.0
351.0	142518.0
352.0	140938.0
353.0	139526.0
354.0	137009.0
355.0	137057.0
356.0	134318.0
357.0	131062.0
358.0	129936.0
359.0	127141.0
360.0	128322.0
361.0	124919.0
362.0	123028.0
363.0	121611.0
364.0	120305.0
365.0	117440.0
366.0	115417.0
367.0	114385.0
368.0	112841.0
369.0	110786.0
370.0	108838.0
371.0	105746.0
372.0	105577.0
373.0	102977.0
374.0	102099.0
375.0	101386.0
376.0	99718.0
377.0	98151.0
378.0	96611.0
379.0	96356.0
380.0	94297.0
381.0	92664.0
382.0	91051.0
383.0	89075.0
384.0	88954.0
385.0	88070.0
386.0	87533.0
387.0	84992.0
388.0	82812.0
389.0	82785.0
390.0	81094.0
391.0	81338.0
392.0	79143.0
393.0	77704.0
394.0	76177.0
395.0	76032.0
396.0	75282.0
397.0	73792.0
398.0	74038.0
399.0	72740.0
400.0	70705.0
401.0	69512.0
402.0	69254.0
403.0	68711.0
404.0	68432.0
405.0	66531.0
406.0	64906.0
407.0	64516.0
408.0	64622.0
409.0	63035.0
410.0	62283.0
411.0	60638.0
412.0	60250.0
413.0	59666.0
414.0	60024.0
415.0	60020.0
416.0	57369.0
417.0	56478.0
418.0	55294.0
419.0	54658.0
420.0	54376.0
421.0	53760.0
422.0	53060.0
423.0	51781.0
424.0	51800.0
425.0	50814.0
426.0	50398.0
427.0	49907.0
428.0	49833.0
429.0	49121.0
430.0	48075.0
431.0	48202.0
432.0	47190.0
433.0	47440.0
434.0	46178.0
435.0	45305.0
436.0	45796.0
437.0	45586.0
438.0	44068.0
439.0	44147.0
440.0	43452.0
441.0	42740.0
442.0	41830.0
443.0	42313.0
444.0	42507.0
445.0	41094.0
446.0	41123.0
447.0	40634.0
448.0	40449.0
449.0	40940.0
450.0	42099.0
451.0	39677.0
452.0	39543.0
453.0	37936.0
454.0	37905.0
455.0	38456.0
456.0	38027.0
457.0	37530.0
458.0	36929.0
459.0	37668.0
460.0	38106.0
461.0	37176.0
462.0	37568.0
463.0	35884.0
464.0	34994.0
465.0	34659.0
466.0	35748.0
467.0	34888.0
468.0	35354.0
469.0	34617.0
470.0	34092.0
471.0	33600.0
472.0	32872.0
473.0	33385.0
474.0	32613.0
475.0	33985.0
476.0	33122.0
477.0	32600.0
478.0	32467.0
479.0	31539.0
480.0	31946.0
481.0	30871.0
482.0	30884.0
483.0	31360.0
484.0	31037.0
485.0	29980.0
486.0	31234.0
487.0	30631.0
488.0	29556.0
489.0	28658.0
490.0	29201.0
491.0	28940.0
492.0	29717.0
493.0	29497.0
494.0	28571.0
495.0	27617.0
496.0	27805.0
497.0	27217.0
498.0	26980.0
499.0	27281.0
500.0	26718.0
501.0	27310.0
502.0	26885.0
503.0	26324.0
504.0	26598.0
505.0	25455.0
506.0	26422.0
507.0	25648.0
508.0	25195.0
509.0	24474.0
510.0	24518.0
511.0	24420.0
512.0	24685.0
513.0	25698.0
514.0	24381.0
515.0	24956.0
516.0	24075.0
517.0	24501.0
518.0	24413.0
519.0	24146.0
520.0	23624.0
521.0	23797.0
522.0	23409.0
523.0	24617.0
524.0	22530.0
525.0	21506.0
526.0	22066.0
527.0	22373.0
528.0	21573.0
529.0	22251.0
530.0	22685.0
531.0	31646.0
532.0	21990.0
533.0	20942.0
534.0	20774.0
535.0	20372.0
536.0	21123.0
537.0	19739.0
538.0	20109.0
539.0	19005.0
540.0	19230.0
541.0	18925.0
542.0	18436.0
543.0	18862.0
544.0	18351.0
545.0	18916.0
546.0	18294.0
547.0	17927.0
548.0	18190.0
549.0	17559.0
550.0	17351.0
551.0	17350.0
552.0	17617.0
553.0	17216.0
554.0	17136.0
555.0	16559.0
556.0	16700.0
557.0	16770.0
558.0	16660.0
559.0	16369.0
560.0	16497.0
561.0	16432.0
562.0	16210.0
563.0	16035.0
564.0	16331.0
565.0	16497.0
566.0	15676.0
567.0	15613.0
568.0	16020.0
569.0	14988.0
570.0	15418.0
571.0	15570.0
572.0	15865.0
573.0	15163.0
574.0	15290.0
575.0	15076.0
576.0	15006.0
577.0	14450.0
578.0	14846.0
579.0	14819.0
580.0	14288.0
581.0	14621.0
582.0	14332.0
583.0	14313.0
584.0	14359.0
585.0	13957.0
586.0	14349.0
587.0	13882.0
588.0	14292.0
589.0	14254.0
590.0	13716.0
591.0	13922.0
592.0	13897.0
593.0	13979.0
594.0	13776.0
595.0	13626.0
596.0	13613.0
597.0	13355.0
598.0	13607.0
599.0	13461.0
600.0	13099.0
601.0	13244.0
602.0	13090.0
603.0	13005.0
604.0	13284.0
605.0	12902.0
606.0	13316.0
607.0	12927.0
608.0	13255.0
609.0	12684.0
610.0	12830.0
611.0	12943.0
612.0	13050.0
613.0	12429.0
614.0	12454.0
615.0	12678.0
616.0	12616.0
617.0	12699.0
618.0	12558.0
619.0	12976.0
620.0	12518.0
621.0	13571.0
622.0	12785.0
623.0	12224.0
624.0	12326.0
625.0	12708.0
626.0	12412.0
627.0	11963.0
628.0	12396.0
629.0	12897.0
630.0	12528.0
631.0	11909.0
632.0	11750.0
