#Coverage (X)	Coverage
1.0	42.00157602658425
2.0	35.50531169718337
3.0	31.01308766662835
4.0	28.43636880680785
5.0	26.394016720787945
6.0	24.97285494659485
7.0	23.807004664333462
8.0	22.870004412980194
9.0	22.07219748588011
10.0	21.393349548538893
11.0	20.805706402380835
12.0	20.295503662587095
13.0	19.83902119534362
14.0	19.435214652391153
15.0	19.063622878760654
16.0	18.72679099499338
17.0	18.41857675829597
18.0	18.133021608713506
19.0	17.86773349473674
20.0	17.62284878695783
21.0	17.395315845493286
22.0	17.18392959960022
23.0	16.985026133267112
24.0	16.79731827508847
25.0	16.61815027735902
26.0	16.448293747153727
27.0	16.28615120039312
28.0	16.134237839580365
29.0	15.987510040110934
30.0	15.848510139452742
31.0	15.715562727473667
32.0	15.588219033602599
33.0	15.465080563501687
34.0	15.34791874333223
35.0	15.234976758067802
36.0	15.12473087507162
37.0	15.019081237645537
38.0	14.917981925079957
39.0	14.819607241284046
40.0	14.724791412482247
41.0	14.632924945619834
42.0	14.5440405418082
43.0	14.456378602947623
44.0	14.37178848125204
45.0	14.289831146906934
46.0	14.209616016453367
47.0	14.132551324985783
48.0	14.05575659162919
49.0	13.981537592620228
50.0	13.908666296861227
51.0	13.83885429443734
