#Duplication rate	Coverage
1.0	4104097.0
2.0	2408109.0
3.0	1505784.0
4.0	1008980.0
5.0	707816.0
6.0	518514.0
7.0	390386.0
8.0	302039.0
9.0	237392.0
10.0	191482.0
11.0	155612.0
12.0	128792.0
13.0	107553.0
14.0	91361.0
15.0	77252.0
16.0	67203.0
17.0	58783.0
18.0	51339.0
19.0	45309.0
20.0	39909.0
21.0	35614.0
22.0	31815.0
23.0	28805.0
24.0	25903.0
25.0	23286.0
26.0	21758.0
27.0	19494.0
28.0	17665.0
29.0	16337.0
30.0	15183.0
31.0	14144.0
32.0	12886.0
33.0	12076.0
34.0	11456.0
35.0	10514.0
36.0	9625.0
37.0	9281.0
38.0	8519.0
39.0	8164.0
40.0	7466.0
41.0	7371.0
42.0	6995.0
43.0	6449.0
44.0	6174.0
45.0	5776.0
46.0	5428.0
47.0	5108.0
48.0	4956.0
49.0	4804.0
50.0	189562.0
