#Mapping quality	mapping quality
0.0	1279833.0
1.0	856657.0
2.0	152169.0
3.0	852962.0
4.0	18873.0
5.0	15705.0
6.0	13331.0
7.0	11863.0
8.0	10456.0
9.0	8865.0
10.0	8085.0
11.0	8185.0
12.0	7410.0
13.0	6628.0
14.0	6286.0
15.0	7221.0
16.0	6055.0
17.0	6766.0
18.0	6017.0
19.0	6465.0
20.0	5468.0
21.0	5939.0
22.0	5910.0
23.0	5945.0
24.0	5693.0
25.0	5920.0
26.0	5377.0
27.0	4315.0
28.0	5825.0
29.0	5873.0
30.0	4313.0
31.0	5536.0
32.0	6513.0
33.0	4250.0
34.0	6307.0
35.0	2632.0
36.0	5674.0
37.0	8220.0
38.0	4151.0
39.0	6852.0
40.0	3303.0
41.0	3345.0
42.0	5674.0
43.0	8487.0
44.0	5179.0
45.0	6935.0
46.0	3273.0
47.0	3595.0
48.0	3802.0
49.0	2192.0
50.0	2223.0
51.0	15338.0
52.0	7088.0
53.0	12718.0
54.0	2323.0
55.0	2349.0
56.0	3091.0
57.0	3946.0
58.0	3163.0
59.0	3647.0
60.0	2736.0
61.0	2654.0
62.0	2285.0
63.0	8360.0
64.0	15803.0
65.0	9250.0
66.0	15710.0
67.0	1705.0
68.0	2283.0
69.0	2710.0
70.0	3244.0
71.0	3222.0
72.0	3006.0
73.0	5676.0
74.0	4384.0
75.0	5389.0
76.0	2643.0
77.0	2830.0
78.0	4773.0
79.0	2292.0
80.0	2841.0
81.0	2452.0
82.0	1870.0
83.0	1823.0
84.0	1393.0
85.0	34785.0
86.0	12637.0
87.0	40011.0
88.0	1580.0
89.0	1919.0
90.0	2127.0
91.0	2639.0
92.0	2255.0
93.0	3244.0
94.0	3211.0
95.0	2675.0
96.0	4466.0
97.0	5244.0
98.0	2362.0
99.0	3228.0
100.0	1815.0
101.0	1878.0
102.0	11537.0
103.0	17211.0
104.0	1621.0
105.0	2199.0
106.0	2984.0
107.0	2859.0
108.0	2646.0
109.0	6088.0
110.0	4849.0
111.0	6610.0
112.0	2247.0
113.0	3755.0
114.0	3390.0
115.0	4337.0
116.0	3355.0
117.0	4225.0
118.0	2600.0
119.0	3250.0
120.0	2997.0
121.0	2558.0
122.0	2141.0
123.0	2321.0
124.0	1890.0
125.0	1635.0
126.0	1434.0
127.0	29241.0
128.0	47235.0
129.0	110141.0
130.0	1420.0
131.0	1880.0
132.0	1938.0
133.0	2216.0
134.0	2722.0
135.0	2870.0
136.0	3098.0
137.0	3344.0
138.0	3887.0
139.0	3580.0
140.0	4457.0
141.0	3354.0
142.0	4784.0
143.0	5708.0
144.0	3220.0
145.0	4182.0
146.0	6822.0
147.0	9694.0
148.0	3136.0
149.0	3509.0
150.0	3990.0
151.0	2973.0
152.0	2257.0
153.0	15210.0
154.0	22925.0
155.0	2595.0
156.0	2640.0
157.0	3603.0
158.0	3895.0
159.0	5097.0
160.0	9061.0
161.0	2633.0
162.0	4323.0
163.0	5750.0
164.0	3358.0
165.0	4113.0
166.0	3988.0
167.0	2771.0
168.0	2602.0
169.0	1897.0
170.0	43714.0
171.0	76958.0
172.0	2231.0
173.0	3064.0
174.0	3715.0
175.0	3467.0
176.0	4917.0
177.0	5650.0
178.0	4656.0
179.0	7353.0
180.0	4668.0
181.0	3081.0
182.0	9646.0
183.0	17800.0
184.0	3814.0
185.0	5595.0
186.0	6806.0
187.0	6294.0
188.0	4040.0
189.0	4258.0
190.0	2853.0
191.0	23321.0
192.0	53749.0
193.0	3499.0
194.0	4298.0
195.0	6314.0
196.0	8145.0
197.0	4521.0
198.0	8345.0
199.0	14652.0
200.0	5639.0
201.0	8977.0
202.0	4775.0
203.0	3573.0
204.0	60797.0
205.0	3839.0
206.0	5610.0
207.0	8700.0
208.0	7291.0
209.0	12987.0
210.0	8391.0
211.0	6624.0
212.0	14351.0
213.0	41143.0
214.0	7210.0
215.0	9694.0
216.0	13984.0
217.0	9427.0
218.0	13401.0
219.0	36438.0
220.0	10642.0
221.0	14767.0
222.0	10081.0
223.0	38066.0
224.0	10859.0
225.0	16619.0
226.0	13298.0
227.0	33241.0
228.0	18445.0
229.0	35600.0
230.0	14471.0
231.0	21202.0
232.0	34912.0
233.0	22305.0
234.0	40382.0
235.0	38901.0
236.0	25575.0
237.0	42662.0
238.0	43023.0
239.0	43633.0
240.0	45273.0
241.0	56585.0
242.0	50151.0
243.0	65968.0
244.0	74596.0
245.0	73721.0
246.0	95275.0
247.0	102120.0
248.0	123535.0
249.0	153611.0
250.0	181350.0
251.0	242757.0
252.0	355514.0
253.0	580118.0
254.0	1348349.0
255.0	3.9806602E7
