Geneid	HSF4_0H_1	HSF4_0H_2	HSF4_0H_3	HSF4_2H_1	HSF4_2H_2	HSF4_2H_3	HSF4_4H_1	HSF4_4H_2	HSF4_4H_3	HSF4_6H_1	HSF4_6H_2	HSF4_6H_3
FBgn0038542	78	64	10	84	36	66	48	34	53	48	90	34
RR42085_transposable_element	14	0	3	6	6	2	4	5	2	4	12	6
FBgn0039592	0	4	2	0	2	0	2	2	0	0	0	0
FBgn0038067	1335	160	3583	860	10613	1458	5023	92	82	719	134	3080
FBgn0053534	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039602	5946	5931	5034	5846	4494	4528	4832	3735	4447	3106	4169	4356
FBgn0264897	15	2	46	122	74	30	98	10	15	30	5	65
FBgn0038565	389	435	227	195	350	10266	98	4555	3147	115	116	200
FBgn0039331	238	454	132	16	272	712	2	334	284	6	10	58
FBgn0065070	7	1	8	7	4	5	2	4	5	2	1	3
FBti0063896	0	4	11	2	0	10	2	8	0	0	4	1
FBgn0019972	9385	7045	6577	7804	7957	5577	6420	4960	5721	6893	7522	7903
FBgn0046873	46	26	20	6	48	4549	10	1669	1188	23	20	14
FBgn0038756	154	94	138	103	365	175	228	237	124	86	463	163
FBgn0039627	4688	3893	3852	4530	4020	3606	3541	2936	3325	3714	4139	3977
FBti0019428	16	10	8	8	20	10	8	12	11	20	8	10
FBti0063768	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039436	0	3	0	0	0	4	0	0	0	0	0	0
FBgn0051092	5079	3852	3249	4172	2677	2542	3562	2908	2387	2329	3164	3231
FBgn0039089	78	90	60	54	59	36	48	27	56	30	44	54
FBgn0064119	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0472816_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0250820	8626	6622	6723	6539	7099	5225	5824	5160	5304	5197	5848	6268
FBti0019461	0	0	0	0	0	4	0	2	2	0	6	8
FBgn0284229	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267730	115	82	75	75	104	183	83	148	116	67	59	66
FBgn0038886	41	81	22	4	25	1	0	0	10	0	0	10
FBti0059721	9	5	3	11	2	4	3	5	3	3	5	3
FBgn0038243	1947	1936	2253	2061	1829	1733	1858	1975	1634	1593	1704	1751
FBgn0283468	23786	19329	16006	19386	18440	16187	15110	12139	14881	14993	16540	17591
FBgn0038598	1112	962	759	493	929	16682	316	7373	4612	365	298	538
FBgn0038407	447	166	275	379	337	356	619	482	308	564	596	432
FBgn0038627	477	311	350	379	519	357	365	289	412	556	489	446
FBgn0263834	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0027654	223	241	330	315	332	333	342	252	294	258	313	314
FBgn0037236	7510	6317	5720	6156	5493	3967	4909	3543	4518	4604	5042	5446
FBgn0003890	3205	2657	1942	2572	2768	2398	3136	3368	3088	3382	3525	3820
FBgn0000463	1764	1301	1374	1618	1533	1107	1188	717	926	972	970	1296
FBti0020328	0	4	0	4	0	0	0	0	0	0	0	0
FBgn0039761	8	2	6	4	2	2	4	0	26	0	2	14
FBgn0051415	134	93	60	78	105	3427	42	1538	983	78	75	59
FBti0019330	0	1	0	3	0	0	0	2	0	2	0	2
FBti0063263	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019447	202	158	274	106	178	98	146	48	118	106	120	190
FBgn0037970	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267156	0	0	2	0	0	0	4	2	4	2	0	6
FBgn0266244	0	2	0	0	2	20	0	6	6	0	4	4
FBgn0267765	0	0	1	0	1	0	0	0	1	0	0	0
FBgn0051463	8	4	8	8	4	2	8	6	2	0	2	11
FBgn0051077	0	0	2	16	0	62	6	110	92	12	2	6
FBgn0037723	463	322	301	389	353	263	294	257	316	359	384	339
FBgn0028374	2	0	3	4	0	0	6	2	0	0	0	6
FBgn0004622	92	101	118	90	85	113	60	71	66	64	70	69
FBgn0263651	6	4	1	2	6	0	4	10	2	2	1	4
FBtr0304496_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0287463	0	0	0	0	0	0	0	0	0	0	0	0
FBti0059724	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053207	534	676	541	624	432	696	576	736	919	318	542	554
FBgn0038890	8125	6704	5488	6368	6106	5291	5060	4342	4860	4844	4775	5639
FBtr0472711_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0010770	5550	5005	4162	5507	4501	4226	4275	3586	3879	3970	4749	4296
FBgn0046763	2176	1933	1724	1867	1798	1466	1676	2093	1926	1580	1775	1615
FBgn0267154	5	0	6	4	19	0	15	0	0	0	0	0
FBgn0038465	8204	7235	6614	6336	5709	7340	6411	8598	8294	5565	6531	7022
FBgn0038402	1	10	6	10	8	4	8	2	0	4	6	2
FBgn0266744	264	227	183	223	201	166	168	146	182	123	114	144
FBgn0275433	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0261108	10273	8866	7243	9831	8731	7274	8371	6411	7790	7374	8237	8850
FBgn0039087	26	20	8	14	20	3	24	8	5	30	18	18
FBgn0262605	7	0	0	0	0	2	0	1	2	0	0	0
FBti0062504	0	0	0	0	2	0	0	0	0	0	1	0
FBgn0263040	14	8	10	4	4	0	3	8	4	6	6	6
FBgn0020907	4	0	6	6	2	0	2	16	2	2	12	8
FBgn0038903	1673	1281	1162	1449	1189	1136	1231	764	959	1222	1307	1111
FBgn0037472	5194	4223	3811	3873	4031	3663	3450	4096	3669	3377	3534	4306
FBgn0263977	53829	40701	39098	43221	44701	31949	33935	33990	33058	40688	40439	36720
FBgn0261060	60	158	88	446	5376	106	2612	14	59	60	2184	96
FBgn0015568	2164	1892	1514	1536	1096	2220	1428	4203	2820	1303	1432	1585
FBgn0011270	268	226	94	52	244	17295	100	10260	5578	154	156	112
FBgn0267748	0	4	0	0	0	13	0	11	11	0	0	0
FBgn0051116	1807	1337	1957	1688	3523	2116	2761	2153	1522	1585	1414	2318
FBgn0262577	616	440	395	449	445	311	357	166	251	422	324	306
