Geneid	HSF4_0H_1	HSF4_0H_2	HSF4_0H_3	HSF4_2H_1	HSF4_2H_2	HSF4_2H_3	HSF4_4H_1	HSF4_4H_2	HSF4_4H_3	HSF4_6H_1	HSF4_6H_2	HSF4_6H_3
FBgn0038542	24	25	5	29	12	29	22	15	26	24	42	17
RR42085_transposable_element	5	0	4	3	3	1	3	2	1	1	7	3
FBgn0039592	0	1	1	0	1	0	1	1	0	0	0	0
FBgn0038067	452	72	1617	340	4570	649	2415	44	40	365	66	1454
FBgn0053534	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039602	2031	2467	2221	2406	1942	2039	2339	1864	2209	1587	2018	2042
FBgn0264897	8	1	22	55	33	12	48	6	7	14	2	32
FBgn0038565	125	194	104	78	157	4647	48	2277	1556	58	54	96
FBgn0039331	77	189	59	8	114	316	1	165	137	3	5	30
FBgn0065070	2	0	0	2	1	0	0	4	1	0	0	1
FBti0063896	0	2	7	0	0	8	2	5	0	0	2	0
FBgn0019972	3208	2996	2952	3198	3444	2539	3112	2488	2830	3486	3608	3711
FBgn0046873	13	10	10	3	23	2040	3	821	580	13	10	3
FBgn0038756	49	43	67	45	162	83	115	121	63	44	227	79
FBgn0039627	1576	1608	1698	1837	1733	1635	1707	1466	1642	1863	2001	1867
FBti0019428	3	3	3	5	9	2	3	3	4	9	4	2
FBti0063768	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039436	0	2	0	0	0	1	0	0	0	0	0	0
FBgn0051092	1749	1611	1436	1711	1161	1151	1730	1468	1182	1186	1534	1520
FBgn0039089	25	37	30	26	26	16	26	15	27	15	22	24
FBgn0064119	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0472816_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0250820	2951	2754	3022	2674	3038	2364	2804	2560	2625	2619	2824	2934
FBti0019461	0	0	0	0	0	1	0	1	1	0	2	3
FBgn0284229	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267730	36	36	37	30	50	90	39	77	63	36	30	29
FBgn0038886	16	33	11	2	12	1	0	0	6	0	0	4
FBti0059721	0	0	2	3	1	0	0	2	0	1	1	0
FBgn0038243	643	802	999	845	778	790	898	984	799	802	817	828
FBgn0283468	8110	8166	7119	7959	7865	7278	7315	6053	7361	7554	7935	8172
FBgn0038598	390	413	344	208	391	7583	159	3695	2287	185	146	246
FBgn0038407	162	78	127	158	156	156	307	244	158	282	290	207
FBgn0038627	194	165	186	206	260	195	208	173	243	342	279	263
FBgn0263834	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0027654	73	104	145	120	144	160	163	127	148	133	157	152
FBgn0037236	2675	2737	2593	2596	2418	1857	2472	1828	2316	2415	2519	2626
FBgn0003890	1054	1110	869	1058	1214	1082	1530	1671	1520	1703	1707	1811
FBgn0000463	590	553	621	659	654	506	577	361	458	496	467	604
FBti0020328	0	2	0	2	0	0	0	0	0	0	1	0
FBgn0039761	2	1	3	2	1	1	2	0	12	0	1	5
FBgn0051415	54	59	32	40	53	2140	31	1020	684	54	47	33
FBti0019330	0	1	0	0	0	0	0	0	0	2	0	0
FBti0063263	0	0	0	0	0	0	0	0	0	0	0	0
FBti0019447	80	71	117	42	77	43	71	25	58	51	62	90
FBgn0037970	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267156	0	0	1	0	0	0	2	1	2	1	0	2
FBgn0266244	0	1	0	0	1	9	0	3	4	0	2	2
FBgn0267765	0	0	3	0	1	0	0	0	0	0	0	0
FBgn0051463	2	1	3	3	1	1	4	2	1	0	1	4
FBgn0051077	0	0	1	8	0	30	3	56	45	6	1	3
FBgn0037723	294	260	267	307	282	227	274	242	296	357	346	306
FBgn0028374	1	0	0	2	0	0	3	1	0	0	0	3
FBgn0004622	34	44	48	42	40	53	30	38	34	33	35	36
FBgn0263651	1	1	1	1	3	0	1	5	1	1	1	2
FBtr0304496_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0287463	0	0	0	0	0	0	0	0	0	0	0	0
FBti0059724	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053207	185	286	240	251	190	307	276	367	453	157	261	255
FBgn0038890	2802	2824	2450	2617	2640	2358	2447	2157	2421	2424	2273	2631
FBtr0472711_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0010770	1942	2137	1870	2304	1985	1956	2089	1819	1947	2055	2285	2050
FBgn0046763	757	804	764	741	814	689	828	1045	956	798	861	767
FBgn0267154	3	0	4	4	7	0	8	0	0	0	0	0
FBgn0038465	2871	3018	2937	2581	2452	3293	3086	4302	4112	2812	3119	3289
FBgn0038402	0	5	1	6	6	1	4	1	0	2	3	1
FBgn0266744	124	132	131	131	136	124	107	102	133	92	92	111
FBgn0275433	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0261108	3579	3714	3242	3982	3775	3303	4043	3188	3835	3740	3949	4144
FBgn0039087	9	6	4	5	9	2	12	4	2	15	7	6
FBgn0262605	3	0	0	0	0	1	0	1	1	0	0	0
FBti0062504	0	0	0	0	1	0	0	0	0	0	1	0
FBgn0263040	5	3	5	2	2	2	3	4	2	4	4	3
FBgn0020907	0	0	3	2	1	0	2	8	2	1	5	4
FBgn0038903	584	569	548	618	517	515	607	391	487	633	633	516
FBgn0037472	1875	1858	1772	1681	1827	1735	1745	2129	1883	1786	1782	2069
FBgn0263977	18597	17261	17479	17752	19406	14485	16480	17076	16411	20650	19543	17292
FBgn0261060	19	68	41	181	2326	47	1263	7	29	33	1067	43
FBgn0015568	754	771	677	624	458	1005	680	2100	1395	666	687	733
FBgn0011270	98	98	45	22	105	7865	49	5138	2772	79	73	49
FBgn0267748	0	4	0	0	0	9	0	9	9	0	0	0
FBgn0051116	614	582	875	689	1528	966	1355	1067	756	798	664	1098
FBgn0262577	218	189	182	195	193	146	157	83	136	213	146	137
FBgn0039030	0	0	0	1	0	0	0	1	8	1	30	0
FBgn0267212	1	0	5	2	0	13	2	5	3	0	0	0
FBti0062489	2	0	2	0	0	0	0	0	0	0	0	0
FBgn0053105	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0037516	7	2	1	5	6	702	8	382	223	8	3	3
FBgn0051265	0	1	1	5	0	5	0	3	1	0	4	4
FBgn0051163	3760	3494	3648	3917	3176	2350	3500	2431	2836	2331	2649	3423
FBgn0039189	3115	3474	3058	3432	3056	2703	3174	3140	3297	3246	3440	3241
FBgn0039858	37110	33545	32460	38892	36537	26534	34360	28057	30731	32904	34855	36669
FBgn0262422	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0261561	538	679	522	403	653	3364	395	1679	1331	350	444	478
FBgn0002905	4157	3755	3267	4274	3979	2958	3768	2606	3263	3063	3374	3985
FBgn0003676	21405	22946	21392	21943	20209	18517	21007	21362	21432	25362	25504	25436
FBgn0040629	3	0	6	6	9	115	10	181	139	24	6	2
FBgn0038246	2	1	4	1	16	0	2	3	11	0	2	8
FBgn0043005	6	11	16	9	36	83	4	58	53	4	6	8
FBgn0038815	959	1015	903	973	894	905	793	703	885	806	800	982
FBgn0267763	4	5	10	5	10	12	7	1	7	3	3	2
FBgn0054044	6	6	6	2	10	0	8	5	11	2	6	2
FBgn0015569	749	639	691	959	764	759	899	795	830	783	780	822
FBgn0265162	6	7	3	0	10	4	0	1	3	0	0	4
FBgn0038960	159	77	79	130	146	918	96	455	330	83	66	85
FBgn0067317	50	50	41	42	43	74	20	38	36	32	19	28
FBtr0304374_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039544	3099	3593	3088	3394	2798	2580	2978	2293	2783	2496	2527	3138
FBti0019403	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0038356	8	6	0	0	8	433	4	234	178	5	2	0
FBti0062486	0	0	1	0	0	1	0	2	0	0	0	0
FBgn0267559	2	1	0	0	2	0	1	7	1	1	0	3
FBgn0051437	2	0	2	1	3	2	1	0	2	1	1	0
FBtr0309705_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0309743_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0262327	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0028400	9006	7278	7687	8192	7791	5873	6476	4792	6281	7332	6683	7593
FBgn0039233	3080	2939	2789	2790	2963	2639	2919	2914	2955	3332	3155	3113
FBgn0288631	3816	3880	3578	3517	3490	2972	3197	2711	3182	3428	3374	3496
FBgn0039225	4	2	4	1	1	1	1	2	2	2	0	0
FBtr0472735_df_nrg	0	0	0	0	0	0	0	0	0	0	0	0
