#Insert size (bp)	insert size
18.0	1.0
26.0	2.0
27.0	3.0
28.0	3.0
29.0	5.0
30.0	3.0
31.0	55.0
32.0	84.0
33.0	72.0
34.0	75.0
35.0	97.0
36.0	68.0
37.0	102.0
38.0	119.0
39.0	115.0
40.0	131.0
41.0	112.0
42.0	164.0
43.0	187.0
44.0	204.0
45.0	178.0
46.0	254.0
47.0	197.0
48.0	235.0
49.0	257.0
50.0	225.0
51.0	324.0
52.0	227.0
53.0	258.0
54.0	266.0
55.0	250.0
56.0	273.0
57.0	302.0
58.0	287.0
59.0	281.0
60.0	335.0
61.0	276.0
62.0	308.0
63.0	323.0
64.0	283.0
65.0	337.0
66.0	316.0
67.0	360.0
68.0	363.0
69.0	424.0
70.0	438.0
71.0	471.0
72.0	473.0
73.0	490.0
74.0	485.0
75.0	532.0
76.0	483.0
77.0	600.0
78.0	605.0
79.0	543.0
80.0	669.0
81.0	651.0
82.0	723.0
83.0	730.0
84.0	771.0
85.0	764.0
86.0	916.0
87.0	909.0
88.0	965.0
89.0	983.0
90.0	1073.0
91.0	1148.0
92.0	1230.0
93.0	1200.0
94.0	1306.0
95.0	1396.0
96.0	1492.0
97.0	1540.0
98.0	1596.0
99.0	1710.0
100.0	1723.0
101.0	1756.0
102.0	1989.0
103.0	2009.0
104.0	2109.0
105.0	2216.0
106.0	2324.0
107.0	2380.0
108.0	2486.0
109.0	2612.0
110.0	2894.0
111.0	2763.0
112.0	3127.0
113.0	3091.0
114.0	3267.0
115.0	3611.0
116.0	3550.0
117.0	3723.0
118.0	3721.0
119.0	3962.0
120.0	4107.0
121.0	4366.0
122.0	4569.0
123.0	4726.0
124.0	4971.0
125.0	5234.0
126.0	5433.0
127.0	5503.0
128.0	5907.0
129.0	5971.0
130.0	6307.0
131.0	6688.0
132.0	6827.0
133.0	7259.0
134.0	7326.0
135.0	7935.0
136.0	8094.0
137.0	8598.0
138.0	8758.0
139.0	9179.0
140.0	9355.0
141.0	9647.0
142.0	10291.0
143.0	10485.0
144.0	11057.0
145.0	11354.0
146.0	12338.0
147.0	12368.0
148.0	12826.0
149.0	13368.0
150.0	14033.0
151.0	14470.0
152.0	15507.0
153.0	15795.0
154.0	16443.0
155.0	16928.0
156.0	17544.0
157.0	18131.0
158.0	18692.0
159.0	19561.0
160.0	20226.0
161.0	20698.0
162.0	21756.0
163.0	22746.0
164.0	23510.0
165.0	24198.0
166.0	25108.0
