#Duplication rate	Coverage
1.0	4103881.0
2.0	2393492.0
3.0	1517571.0
4.0	1039368.0
5.0	746702.0
6.0	555521.0
7.0	425187.0
8.0	330853.0
9.0	264203.0
10.0	215021.0
11.0	175964.0
12.0	146569.0
13.0	122774.0
14.0	104578.0
15.0	89093.0
16.0	77199.0
17.0	66614.0
18.0	58363.0
19.0	51314.0
20.0	45992.0
21.0	41054.0
22.0	36205.0
23.0	32733.0
24.0	29409.0
25.0	27120.0
26.0	24237.0
27.0	22103.0
28.0	20161.0
29.0	18493.0
30.0	17018.0
31.0	15622.0
32.0	14323.0
33.0	13561.0
34.0	12507.0
35.0	11513.0
36.0	10821.0
37.0	10075.0
38.0	9521.0
39.0	8883.0
40.0	8239.0
41.0	7837.0
42.0	7377.0
43.0	6934.0
44.0	6631.0
45.0	6315.0
46.0	5889.0
47.0	5572.0
48.0	5331.0
49.0	5095.0
50.0	192082.0
