#Mapping quality	mapping quality
0.0	1542644.0
1.0	1100265.0
2.0	203026.0
3.0	1076209.0
4.0	10909.0
5.0	10124.0
6.0	9215.0
7.0	9398.0
8.0	8171.0
9.0	8118.0
10.0	7189.0
11.0	6323.0
12.0	6705.0
13.0	6555.0
14.0	6552.0
15.0	6901.0
16.0	5478.0
17.0	6935.0
18.0	6072.0
19.0	6495.0
20.0	5931.0
21.0	6677.0
22.0	5711.0
23.0	6728.0
24.0	6399.0
25.0	7462.0
26.0	5404.0
27.0	4677.0
28.0	7137.0
29.0	6179.0
30.0	5472.0
31.0	6694.0
32.0	7273.0
33.0	5286.0
34.0	7430.0
35.0	3306.0
36.0	7580.0
37.0	8444.0
38.0	6024.0
39.0	7534.0
40.0	4149.0
41.0	3643.0
42.0	7418.0
43.0	9286.0
44.0	6778.0
45.0	8968.0
46.0	3594.0
47.0	4324.0
48.0	5150.0
49.0	2907.0
50.0	2503.0
51.0	16819.0
52.0	9136.0
53.0	17965.0
54.0	2796.0
55.0	3441.0
56.0	4346.0
57.0	5718.0
58.0	4128.0
59.0	5266.0
60.0	3498.0
61.0	3857.0
62.0	2630.0
63.0	10540.0
64.0	16779.0
65.0	10417.0
66.0	21705.0
67.0	2535.0
68.0	3197.0
69.0	3835.0
70.0	4179.0
71.0	4584.0
72.0	4249.0
73.0	7698.0
74.0	5845.0
75.0	7676.0
76.0	3640.0
77.0	4252.0
78.0	5574.0
79.0	3798.0
80.0	3430.0
81.0	3143.0
82.0	2730.0
83.0	2376.0
84.0	1754.0
85.0	42116.0
86.0	16514.0
87.0	59000.0
88.0	2057.0
89.0	2521.0
90.0	3048.0
91.0	3626.0
92.0	3224.0
93.0	4395.0
94.0	4888.0
95.0	4061.0
96.0	5798.0
97.0	7482.0
98.0	3271.0
99.0	3941.0
100.0	2539.0
101.0	2438.0
102.0	15639.0
103.0	23565.0
104.0	2210.0
105.0	3096.0
106.0	4077.0
107.0	3547.0
108.0	3650.0
109.0	8027.0
110.0	6273.0
111.0	9647.0
112.0	3161.0
113.0	5367.0
114.0	4719.0
115.0	6163.0
116.0	4003.0
117.0	6378.0
118.0	3578.0
119.0	4598.0
120.0	3970.0
121.0	3460.0
122.0	3541.0
123.0	3389.0
124.0	2745.0
125.0	2446.0
126.0	2007.0
127.0	37736.0
128.0	59560.0
129.0	156721.0
130.0	1861.0
131.0	2603.0
132.0	2981.0
133.0	3017.0
134.0	3456.0
135.0	4195.0
136.0	4228.0
137.0	4605.0
138.0	5208.0
139.0	4332.0
140.0	5557.0
141.0	4042.0
142.0	6619.0
143.0	8908.0
144.0	3975.0
145.0	4980.0
146.0	9676.0
147.0	12688.0
148.0	4372.0
149.0	4586.0
150.0	5333.0
151.0	4798.0
152.0	2848.0
153.0	19863.0
154.0	34953.0
155.0	3075.0
156.0	4509.0
157.0	5076.0
158.0	5225.0
159.0	6921.0
160.0	13462.0
161.0	3743.0
162.0	5425.0
163.0	7972.0
164.0	4430.0
165.0	5644.0
166.0	5297.0
167.0	3728.0
168.0	3284.0
169.0	2446.0
170.0	52294.0
171.0	114913.0
172.0	3087.0
173.0	3754.0
174.0	5064.0
175.0	5042.0
176.0	6463.0
177.0	7086.0
178.0	6170.0
179.0	11428.0
180.0	6237.0
181.0	4196.0
182.0	12739.0
183.0	24964.0
184.0	4957.0
185.0	7690.0
186.0	10294.0
187.0	8018.0
188.0	5750.0
189.0	5577.0
190.0	4153.0
191.0	30247.0
192.0	84760.0
193.0	4700.0
194.0	5495.0
195.0	8767.0
196.0	10876.0
197.0	5825.0
198.0	10188.0
199.0	21087.0
200.0	6858.0
201.0	12721.0
202.0	6480.0
203.0	5024.0
204.0	91443.0
205.0	5435.0
206.0	7873.0
207.0	12274.0
208.0	8836.0
209.0	19219.0
210.0	11758.0
211.0	8764.0
212.0	19279.0
213.0	59079.0
214.0	9354.0
215.0	12835.0
216.0	19021.0
217.0	12132.0
218.0	17313.0
219.0	54670.0
220.0	12989.0
221.0	20063.0
222.0	12693.0
223.0	56565.0
224.0	14193.0
225.0	22376.0
226.0	18788.0
227.0	48071.0
228.0	24889.0
229.0	50277.0
230.0	17316.0
231.0	28023.0
232.0	47196.0
233.0	28289.0
234.0	51446.0
235.0	49974.0
236.0	32530.0
237.0	53273.0
238.0	54894.0
239.0	56148.0
240.0	58797.0
241.0	76390.0
242.0	63004.0
243.0	81222.0
244.0	95126.0
245.0	91227.0
246.0	117720.0
247.0	126771.0
248.0	154326.0
249.0	184326.0
250.0	225827.0
251.0	290927.0
252.0	425153.0
253.0	743962.0
254.0	1813004.0
255.0	4.6712929E7
