#Coverage (X)	Coverage
1.0	34.33831061410865
2.0	29.251230407146522
3.0	25.688136096626422
4.0	23.692034514394976
5.0	22.10996379068557
6.0	21.015834699138168
7.0	20.109247872907517
8.0	19.39920933722209
9.0	18.800854837665355
10.0	18.293956997426264
11.0	17.85347441863722
12.0	17.469537627575576
13.0	17.126150214628538
14.0	16.818871090563007
15.0	16.540714741372966
16.0	16.285404640977916
17.0	16.049233735730027
18.0	15.831529217656808
19.0	15.630526618280257
20.0	15.441612993590411
21.0	15.267135865923564
22.0	15.100572407211345
23.0	14.943896512198279
24.0	14.79638388605565
25.0	14.655884604652144
26.0	14.520845017312894
27.0	14.392525160478641
28.0	14.269840331327131
29.0	14.152828101348035
30.0	14.039442215890787
31.0	13.929858704342195
32.0	13.824267511455602
33.0	13.721830932164963
34.0	13.623799262154407
35.0	13.52874061020637
36.0	13.43739109921114
37.0	13.349579570160188
38.0	13.264560159406656
39.0	13.182500547117428
40.0	13.102029373919422
41.0	13.023962080292208
42.0	12.94684798927338
43.0	12.87217187047338
44.0	12.800088880229211
45.0	12.728949351836846
46.0	12.659038550310484
47.0	12.591239405657447
48.0	12.524866586075362
49.0	12.459629260403418
50.0	12.395667973843729
51.0	12.332872795000583
