Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
HSF4_0H_1_1 - polya	(1, 0.01315471534944647)	(2, 0.01583069974077395)	(3, 0.016932887371261307)	(4, 0.018519931579583246)	(5, 0.0203917959087643)	(6, 0.021822520236800775)	(7, 0.02307042978958814)	(8, 0.02444286534870461)	(9, 0.026141188115873834)	(10, 0.02892116496993359)	(12, 0.032225740744273396)	(14, 0.03527927738883272)	(16, 0.03861697178187706)	(18, 0.04195930278154006)	(20, 0.04525924194926122)	(22, 0.048788361958417854)	(24, 0.05199490662139219)	(26, 0.05498816737990924)	(28, 0.058510663665324966)	(30, 0.062020574875632964)	(32, 0.0652344056347223)	(34, 0.06849857669424256)	(36, 0.07143553580096187)	(38, 0.07463082013357666)	(40, 0.07824406143424284)	(42, 0.08159699039189129)	(44, 0.08457766607530061)	(46, 0.0877000894467654)	(48, 0.09118284338973567)	(50, 0.09411317877271408)	(52, 0.09726010992202022)	(54, 0.1003977678580891)	(56, 0.10360894912768208)	(58, 0.10678899889569277)	(60, 0.10985843247723029)	(62, 0.11296760840121325)	(64, 0.1157926265767112)	(66, 0.11885079982788917)	(68, 0.1225991650928699)	(70, 0.12559838720275376)	(72, 0.12866318417767264)	(74, 0.13165843205331196)	(76, 0.13472919037959766)	(78, 0.13804701360141927)	(80, 0.1410945888946118)	(82, 0.14420575193571702)	(84, 0.14739573728933908)	(86, 0.1508400736346121)	(88, 0.15411616739686596)	(90, 0.15720149791538168)	(92, 0.1604497720379237)	(94, 0.16370864411845126)	(96, 0.1669065779405624)	(98, 0.1700144291197972)	(100, 0.17292423095917878)	(102, 0.17600426249870174)	(104, 0.17944594935447838)	(106, 0.18268958687040182)	(108, 0.18603390498718708)	(110, 0.18972133199375144)	(112, 0.19268147413356396)	(114, 0.19581250834589192)	(116, 0.19902037775361442)	(118, 0.20186725421745738)	(120, 0.20493668779899488)	(122, 0.20811408807750922)	(124, 0.21134712763544722)	(126, 0.21506767326071613)	(128, 0.21897169603360825)	(130, 0.22224447793399166)				
HSF4_0H_1_2 - polya	(1, 0.01019656032675624)	(2, 0.012908312826284631)	(3, 0.013974732348571077)	(4, 0.015357765865673003)	(5, 0.01710775367802132)	(6, 0.018416601489225057)	(7, 0.019610196507336967)	(8, 0.020919044318540702)	(9, 0.022499464803121736)	(10, 0.025125771266392392)	(12, 0.028262104457713086)	(14, 0.031006313203571938)	(16, 0.03415655621474854)	(18, 0.03735713952635606)	(20, 0.04064913022558814)	(22, 0.04383447897259156)	(24, 0.04680853093225997)	(26, 0.04981437676588475)	(28, 0.05314544743518819)	(30, 0.056552690927512084)	(32, 0.05962013739192733)	(34, 0.0626696998022421)	(36, 0.0655927490891055)	(38, 0.0686350254033053)	(40, 0.07204756787462192)	(42, 0.07527795794306352)	(44, 0.07823147635913512)	(46, 0.08119161849894763)	(48, 0.08461740841774607)	(50, 0.08747090860532993)	(52, 0.0906019428176579)	(54, 0.09371641772063359)	(56, 0.09676200589670382)	(58, 0.0998261404992486)	(60, 0.10285583173834065)	(62, 0.1059226158303818)	(64, 0.10874630926113157)	(66, 0.11188926617619317)	(68, 0.1155720565761389)	(70, 0.11839243814501821)	(72, 0.1213174745490039)	(74, 0.12425178416622684)	(76, 0.1271867561558239)	(78, 0.13034627238023777)	(80, 0.13329250470019438)	(82, 0.13630431188518596)	(84, 0.1393664593706085)	(86, 0.1424835837630805)	(88, 0.14556030344073304)	(90, 0.1485462781031351)	(92, 0.15155212393675987)	(94, 0.1546487147856351)	(96, 0.1576982771959499)	(98, 0.1607955304171992)	(100, 0.16347482667039714)	(102, 0.1664243708522242)	(104, 0.1697011269868522)	(106, 0.1727029985862324)	(108, 0.1758148239997117)	(110, 0.17932473521001974)	(112, 0.18220804215443767)	(114, 0.18512711720705655)	(116, 0.1880905712087395)	(118, 0.19081888301762018)	(120, 0.1939519043470704)	(122, 0.1970955236345061)	(124, 0.20032922556481816)	(126, 0.2038808662346939)	(128, 0.20755504579377645)	(130, 0.2107755002766067)				
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1 - illumina_universal_adapter	(1, 0.00013196348200955046)	(2, 0.00020982193639518522)	(3, 0.00042756168171094347)	(4, 0.0009897261150716285)	(5, 0.0011995480514668136)	(6, 0.001443680493184482)	(7, 0.0015281371216705943)	(8, 0.0017485161366265435)	(9, 0.0019345846462600097)	(10, 0.0022446988289824533)	(12, 0.0026003404129981917)	(14, 0.00298831305010627)	(16, 0.003307664676569382)	(18, 0.0035630140142578625)	(20, 0.0037609592372721884)	(22, 0.003949667016545845)	(24, 0.004123198995388404)	(26, 0.004245925033657286)	(28, 0.0043818474201271235)	(30, 0.004528986702567772)	(32, 0.004654352010476845)	(34, 0.004810068919248114)	(36, 0.0049697447324796706)	(38, 0.005174288129594473)	(40, 0.005406543857931283)	(42, 0.005641438855908282)	(44, 0.00589150965431638)	(46, 0.006187767671427822)	(48, 0.006551327064364133)	(50, 0.007047509756720043)	(52, 0.0076189116338213955)	(54, 0.008220005294374898)	(56, 0.008898957409314037)	(58, 0.009769916390577069)	(60, 0.010888306900608009)	(62, 0.012240272773795854)	(64, 0.013643044587557374)	(66, 0.015249699981023653)	(68, 0.01726676180353963)	(70, 0.019690930968055072)	(72, 0.022588189215574754)	(74, 0.025928184945236472)	(76, 0.029846840543510077)	(78, 0.03438440487240847)	(80, 0.03961807656890724)	(82, 0.04606581229989387)	(84, 0.05358443168738801)	(86, 0.06241872699051737)	(88, 0.07250799500755754)	(90, 0.0841887426176329)	(92, 0.09723993098837745)	(94, 0.11226463323257482)	(96, 0.12900750001253652)	(98, 0.14783868889529939)	(100, 0.16933422047983504)	(102, 0.1931351540950776)	(104, 0.2197911176435967)	(106, 0.24954690338452024)	(108, 0.2825925387319418)	(110, 0.318561825023285)	(112, 0.3575867257405593)	(114, 0.4013497752793865)	(116, 0.4487484187475768)	(118, 0.49987239131289674)	(120, 0.5556394989927227)	(122, 0.6160484221522347)	(124, 0.6816382316154415)	(126, 0.7523581214417696)	(128, 0.8287715756993999)	(130, 0.9110303523926431)	(132, 0.9994881136532849)	(134, 1.0954862682759525)	(136, 1.1981175673218303)	(138, 1.3080240131308942)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1 - polya	(1, 0.009699315927701959)	(2, 0.010929215580030969)	(3, 0.011570558102597384)	(4, 0.012243571860846092)	(5, 0.013122448651029697)	(6, 0.013920827717187478)	(7, 0.01481554012521223)	(8, 0.017326805187853976)	(9, 0.020430586284718603)	(10, 0.02380423270229276)	(12, 0.027061751255698513)	(14, 0.03020050267529567)	(16, 0.03316374266382013)	(18, 0.03693855806670332)	(20, 0.04038214512974254)	(22, 0.043554547237252134)	(24, 0.04701660918777269)	(26, 0.050461515885632004)	(28, 0.053854297008097546)	(30, 0.05746943659774918)	(32, 0.060745430038636264)	(34, 0.06379840519492722)	(36, 0.06738451281853675)	(38, 0.07093301084977356)	(40, 0.07418393122907883)	(42, 0.07748235846190756)	(44, 0.08044229936338176)	(46, 0.08365495033290428)	(48, 0.08728394608816692)	(50, 0.09065363360128079)	(52, 0.09363930738174686)	(54, 0.09677146062724354)	(56, 0.10026849290049664)	(58, 0.10322051599305028)	(60, 0.10638697974386943)	(62, 0.10954354623353788)	(64, 0.11275883647270057)	(66, 0.11595433218956185)	(68, 0.119037658946715)	(70, 0.12215925511365092)	(72, 0.12500240833354667)	(74, 0.12808177618623953)	(76, 0.1318407559712816)	(78, 0.13485282244814956)	(80, 0.1379236126745118)	(82, 0.14092644170763913)	(84, 0.14400778901256212)	(86, 0.14733788748107313)	(88, 0.15040999734225546)	(90, 0.15355930584041338)	(92, 0.15676601845324548)	(94, 0.1602221420470756)	(96, 0.16351990946249426)	(98, 0.1666223709245388)	(100, 0.16988780728686512)	(102, 0.17317765689336323)	(104, 0.1764035042110867)	(106, 0.17954093599586374)	(108, 0.18247976274021643)	(110, 0.18558750274154134)	(112, 0.18906342085767291)	(114, 0.1923314964896394)	(116, 0.19571504016836427)	(118, 0.19944366835254412)	(120, 0.2024306617678303)	(122, 0.20560240405792984)	(124, 0.20884936553277483)	(126, 0.21173012834504334)	(128, 0.21483984779859838)	(130, 0.21806305584668167)	(132, 0.22134696709648932)	(134, 0.22514685556095432)	(136, 0.22916118468368485)	(138, 0.2325236142052882)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - illumina_universal_adapter	(1, 0.00013328311682964596)	(2, 0.00021510047567556726)	(3, 0.00043811876027170755)	(4, 0.0010055617329127746)	(5, 0.0012180229389481508)	(6, 0.0014581964762055326)	(7, 0.0015426531046916448)	(8, 0.001765671389287785)	(9, 0.0019491006292810603)	(10, 0.0022526166379030262)	(12, 0.0026141965786091945)	(14, 0.003007447754997655)	(16, 0.003330098468511006)	(18, 0.003591386162889916)	(20, 0.0037926304729544802)	(22, 0.004003772044169761)	(24, 0.0041766442056022715)	(26, 0.00433566020142378)	(28, 0.004501934188755814)	(30, 0.004664249271627561)	(32, 0.004803470745147637)	(34, 0.004971724184709814)	(36, 0.005151194520242802)	(38, 0.005384769883399707)	(40, 0.005648696847418808)	(42, 0.005907345272157526)	(44, 0.006187767671427822)	(46, 0.0065189960112717925)	(48, 0.006920164996580826)	(50, 0.0074711125339706995)	(52, 0.008085402542725157)	(54, 0.008740601230902575)	(56, 0.00949345289576706)	(58, 0.010417197269833913)	(60, 0.011584414268208387)	(62, 0.013020836769882343)	(64, 0.014500147403209405)	(66, 0.016176743442140745)	(68, 0.018274302988682548)	(70, 0.020802063486575484)	(72, 0.02377520073625066)	(74, 0.027211529807779355)	(76, 0.031210683130078777)	(78, 0.03580895066070157)	(80, 0.04115083241244817)	(82, 0.04770281929422235)	(84, 0.05530127658833226)	(86, 0.0642747933649817)	(88, 0.07449338559439124)	(90, 0.08629751906014552)	(92, 0.09950640379189148)	(94, 0.11468550331004002)	(96, 0.13160652079071464)	(98, 0.15065149051433296)	(100, 0.17236410202677432)	(102, 0.19635044433424026)	(104, 0.2231845585834723)	(106, 0.2532392416111474)	(108, 0.286561340453379)	(110, 0.32284799891895516)	(112, 0.36215992020960025)	(114, 0.40621592867848866)	(116, 0.45395107902580334)	(118, 0.5053858255912558)	(120, 0.5616002894750941)	(122, 0.6223483587833707)	(124, 0.6883063463613841)	(126, 0.7593304120137443)	(128, 0.8362308115199897)	(130, 0.9188604055976798)	(132, 1.0077140573043504)	(134, 1.1041516503221096)	(136, 1.2072969471304145)	(138, 1.3176144591859384)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - polya	(1, 0.007279105667646803)	(2, 0.00852484093781696)	(3, 0.00923480447102834)	(4, 0.010070133312148795)	(5, 0.011047982713839565)	(6, 0.011911023886182025)	(7, 0.012884914383412507)	(8, 0.015586206860148005)	(9, 0.018901129528227912)	(10, 0.02246678281212597)	(12, 0.025563305917480066)	(14, 0.02857471257693801)	(16, 0.0314983635208596)	(18, 0.035152432337704057)	(20, 0.03851024313743706)	(22, 0.0414510493340199)	(24, 0.04482271629936391)	(26, 0.0482174768740596)	(28, 0.05168415754645049)	(30, 0.05502085418906197)	(32, 0.058127934372976836)	(34, 0.061234354739481654)	(36, 0.06465748746280939)	(38, 0.06815781882311273)	(40, 0.07134143782659313)	(42, 0.07447293125467976)	(44, 0.07747246120075685)	(46, 0.08058745919359228)	(48, 0.08406073804008364)	(50, 0.08735454655104202)	(52, 0.09035275686229902)	(54, 0.09335492607801628)	(56, 0.09682226656781723)	(58, 0.09972678280684744)	(60, 0.10290446345363741)	(62, 0.10607092720445657)	(64, 0.10916019231830014)	(66, 0.11226067432811454)	(68, 0.11533674309375716)	(70, 0.11845899907810312)	(72, 0.12132722535958068)	(74, 0.12450688545860081)	(76, 0.1282275958338601)	(78, 0.1310839454019568)	(80, 0.13405378356458175)	(82, 0.13701768337051623)	(84, 0.1399974187942919)	(86, 0.1431948939633833)	(88, 0.14618386683089962)	(90, 0.14924541961352117)	(92, 0.15233534454477482)	(94, 0.1555130251915648)	(96, 0.15863924008037106)	(98, 0.16168891614961173)	(100, 0.16474123148849265)	(102, 0.16788196236031994)	(104, 0.17096330966524298)	(106, 0.1740895245540492)	(108, 0.17682578735351723)	(110, 0.17982069857772398)	(112, 0.18315475595069527)	(114, 0.18619717402842545)	(116, 0.18937023595334512)	(118, 0.1929299508805527)	(120, 0.19587735525123603)	(122, 0.1988518121357313)	(124, 0.2018750955085701)	(126, 0.204664803518252)	(128, 0.20787019649626398)	(130, 0.2110663520305353)	(132, 0.21436213999372383)	(134, 0.2180195078976185)	(136, 0.22178772512640121)	(138, 0.2251052870641213)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2 - polyg	(1, 0.06480726601489023)	(2, 0.06744653565508124)	(3, 0.06811691014368976)	(4, 0.06856954488698251)	(5, 0.06900370474279394)	(6, 0.06946029839054699)	(7, 0.06993932583024165)	(8, 0.07050412953324252)	(9, 0.07123520722357543)	(10, 0.07223812968684801)	(12, 0.07339083070220144)	(14, 0.07416347688936736)	(16, 0.0747540134713601)	(18, 0.07529638338241934)	(20, 0.0758413925631188)	(22, 0.07639102046568857)	(24, 0.07687400680984352)	(26, 0.07724482419429035)	(28, 0.07766380824967067)	(30, 0.07804650234749838)	(32, 0.07841995900158541)	(34, 0.0787472284369691)	(36, 0.07912794308256665)	(38, 0.07949282211032306)	(40, 0.07983130844167755)	(42, 0.08023445687921674)	(44, 0.08056898430611094)	(46, 0.08098071036998074)	(48, 0.08133833140622662)	(50, 0.08169595244247249)	(52, 0.08210174014965187)	(54, 0.08251148676129152)	(56, 0.08295092515638332)	(58, 0.08331976308860002)	(60, 0.08372819006541957)	(62, 0.08418742298281282)	(64, 0.08457605543733093)	(66, 0.08496864679630936)	(68, 0.08533154637183563)	(70, 0.0856918066777217)	(72, 0.08609363548044077)	(74, 0.08645587523855698)	(76, 0.08696393464429375)	(78, 0.08741524975276642)	(80, 0.08804603519677207)	(82, 0.08911230013140924)	(84, 0.08983150110836129)	(86, 0.09056323861610424)	(88, 0.09134710169924097)	(90, 0.09211512916453657)	(92, 0.09286336210753071)	(94, 0.0936261110335459)	(96, 0.09423050378114965)	(98, 0.09484149470285386)	(100, 0.09545116598973799)	(102, 0.09599287608338719)	(104, 0.09654646289041727)	(106, 0.09710136933226743)	(108, 0.09765297668706734)	(110, 0.09817885116287539)	(112, 0.09872386034357485)	(114, 0.09934606816124988)	(116, 0.09998543123158615)	(118, 0.10063271211084299)	(120, 0.10134003637441419)	(122, 0.10211334237899014)	(124, 0.10288005020946564)	(126, 0.1038163311143234)	(128, 0.10480605722939501)	(130, 0.10588221942518292)	(132, 0.1069808154129124)	(134, 0.10818894109070985)	(136, 0.10953694805943741)	(138, 0.11112710801765249)
HSF4_0H_2_1 - polya	(1, 0.011751552611191183)	(2, 0.01434884603941473)	(3, 0.01534373026526709)	(4, 0.016818675099267842)	(5, 0.018594899349416896)	(6, 0.019811604683861964)	(7, 0.02106472840927001)	(8, 0.022417175019122552)	(9, 0.024128839394382685)	(10, 0.02683290492338407)	(12, 0.029813419147422623)	(14, 0.03251003546009067)	(16, 0.0355658695381663)	(18, 0.03848182388731594)	(20, 0.04161711627294717)	(22, 0.04454962443617089)	(24, 0.04748296029009831)	(26, 0.05013157054195151)	(28, 0.05315264161047157)	(30, 0.05625648174936204)	(32, 0.05928914048773396)	(34, 0.062351596091439226)	(36, 0.06524023664736663)	(38, 0.0682422708297015)	(40, 0.0714727476462587)	(42, 0.07472226134900109)	(44, 0.077489231371484)	(46, 0.08032738279448545)	(48, 0.08337162920270921)	(50, 0.08604010403145132)	(52, 0.08888404928937871)	(54, 0.09178344982445424)	(56, 0.09466546885475202)	(58, 0.09770309373734616)	(60, 0.10041129771986607)	(62, 0.10333470128534902)	(64, 0.10612401895683193)	(66, 0.10909129012961123)	(68, 0.11237722222331661)	(70, 0.11505066319628093)	(72, 0.11788136540294905)	(74, 0.12076669519606163)	(76, 0.12349393606476673)	(78, 0.12671448059287949)	(80, 0.129488072140992)	(82, 0.13228235595669713)	(84, 0.13504022138143928)	(86, 0.13789078816499628)	(88, 0.1408216409468126)	(90, 0.14361592476251775)	(92, 0.146560848286297)	(94, 0.14948921799600223)	(96, 0.15227522490467033)	(98, 0.15510096096711617)	(100, 0.15780502649611758)	(102, 0.16063159024926715)	(104, 0.1638438578703429)	(106, 0.16676560605441842)	(108, 0.16977508945308667)	(110, 0.17295424944601417)	(112, 0.17581392082731195)	(114, 0.1787141490530912)	(116, 0.18176667236835203)	(118, 0.18435403350813112)	(120, 0.1872584001874289)	(122, 0.19027698818383787)	(124, 0.19343628359987652)	(126, 0.19705660273787834)	(128, 0.20086480766562104)	(130, 0.20399513390703006)				
HSF4_0H_2_2 - polya	(1, 0.009369458765930708)	(2, 0.011759829518228224)	(3, 0.012716639971710193)	(4, 0.01398962827400714)	(5, 0.015565551373859796)	(6, 0.016744182935934472)	(7, 0.017810248562305387)	(8, 0.01912296601838013)	(9, 0.020784968951418015)	(10, 0.02336157011204896)	(12, 0.026311459780050464)	(14, 0.02896007003190367)	(16, 0.031905821246386655)	(18, 0.03473900652516588)	(20, 0.03760281635998215)	(22, 0.04061643821216888)	(24, 0.043424792769836976)	(26, 0.04603450155861609)	(28, 0.04907047105980282)	(30, 0.05192352091547094)	(32, 0.05461186032110195)	(34, 0.05733827349910334)	(36, 0.060073791274845474)	(38, 0.06291525346066174)	(40, 0.0659760536829596)	(42, 0.06918004439699826)	(44, 0.07189652528655521)	(46, 0.07463618151581587)	(48, 0.07773008936626188)	(50, 0.08034228122715212)	(52, 0.08323588792730174)	(54, 0.08597306108445128)	(56, 0.08889977541274907)	(58, 0.091733788382232)	(60, 0.0945048968582334)	(62, 0.09744982038201269)	(64, 0.10013236595271777)	(66, 0.10283063764679323)	(68, 0.10591213013668369)	(70, 0.10841341144327755)	(72, 0.11113154771424191)	(74, 0.11389189621109516)	(76, 0.11643207898076313)	(78, 0.11944487314224614)	(80, 0.12204547733328451)	(82, 0.1246924322037303)	(84, 0.12742629459806504)	(86, 0.13028182752584427)	(88, 0.13325240946143838)	(90, 0.13609469933795837)	(92, 0.13889891544210792)	(94, 0.1416220178572945)	(96, 0.1443707786842959)	(98, 0.1471360933253714)	(100, 0.14967875916715045)	(102, 0.15243993535470743)	(104, 0.15548335407222752)	(106, 0.1583148839695993)	(108, 0.16120683528834154)	(110, 0.16427922318049126)	(112, 0.16694355955571483)	(114, 0.16975522487619776)	(116, 0.17271173606982887)	(118, 0.175321444858608)	(120, 0.178172011642165)	(122, 0.18104575376542573)	(124, 0.18399316036131613)	(126, 0.18732296006231783)	(128, 0.1909499007259493)	(130, 0.19388985810550635)				
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1 - illumina_universal_adapter	(1, 5.938262752324413e-05)	(2, 9.072345871606743e-05)	(3, 0.00013855946422090297)	(4, 0.00032660445137784274)	(5, 0.0004107298403691053)	(6, 0.0005146494385347825)	(7, 0.0005509388220212095)	(8, 0.0006466108330308805)	(9, 0.0007092924954165272)	(10, 0.0008519757532154332)	(12, 0.0009501220403719062)	(14, 0.0010639387431247908)	(16, 0.0011587859954188613)	(18, 0.001261056076153337)	(20, 0.0013278615321169868)	(22, 0.0014408534761542707)	(24, 0.0015117827256959236)	(26, 0.0015827119752375763)	(28, 0.0016412698440452199)	(30, 0.001736941855054891)	(32, 0.0018128196568901471)	(34, 0.0019126154614778216)	(36, 0.002007462713771892)	(38, 0.002116330864231173)	(40, 0.0022540655697364754)	(42, 0.0024008726211133843)	(44, 0.002567473881664708)	(46, 0.0027530445926748463)	(48, 0.0029905751027678226)	(50, 0.0032825396880904398)	(52, 0.0035736795146974563)	(54, 0.003865644100020073)	(56, 0.004204619932131925)	(58, 0.004611225978923028)	(60, 0.00512587541745781)	(62, 0.005699082724800236)	(64, 0.006301981345904284)	(66, 0.007072305986275256)	(68, 0.007973767262426726)	(70, 0.009061624008303935)	(72, 0.010184120620236369)	(74, 0.01154332298354618)	(76, 0.013054280950526503)	(78, 0.014813491290902609)	(80, 0.01687043952761054)	(82, 0.019338117604687573)	(84, 0.0220639451597476)	(86, 0.025079263023983438)	(88, 0.028693355715745324)	(90, 0.03266786796622468)	(92, 0.037178473381844435)	(94, 0.042478372888293967)	(96, 0.0484430279195176)	(98, 0.055002333984689275)	(100, 0.06247712222417763)	(102, 0.0706438830260549)	(104, 0.07988447967564417)	(106, 0.09003396042982531)	(108, 0.101179749712452)	(110, 0.11366742142536088)	(112, 0.12731305437497303)	(114, 0.14226263085394975)	(116, 0.1588765704210085)	(118, 0.17669218343669732)	(120, 0.19593545378909083)	(122, 0.21731402445617432)	(124, 0.24072727487464451)	(126, 0.26640943651973203)	(128, 0.29418731006116067)	(130, 0.3244988423769144)	(132, 0.3577819803449771)	(134, 0.3941068284561749)	(136, 0.43400040752977653)	(138, 0.477355498932754)
