Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HSF4_0H_1_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.3247447481819203e-06)	(8, 0.0)	(9, 0.0)	(10, 5.298978992727681e-07)	(15, 2.7024792862911173e-05)	(20, 0.00015420028868837554)	(25, 0.00018202018014020578)	(30, 0.0007516649637273433)	(35, 1.3777520159346983e-05)	(40, 0.0014647378214025408)	(45, 0.00022259166255103957)	(50, 0.0)	(55, 0.00014100106451563077)	(60, 0.0)	(65, 5.302068056004144e-07)	(70, 2.6779946725140634e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.831874886299017e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 5.249579803441841e-05)	(135, 0.0)	(140, 0.0)		
HSF4_0H_1_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00012055177208455476)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.756198215727794e-05)	(10, 0.0)	(15, 0.0004745235687987638)	(20, 6.6237237409096015e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00010812392818015415)	(55, 0.0)	(60, 0.0025851722819720487)	(65, 0.00024601238903015384)	(70, 0.0018037763190731457)	(75, 9.653467104503378e-05)	(80, 1.5917228543949978e-06)	(85, 0.0)	(90, 3.7175459170825175e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026152763069934356)	(125, 0.0015567695363692847)	(130, 0.00012982515560144197)	(135, 0.000969242798962569)	(140, 0.0003078091628885472)		
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.05955643906573022)	(3, 0.0)	(4, 0.0016574613340399537)	(5, 0.0)	(6, 0.005498918295337968)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00017894248160495041)	(20, 6.756530278888983e-05)	(25, 0.00017683106589279764)	(30, 0.0011657654000723687)	(35, 0.0015057033297289709)	(40, 0.0027340194202738663)	(45, 0.0003391461487645447)	(50, 0.003312811252367755)	(55, 0.0006270904665093837)	(60, 0.0007630128529792209)	(65, 4.011689853090334e-05)	(70, 0.0)	(75, 0.0002296164586966178)	(80, 7.917808920573028e-07)	(85, 0.0)	(90, 1.0293151596744936e-05)	(95, 0.00013592238646983697)	(100, 0.0006611370448678478)	(105, 0.0)	(110, 2.639269640191009e-07)	(115, 0.0)	(120, 4.513151084726626e-05)	(125, 2.8504112114062903e-05)	(130, 0.0)	(135, 2.639269640191009e-07)	(140, 0.00033624295216033457)	(145, 6.650959493281343e-05)	(150, 0.0)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1, 0.010883028361327627)	(2, 0.011479503300010794)	(3, 0.002030917988126982)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000920313323534605)	(15, 0.0010237726934300925)	(20, 0.0029195600759792943)	(25, 0.0003808466090795626)	(30, 8.97351677664943e-06)	(35, 4.961826923559097e-05)	(40, 0.0)	(45, 6.862101064496623e-06)	(50, 6.914886457300444e-05)	(55, 0.00040433610887726255)	(60, 0.00015967581323155606)	(65, 0.0016007170367758469)	(70, 0.0050032634569100965)	(75, 0.005186164842975333)	(80, 0.0016329161263861774)	(85, 0.000355773547497748)	(90, 0.0005745690006695827)	(95, 9.263836437070443e-05)	(100, 2.639269640191009e-07)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.653881956553927e-06)	(130, 0.004906930115043125)	(135, 0.0016748805136652146)	(140, 0.004745406813063434)	(145, 0.002290358193757758)	(150, 0.002722406633857026)
HSF4_0H_2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.621525629633009e-07)	(15, 3.0790094177793495e-05)	(20, 0.00016288953048897202)	(25, 0.00018573380252009383)	(30, 0.0007651175018195131)	(35, 1.5891669455765014e-05)	(40, 0.0014925848381927614)	(45, 0.00022814892948863294)	(50, 0.0)	(55, 0.0001397643040609529)	(60, 0.0)	(65, 6.625212513215104e-07)	(70, 2.9154257099155193e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.3596436900501591e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.134058481280129e-05)	(135, 0.0)	(140, 0.0)		
HSF4_0H_2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00011091055429635291)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.297220503706407e-05)	(10, 0.0)	(15, 0.0004535745056298611)	(20, 8.939059600004562e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.3113066758532027e-07)	(50, 0.00011226436194753554)	(55, 0.0)	(60, 0.00248652071923945)	(65, 0.00024016452482367197)	(70, 0.0017356774310251263)	(75, 0.00010370992571019454)	(80, 6.627855249802026e-07)	(85, 0.0)	(90, 9.945959425140254e-07)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00026441044315353245)	(125, 0.0015467346799259844)	(130, 0.00013576091325025413)	(135, 0.0009529406265457471)	(140, 0.0003142813886425853)		
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(1, 0.0)	(2, 0.060184292994807924)	(3, 0.0)	(4, 0.0015373502458795427)	(5, 0.0)	(6, 0.00547639787158807)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0001854057592670178)	(20, 7.026944256917222e-05)	(25, 0.0001751787511935702)	(30, 0.0011906216818410448)	(35, 0.0015700106910173268)	(40, 0.002845747472308355)	(45, 0.00037543016734139904)	(50, 0.003340932605154963)	(55, 0.0006297857552326281)	(60, 0.0007894590425729067)	(65, 4.585658458739408e-05)	(70, 0.0)	(75, 0.0002299427299094509)	(80, 6.598069724804903e-07)	(85, 0.0)	(90, 1.3196139449609807e-05)	(95, 0.0001642919361476421)	(100, 0.0006931272245907552)	(105, 0.0)	(110, 6.598069724804903e-07)	(115, 0.0)	(120, 4.981542642227702e-05)	(125, 2.8371699816661085e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00033650155596505005)	(145, 6.664050422052952e-05)	(150, 0.0)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(1, 0.01059155142574307)	(2, 0.011360226548682843)	(3, 0.0020998356899191604)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009273586998213292)	(15, 0.001060309804776148)	(20, 0.0029486773600153116)	(25, 0.00038994592073596983)	(30, 5.608359266084169e-06)	(35, 5.3774268257159965e-05)	(40, 0.0)	(45, 5.278455779843923e-06)	(50, 6.49909867893283e-05)	(55, 0.00040347196367181983)	(60, 0.00015406492807419452)	(65, 0.0015766087607421318)	(70, 0.004961748433053288)	(75, 0.0052481046591098205)	(80, 0.0016587547288159526)	(85, 0.0003582751860569063)	(90, 0.0006020738623884475)	(95, 8.84141343123857e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.257876697285393e-06)	(130, 0.004907974164796127)	(135, 0.0017283643644126444)	(140, 0.00477601277030003)	(145, 0.002347593208085585)	(150, 0.002863562260565328)
HSF4_0H_3_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.7200370956960354e-06)	(8, 0.0)	(9, 0.0)	(10, 3.440074191392071e-07)	(15, 2.5800556435440534e-05)	(20, 0.00015067524958297271)	(25, 0.00019264439528205343)	(30, 0.0007716127103320614)	(35, 9.976320686833214e-06)	(40, 0.0014693445530203641)	(45, 0.00021503492175730732)	(50, 0.0)	(55, 0.00012938639003489425)	(60, 0.0)	(65, 0.0)	(70, 2.5817248974946786e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.2413310311286203e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 6.552359431962996e-05)	(135, 0.0)	(140, 0.0)		
HSF4_0H_3_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.00010836233702885024)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.988107577518503e-05)	(10, 0.0)	(15, 0.0004561538377785886)	(20, 3.4400741913920708e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00011044921864919574)	(55, 0.0)	(60, 0.002517389517658877)	(65, 0.00023094401273516838)	(70, 0.001760371480377925)	(75, 9.502341085920446e-05)	(80, 6.887419386027611e-07)	(85, 0.0)	(90, 3.1016117366862867e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00024523697248651376)	(125, 0.0015011766262724767)	(130, 0.00012692277544125192)	(135, 0.0009716764306837314)	(140, 0.0003089248379831377)		
