Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
HSF4_0H_1_1	(18.0, 201.0)	(19.0, 2378.0)	(20.0, 8439.0)	(21.0, 15231.0)	(22.0, 21697.0)	(23.0, 28872.0)	(24.0, 37503.0)	(25.0, 47641.0)	(26.0, 58953.0)	(27.0, 71192.0)	(28.0, 84979.0)	(29.0, 100674.0)	(30.0, 118580.0)	(31.0, 141113.0)	(32.0, 171424.0)	(33.0, 215043.0)	(34.0, 285177.0)	(35.0, 410233.0)	(36.0, 676132.0)	(37.0, 1263761.0)	(38.0, 3205154.0)	(39.0, 47121402.0)	(40.0, 21400461.0)									
HSF4_0H_1_2	(18.0, 1343.0)	(19.0, 7669.0)	(20.0, 18459.0)	(21.0, 30576.0)	(22.0, 41327.0)	(23.0, 51278.0)	(24.0, 60231.0)	(25.0, 69682.0)	(26.0, 79067.0)	(27.0, 88985.0)	(28.0, 101086.0)	(29.0, 116186.0)	(30.0, 133661.0)	(31.0, 159192.0)	(32.0, 192655.0)	(33.0, 243321.0)	(34.0, 319653.0)	(35.0, 460131.0)	(36.0, 768083.0)	(37.0, 1527167.0)	(38.0, 4696020.0)	(39.0, 51396687.0)	(40.0, 14923781.0)									
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(12.0, 9.0)	(13.0, 152.0)	(14.0, 1268.0)	(15.0, 3583.0)	(16.0, 5407.0)	(17.0, 8023.0)	(18.0, 11567.0)	(19.0, 16261.0)	(20.0, 21271.0)	(21.0, 25780.0)	(22.0, 30333.0)	(23.0, 37322.0)	(24.0, 44782.0)	(25.0, 55424.0)	(26.0, 67497.0)	(27.0, 78258.0)	(28.0, 95787.0)	(29.0, 107634.0)	(30.0, 130688.0)	(31.0, 151123.0)	(32.0, 182618.0)	(33.0, 234464.0)	(34.0, 301555.0)	(35.0, 456246.0)	(36.0, 694729.0)	(37.0, 1367763.0)	(38.0, 3127467.0)	(39.0, 48488620.0)	(40.0, 20032909.0)			
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(10.0, 4.0)	(11.0, 50.0)	(12.0, 694.0)	(13.0, 4781.0)	(14.0, 17318.0)	(15.0, 30650.0)	(16.0, 36471.0)	(17.0, 35745.0)	(18.0, 35668.0)	(19.0, 37562.0)	(20.0, 42005.0)	(21.0, 45255.0)	(22.0, 50222.0)	(23.0, 57102.0)	(24.0, 65106.0)	(25.0, 75764.0)	(26.0, 84079.0)	(27.0, 95099.0)	(28.0, 108816.0)	(29.0, 120639.0)	(30.0, 145631.0)	(31.0, 165734.0)	(32.0, 207752.0)	(33.0, 257198.0)	(34.0, 339976.0)	(35.0, 497779.0)	(36.0, 791103.0)	(37.0, 1630568.0)	(38.0, 4469217.0)	(39.0, 52228357.0)	(40.0, 14102195.0)	
HSF4_0H_2_1	(18.0, 122.0)	(19.0, 1592.0)	(20.0, 5938.0)	(21.0, 11232.0)	(22.0, 15965.0)	(23.0, 21553.0)	(24.0, 28055.0)	(25.0, 36061.0)	(26.0, 44989.0)	(27.0, 54552.0)	(28.0, 66350.0)	(29.0, 78491.0)	(30.0, 93207.0)	(31.0, 111663.0)	(32.0, 137508.0)	(33.0, 171166.0)	(34.0, 228145.0)	(35.0, 332263.0)	(36.0, 554168.0)	(37.0, 1046112.0)	(38.0, 2806086.0)	(39.0, 40695087.0)	(40.0, 13868734.0)									
HSF4_0H_2_2	(18.0, 974.0)	(19.0, 5460.0)	(20.0, 13512.0)	(21.0, 22915.0)	(22.0, 31104.0)	(23.0, 39196.0)	(24.0, 45701.0)	(25.0, 53034.0)	(26.0, 60540.0)	(27.0, 68303.0)	(28.0, 78062.0)	(29.0, 89774.0)	(30.0, 104880.0)	(31.0, 124932.0)	(32.0, 150557.0)	(33.0, 188836.0)	(34.0, 248228.0)	(35.0, 357204.0)	(36.0, 596238.0)	(37.0, 1191222.0)	(38.0, 3773103.0)	(39.0, 42361606.0)	(40.0, 10803658.0)									
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(12.0, 1.0)	(13.0, 95.0)	(14.0, 678.0)	(15.0, 1882.0)	(16.0, 3338.0)	(17.0, 5136.0)	(18.0, 8316.0)	(19.0, 11939.0)	(20.0, 15799.0)	(21.0, 19073.0)	(22.0, 22797.0)	(23.0, 27795.0)	(24.0, 33421.0)	(25.0, 41982.0)	(26.0, 51436.0)	(27.0, 60166.0)	(28.0, 74642.0)	(29.0, 84150.0)	(30.0, 102324.0)	(31.0, 119540.0)	(32.0, 146764.0)	(33.0, 186527.0)	(34.0, 239234.0)	(35.0, 364797.0)	(36.0, 563633.0)	(37.0, 1122840.0)	(38.0, 2707251.0)	(39.0, 41637387.0)	(40.0, 12970848.0)			
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(9.0, 1.0)	(10.0, 3.0)	(11.0, 55.0)	(12.0, 480.0)	(13.0, 3247.0)	(14.0, 11559.0)	(15.0, 20983.0)	(16.0, 25699.0)	(17.0, 26439.0)	(18.0, 26688.0)	(19.0, 27990.0)	(20.0, 31347.0)	(21.0, 33999.0)	(22.0, 38343.0)	(23.0, 43885.0)	(24.0, 49141.0)	(25.0, 57270.0)	(26.0, 64945.0)	(27.0, 73248.0)	(28.0, 84086.0)	(29.0, 93904.0)	(30.0, 113336.0)	(31.0, 129811.0)	(32.0, 161745.0)	(33.0, 196779.0)	(34.0, 257964.0)	(35.0, 376535.0)	(36.0, 596605.0)	(37.0, 1243253.0)	(38.0, 3514531.0)	(39.0, 42975401.0)	(40.0, 10344519.0)
HSF4_0H_3_1	(18.0, 163.0)	(19.0, 1874.0)	(20.0, 6633.0)	(21.0, 12079.0)	(22.0, 16950.0)	(23.0, 21973.0)	(24.0, 29352.0)	(25.0, 37244.0)	(26.0, 46115.0)	(27.0, 55847.0)	(28.0, 66123.0)	(29.0, 77542.0)	(30.0, 92368.0)	(31.0, 109302.0)	(32.0, 133081.0)	(33.0, 168349.0)	(34.0, 221793.0)	(35.0, 320428.0)	(36.0, 529383.0)	(37.0, 987350.0)	(38.0, 2523744.0)	(39.0, 36533452.0)	(40.0, 16147136.0)									
HSF4_0H_3_2	(18.0, 1058.0)	(19.0, 5725.0)	(20.0, 13808.0)	(21.0, 23358.0)	(22.0, 31679.0)	(23.0, 39050.0)	(24.0, 45383.0)	(25.0, 52674.0)	(26.0, 60518.0)	(27.0, 68212.0)	(28.0, 77285.0)	(29.0, 89045.0)	(30.0, 104178.0)	(31.0, 122757.0)	(32.0, 149657.0)	(33.0, 187272.0)	(34.0, 246448.0)	(35.0, 354694.0)	(36.0, 591371.0)	(37.0, 1179274.0)	(38.0, 3659653.0)	(39.0, 39969897.0)	(40.0, 11065285.0)									
