Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_0H_1_1	(1.0, 11.709244788029649)	(2.0, 8.082190267002925)	(3.0, 6.168843369005401)	(4.0, 4.871264222901436)	(5.0, 3.914990876734903)	(6.0, 3.2815898219816426)	(7.0, 2.691011074026156)	(8.0, 2.2013399806134752)	(9.0, 1.9622885225999902)	('>10', 21.704924278951186)	('>50', 6.304741278681231)	('>100', 13.26425222495263)	('>500', 4.146314412388803)	('>1k', 5.528373492654587)	('>5k', 1.5075122453397791)	('>10k+', 2.6611191441364106)
HSF4_0H_1_2	(1.0, 12.015055518597832)	(2.0, 8.152531147503286)	(3.0, 6.2144430108577655)	(4.0, 4.802863731727447)	(5.0, 4.040058882351113)	(6.0, 3.144408520758034)	(7.0, 2.6844184748666673)	(8.0, 2.29218491027994)	(9.0, 1.987223616980956)	('>10', 21.537227272897862)	('>50', 6.16506158568963)	('>100', 13.089447996911174)	('>500', 4.149771733231562)	('>1k', 5.519159762346937)	('>5k', 1.5202283565913532)	('>10k+', 2.6859154784085284)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	(1.0, 12.94453081729459)	(2.0, 8.452221637307643)	(3.0, 6.218139453012669)	(4.0, 4.892999570066279)	(5.0, 3.8815669071380863)	(6.0, 3.2339447907434185)	(7.0, 2.595822774781109)	(8.0, 2.218643069064133)	(9.0, 1.9282426962046624)	('>10', 21.162486790189703)	('>50', 6.174345669576022)	('>100', 12.843839308421432)	('>500', 3.9908019446970258)	('>1k', 5.3723634014020565)	('>5k', 1.4838553326375628)	('>10k+', 2.606195837463698)
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	(1.0, 13.262309960791077)	(2.0, 8.477233004555016)	(3.0, 6.291157268615876)	(4.0, 4.840124148364815)	(5.0, 3.933225872933351)	(6.0, 3.132280461718377)	(7.0, 2.612987577654216)	(8.0, 2.278114457917307)	(9.0, 1.9523968646944538)	('>10', 21.03251769285731)	('>50', 6.031833314466774)	('>100', 12.710208536662094)	('>500', 3.98490411642574)	('>1k', 5.2981544168336585)	('>5k', 1.4883056406954718)	('>10k+', 2.6742466648145387)
HSF4_0H_2_1	(1.0, 13.170446057794871)	(2.0, 8.97867479462202)	(3.0, 6.804933388171211)	(4.0, 5.229593896844046)	(5.0, 4.1474344154487985)	(6.0, 3.3730760644100135)	(7.0, 2.7416571827197243)	(8.0, 2.2793604093822464)	(9.0, 1.9396165521282347)	('>10', 20.8358339952031)	('>50', 6.222669529221404)	('>100', 12.716410863219757)	('>500', 3.630993086921255)	('>1k', 4.751469379899879)	('>5k', 1.2321320776924085)	('>10k+', 1.9456983063211548)
HSF4_0H_2_2	(1.0, 13.244580031250694)	(2.0, 9.070859202836298)	(3.0, 6.793994046257507)	(4.0, 5.180078683677588)	(5.0, 4.046156689809684)	(6.0, 3.415861021796693)	(7.0, 2.733711167690937)	(8.0, 2.289006025094875)	(9.0, 2.0389252984204536)	('>10', 20.74169956138146)	('>50', 6.342863892918353)	('>100', 12.551930137864792)	('>500', 3.5764726857489606)	('>1k', 4.756908458022042)	('>5k', 1.2332018539604943)	('>10k+', 1.9837512432692632)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	(1.0, 14.73817506449206)	(2.0, 9.422949578338855)	(3.0, 6.850342068065078)	(4.0, 5.217591880470808)	(5.0, 4.071438346437821)	(6.0, 3.2798623483802176)	(7.0, 2.6550649245837703)	(8.0, 2.1966653502235123)	(9.0, 1.8873173285308964)	('>10', 20.24859712054665)	('>50', 6.026579458608518)	('>100', 12.231795703699252)	('>500', 3.4592345888087896)	('>1k', 4.625277799930956)	('>5k', 1.2044908451526186)	('>10k+', 1.884617593729839)
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	(1.0, 14.79457743955413)	(2.0, 9.525408627207527)	(3.0, 6.855674776320314)	(4.0, 5.1918589903137935)	(5.0, 3.9427738212518673)	(6.0, 3.364377293604351)	(7.0, 2.6359340589117437)	(8.0, 2.2816775698587004)	(9.0, 1.9445636019381929)	('>10', 20.144111335395774)	('>50', 6.13055252674721)	('>100', 12.04869640538185)	('>500', 3.4240668308434397)	('>1k', 4.568474044748039)	('>5k', 1.1952912841258452)	('>10k+', 1.951961393797037)
HSF4_0H_3_1	(1.0, 13.717451868347528)	(2.0, 8.908923194941503)	(3.0, 6.523167446285688)	(4.0, 4.8670064379920355)	(5.0, 3.811061946219369)	(6.0, 3.1193032089931227)	(7.0, 2.4614120244937094)	(8.0, 2.045800119397399)	(9.0, 1.7988588863378743)	('>10', 19.638344417396606)	('>50', 6.223231262834345)	('>100', 13.103886093864922)	('>500', 3.841533520517347)	('>1k', 5.680883453484233)	('>5k', 1.463797129103174)	('>10k+', 2.795338989791192)
HSF4_0H_3_2	(1.0, 13.981066628335764)	(2.0, 8.818002915625941)	(3.0, 6.493548268000561)	(4.0, 4.8292633780472185)	(5.0, 3.8083841661010034)	(6.0, 3.11216556552081)	(7.0, 2.457585109646448)	(8.0, 2.1127699143841947)	(9.0, 1.8684470719924147)	('>10', 19.427257823822504)	('>50', 6.287305490201225)	('>100', 13.05432922858632)	('>500', 3.726921965687953)	('>1k', 5.689507008492383)	('>5k', 1.5785143270463566)	('>10k+', 2.754931138508955)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	(1.0, 15.055196823902259)	(2.0, 9.16981599279157)	(3.0, 6.54049591608872)	(4.0, 4.817571453195332)	(5.0, 3.7781175563383504)	(6.0, 3.0777841919048083)	(7.0, 2.430564520727026)	(8.0, 1.9721039362113015)	(9.0, 1.7786551920994769)	('>10', 19.151323959345014)	('>50', 6.064870078789394)	('>100', 12.740766680728747)	('>500', 3.7236405449395162)	('>1k', 5.540215498742969)	('>5k', 1.38904020428151)	('>10k+', 2.7698374499141276)
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	(1.0, 15.40365903089231)	(2.0, 9.122153101906106)	(3.0, 6.544541871828752)	(4.0, 4.747488431776626)	(5.0, 3.7664641605930687)	(6.0, 3.055465812043862)	(7.0, 2.381958596633496)	(8.0, 2.0527164388022197)	(9.0, 1.8331966352742337)	('>10', 18.964134223070435)	('>50', 6.152177421121651)	('>100', 12.590692683881135)	('>500', 3.6021859439776303)	('>1k', 5.539457993880295)	('>5k', 1.4779143943707704)	('>10k+', 2.7657932599473902)
