Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
HSF4_0H_1	66580176.0	108.0	9571565.0	1041569.0	2490099.0
HSF4_0H_2	54707144.0	106.0	6817703.0	670109.0	1986114.0
HSF4_0H_3	51214951.0	85.0	9102134.0	747324.0	1850550.0
HSF4_2H_1	55604752.0	142.0	8333107.0	943167.0	2034170.0
HSF4_2H_2	52780346.0	100.0	7882401.0	898632.0	1907171.0
HSF4_2H_3	50997821.0	79.0	5927496.0	598486.0	2021836.0
HSF4_4H_1	47350628.0	66.0	6501250.0	658368.0	1642305.0
HSF4_4H_2	46239624.0	223.0	5450331.0	585063.0	1687309.0
HSF4_4H_3	46556245.0	130.0	5954110.0	535555.0	1717539.0
HSF4_6H_1	45685761.0	143.0	5518769.0	537414.0	1628423.0
HSF4_6H_2	47820854.0	88.0	6238631.0	558976.0	1713187.0
HSF4_6H_3	48839819.0	63.0	7104039.0	646573.0	1772802.0
