Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HSF4_0H_1_1	HSF4_0H_1_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75486240.0	10.6 Gbp	0.0	25-142	49.0	22.601498530121145	140.9599080640392	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_1_2	HSF4_0H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75486240.0	10.6 Gbp	0.0	25-142	49.0	22.940676736248886	140.95723650429537	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75778540.0	11.3 Gbp	0.0	150.0	49.0	23.980324949660194	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75778540.0	11.3 Gbp	0.0	150.0	49.0	24.314790966577586	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_2_1	HSF4_0H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60409039.0	8.5 Gbp	0.0	25-142	49.0	24.839377087508748	141.244607226743	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_2_2	HSF4_0H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60409039.0	8.5 Gbp	0.0	25-142	49.0	24.939187299006417	141.2271579340966	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60623791.0	9 Gbp	0.0	150.0	49.0	26.544470169767582	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60623791.0	9 Gbp	0.0	150.0	49.0	26.647369395144988	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_3_1	HSF4_0H_3_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58138281.0	8.2 Gbp	0.0	25-142	48.0	24.896629746332692	141.05554723057602	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_3_2	HSF4_0H_3_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58138281.0	8.2 Gbp	0.0	25-142	48.0	25.102994158863833	141.05408633426916	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58357914.0	8.7 Gbp	0.0	150.0	48.0	26.297310252466772	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58357914.0	8.7 Gbp	0.0	150.0	48.0	26.60539186974732	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_1_1	HSF4_2H_1_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62362208.0	8.8 Gbp	0.0	25-142	49.0	25.394277503759827	141.2190559866001	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_2H_1_2	HSF4_2H_1_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62362208.0	8.8 Gbp	0.0	25-142	49.0	25.608725410839877	141.2028227416194	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62610021.0	9.3 Gbp	0.0	150.0	49.0	27.11572098823621	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62610021.0	9.3 Gbp	0.0	150.0	49.0	27.287614786853275	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_2H_2_1	HSF4_2H_2_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59318709.0	8.4 Gbp	0.0	26-142	48.0	25.180788905545597	141.20440320944948	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_2_2	HSF4_2H_2_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59318709.0	8.4 Gbp	0.0	25-142	48.0	25.47532053581108	141.18543908297127	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59543753.0	8.9 Gbp	0.0	150.0	48.0	26.59759589320514	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59543753.0	8.9 Gbp	0.0	150.0	48.0	26.847166158413838	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_2H_3_1	HSF4_2H_3_1.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56609339.0	8 Gbp	0.0	27-142	49.0	25.882890906671697	141.17199456259328	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_3_2	HSF4_2H_3_2.trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56609339.0	8 Gbp	0.0	25-142	49.0	25.955058956297172	141.15591615545978	141	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56821565.0	8.5 Gbp	0.0	150.0	49.0	27.269522822255	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
