Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
HSF4_0H_1	79683517	66580176	0	0	108	0	0	0	0	9571565	0	0	1041569	0	2490099	83.55576975850602
HSF4_0H_2	64181176	54707144	0	0	106	0	0	0	0	6817703	0	0	670109	0	1986114	85.23861264243584
HSF4_0H_3	62915044	51214951	0	0	85	0	0	0	0	9102134	0	0	747324	0	1850550	81.40334607411226
HSF4_2H_1	66915338	55604752	0	0	142	0	0	0	0	8333107	0	0	943167	0	2034170	83.09716974006767
HSF4_2H_2	63468650	52780346	0	0	100	0	0	0	0	7882401	0	0	898632	0	1907171	83.15971113297668
HSF4_2H_3	59545718	50997821	0	0	79	0	0	0	0	5927496	0	0	598486	0	2021836	85.64481664323873
HSF4_4H_1	56152617	47350628	0	0	66	0	0	0	0	6501250	0	0	658368	0	1642305	84.3248819551901
HSF4_4H_2	53962550	46239624	0	0	223	0	0	0	0	5450331	0	0	585063	0	1687309	85.6883597976745
HSF4_4H_3	54763579	46556245	0	0	130	0	0	0	0	5954110	0	0	535555	0	1717539	85.0131526283189
HSF4_6H_1	53370510	45685761	0	0	143	0	0	0	0	5518769	0	0	537414	0	1628423	85.60113253555194
HSF4_6H_2	56331736	47820854	0	0	88	0	0	0	0	6238631	0	0	558976	0	1713187	84.8914970417386
HSF4_6H_3	58363296	48839819	0	0	63	0	0	0	0	7104039	0	0	646573	0	1772802	83.68242088315232
