Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	qualimap_bamqc-mean_coverage	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-mapped_paired_reads	qualimap_bamqc-ns	qualimap_bamqc-duplication_rate	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	featurecounts-Assigned	featurecounts-percent_assigned
HSF4_0H_1							49.91057621890756	280	41.391583410216896	27.182283968352504	22.21917993655734	16.500502810897085	14.512447789370778	0	312.3744	0.0	100.0	144.799333	144.799236	41143	73.55	75.48624	72.399715	95.91	70.111936	92.88	2.287779	66.580176	83.55576975850602
HSF4_0H_1_1	77.39850146987885	49.0	140.9599080640392	141	18.181818181818183	75.48624																							
HSF4_0H_1_2	77.05932326375111	49.0	140.95723650429537	141	18.181818181818183	75.48624																							
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	76.0196750503398	49.0	150.0	150	27.27272727272727	75.77853999999999																							
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	75.68520903342241	49.0	150.0	150	27.27272727272727	75.77853999999999																							
HSF4_0H_2							50.37003413329689	287	37.803936131194966	24.38490496660444	20.106444622316843	15.417419041545454	13.699496073090518	0	266.0497	0.0	100.0	118.07440799999999	118.07431199999999	33491	71.81	60.409039	59.037251999999995	97.72999999999999	57.363461	94.96	1.673791	54.707144	85.23861264243584
HSF4_0H_2_1	75.16062291249125	49.0	141.244607226743	141	18.181818181818183	60.409039																							
HSF4_0H_2_2	75.06081270099358	49.0	141.2271579340966	141	18.181818181818183	60.409039																							
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	73.45552983023242	49.0	150.0	150	27.27272727272727	60.623791																							
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	73.35263060485501	49.0	150.0	150	27.27272727272727	60.623791																							
HSF4_0H_3							49.134477695080825	283	39.39090019355022	24.82005865577476	20.317804429013478	15.324597980537996	13.555547868088615	0	247.109	0.0	100.0	111.91306999999999	111.912994	31426	69.11	58.138281	55.956573	96.25	53.812897	92.56	2.1436759999999997	51.214951	81.40334607411226
HSF4_0H_3_1	75.10337025366731	48.0	141.05554723057602	141	18.181818181818183	58.138281																							
HSF4_0H_3_2	74.89700584113616	48.0	141.05408633426916	141	18.181818181818183	58.138281																							
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	73.70268974753323	48.0	150.0	150	27.27272727272727	58.357913999999994																							
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	73.39460813025268	48.0	150.0	150	27.27272727272727	58.357913999999994																							
HSF4_2H_1							49.92820702847966	284	41.45806546542636	26.218534903656472	21.21985971612847	15.827948098076227	14.0281345890356	0	270.7829	0.0	100.0	121.173414	121.173288	34349	71.67	62.362207999999995	60.586769999999994	97.14999999999999	58.582212	93.94	2.004558	55.604752	83.09716974006767
HSF4_2H_1_1	74.60572249624018	49.0	141.2190559866001	141	18.181818181818183	62.362207999999995																							
HSF4_2H_1_2	74.39127458916012	49.0	141.2028227416194	141	18.181818181818183	62.362207999999995																							
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	72.8842790117638	49.0	150.0	150	27.27272727272727	62.610020999999996																							
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	72.71238521314672	49.0	150.0	150	27.27272727272727	62.610020999999996																							
HSF4_2H_2							49.13458163529445	285	42.00157602658425	26.394016720787935	21.393349548538893	15.848510139452706	13.908666296861162	0	247.0565	0.0	100.0	115.025948	115.02586199999999	32272	69.57	59.318709	57.513017	96.96	55.586231	93.71	1.9267859999999999	52.780345999999994	83.15971113297668
HSF4_2H_2_1	74.8192110944544	48.0	141.20440320944948	141	18.181818181818183	59.318709																							
HSF4_2H_2_2	74.52467946418892	48.0	141.18543908297127	141	18.181818181818183	59.318709																							
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	73.40240410679486	48.0	150.0	150	27.27272727272727	59.543752999999995																							
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	73.15283384158616	48.0	150.0	150	27.27272727272727	59.543752999999995																							
HSF4_2H_3							49.76777696606096	287	38.911437194224604	25.08994858146823	20.71777380964093	15.98721573010846	14.282112293083891	0	237.5137	0.0	100.0	110.275762	110.275686	31248	70.85	56.609339	55.137919	97.4	53.618216999999994	94.72	1.5197019999999999	50.997820999999995	85.64481664323873
HSF4_2H_3_1	74.11710909332831	49.0	141.17199456259328	141	18.181818181818183	56.609339																							
HSF4_2H_3_2	74.04494104370283	49.0	141.15591615545978	141	18.181818181818183	56.609339																							
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	72.730477177745	49.0	150.0	150	27.27272727272727	56.821565																							
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	72.66214622935027	49.0	150.0	150	27.27272727272727	56.821565																							
HSF4_4H_1							49.426420185504156	290	38.67193634176229	24.092729581387786	19.659225614582947	14.985622434554326	13.35639253362102	0	227.2087	0.0	100.0	102.512057	102.51199799999999	248463	69.14	52.560373	51.256057999999996	97.52	49.651357	94.47	1.604701	47.350628	84.3248819551901
HSF4_4H_1_1	73.95291774005766	48.0	141.27295079317645	141	18.181818181818183	52.560373																							
HSF4_4H_1_2	73.81497239199572	48.0	141.25803869390347	141	18.181818181818183	52.560373																							
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	72.56418938167403	48.0	150.0	150	36.36363636363637	52.746354																							
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	72.3763654280519	48.0	150.0	150	27.27272727272727	52.746354																							
HSF4_4H_2							49.17702211719023	286	38.94879229994862	24.471171889968804	20.14129913667257	15.48220550934131	13.73679830042166	0	218.5113	0.0	100.0	99.84414199999999	99.84392199999999	241058	67.89	51.466637	49.922180999999995	97.0	48.512214	94.26	1.409967	46.239624	85.6883597976745
HSF4_4H_2_1	74.03820536339126	48.0	141.12281082208654	141	18.181818181818183	51.466637																							
HSF4_4H_2_2	74.00831649243588	48.0	140.79388855347202	141	18.181818181818183	51.466637																							
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	72.11882177232806	48.0	150.0	150	36.36363636363637	51.791807																							
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	72.02921140940784	48.0	150.0	150	27.27272727272727	51.791807																							
HSF4_4H_3							50.33687352337681	292	38.33956572450961	24.033791046382824	19.835990428509938	15.395176023890235	13.737585910168155	0	226.3758	0.0	100.0	100.614674	100.61455	243646	69.21	51.403402	50.307399	97.86	48.809461999999996	94.95	1.4979369999999999	46.556245	85.0131526283189
HSF4_4H_3_1	73.14539485897649	49.0	141.2638056718503	141	18.181818181818183	51.403402																							
HSF4_4H_3_2	73.25303659457333	49.0	141.07171755869388	141	18.181818181818183	51.403402																							
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	71.77584683061889	49.0	150.0	150	36.36363636363637	51.657802999999994																							
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	71.83853636577051	49.0	150.0	150	27.27272727272727	51.657802999999994																							
HSF4_6H_1							49.460676579404904	286	33.90268101940246	21.778643783607087	18.01590570925364	13.809520005990287	12.173294850294381	0	198.8939	0.0	100.0	98.464889	98.464748	237279	69.54	50.666914999999996	49.232515	97.17	47.851737	94.44	1.3807779999999998	45.685761	85.60113253555194
HSF4_6H_1_1	75.67381242141056	48.0	141.18328030234326	141	18.181818181818183	50.666914999999996																							
HSF4_6H_1_2	75.6821022840754	48.0	140.91607923040115	141	18.181818181818183	50.666914999999996																							
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	74.37612420380532	48.0	150.0	150	36.36363636363637	50.941899																							
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	74.36753519008273	48.0	150.0	150	27.27272727272727	50.941899																							
HSF4_6H_2							50.3376291053141	295	34.94197660907593	22.342817272548917	18.471289558308314	14.269445134917202	12.702126091283052	0	221.5112	0.0	100.0	103.289565	103.28948	248681	70.62	52.970276999999996	51.644825	97.5	50.093101	94.57	1.5517239999999999	47.820854	84.8914970417386
HSF4_6H_2_1	74.7449568860008	49.0	141.24122410196193	141	18.181818181818183	52.970276999999996																							
HSF4_6H_2_2	74.59870981198986	49.0	141.2178436786351	141	18.181818181818183	52.970276999999996																							
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	73.27852846483053	49.0	150.0	150	36.36363636363637	53.187475																							
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	73.16688375997165	49.0	150.0	150	27.27272727272727	53.187475																							
HSF4_6H_3							50.82260498512089	299	37.7645479904186	23.86966138527947	19.514656088464772	14.879580383791653	13.250644097092467	0	236.7971	0.0	100.0	105.95606199999999	105.956002	257230	71.13	54.598982	52.978061	97.03	51.259253	93.88	1.718808	48.839819	83.68242088315232
HSF4_6H_3_1	74.01825723351953	50.0	141.1847070427064	141	18.181818181818183	54.598982																							
HSF4_6H_3_2	74.11379508016137	50.0	141.16688324884885	141	18.181818181818183	54.598982																							
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	72.52750600368026	50.0	150.0	150	36.36363636363637	54.803658999999996																							
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	72.52426580544288	50.0	150.0	150	27.27272727272727	54.803658999999996																							
