Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
HSF4_0H_1	75486240.0	282.0	70111936.0	92.88	283.22	35919304.0	35428536.0	35155804.0	718488.0	13203.0	31809.0	0.31	0.02	2.81	0.02	2.0	2287779.0	3.03	784849.0	1.04	0.0	2.97	0.08	0	2241304	60372	95.91	72399715.0
HSF4_0H_2	60409039.0	283.0	57363461.0	94.96	283.31	30082923.0	29691864.0	29392165.0	651253.0	11378.0	28127.0	0.31	0.02	2.79	0.02	1.97	1673791.0	2.77	511113.0	0.85	0.0	1.34	0.08	0	812185	48489	97.72999999999999	59037252.0
HSF4_0H_3	58138281.0	283.0	53812897.0	92.56	283.21	27554209.0	27179772.0	26904670.0	614540.0	9972.0	25027.0	0.31	0.02	2.78	0.02	1.92	2143676.0	3.69	709218.0	1.22	0.0	2.45	0.08	0	1425929	46561	96.25	55956573.0
HSF4_2H_1	62362208.0	283.0	58582212.0	93.94	283.26	29832222.0	29400810.0	29046327.0	746221.0	11238.0	28436.0	0.31	0.02	2.79	0.02	2.09	2004558.0	3.21	745514.0	1.2	0.0	1.57	0.08	0	979988	49936	97.14999999999999	60586770.0
HSF4_2H_2	59318709.0	283.0	55586231.0	93.71	283.23	28000731.0	27575130.0	27336341.0	628127.0	9992.0	26271.0	0.32	0.02	2.8	0.03	1.97	1926786.0	3.25	760923.0	1.28	0.0	1.68	0.08	0	997279	47490	96.96	57513017.0
HSF4_2H_3	56609339.0	283.0	53618217.0	94.72	283.25	27121837.0	26746343.0	26109025.0	972420.0	9259.0	31133.0	0.32	0.02	2.78	0.02	1.94	1519702.0	2.68	423708.0	0.75	0.0	1.79	0.06	0	1013732	33980	97.4	55137919.0
HSF4_4H_1	52560373.0	283.0	49651357.0	94.47	283.27	25369462.0	25036426.0	24586264.0	751304.0	9433.0	22461.0	0.31	0.02	2.77	0.02	1.97	1604701.0	3.05	592259.0	1.13	0.0	1.29	0.06	0	680409	31647	97.52	51256058.0
HSF4_4H_2	51466637.0	282.0	48512214.0	94.26	282.85	24934979.0	24585825.0	23861533.0	1040662.0	7881.0	24903.0	0.32	0.02	2.75	0.03	1.73	1409967.0	2.74	438890.0	0.85	0.0	2.08	0.07	0	1069571	35995	97.0	49922181.0
HSF4_4H_3	51403402.0	283.0	48809462.0	94.95	283.11	25997569.0	25650897.0	25085345.0	877945.0	9098.0	25181.0	0.32	0.02	2.79	0.02	2.07	1497937.0	2.91	434997.0	0.85	0.0	1.22	0.06	0	630021	30985	97.86	50307399.0
HSF4_6H_1	50666915.0	283.0	47851737.0	94.44	283.02	24207296.0	23936285.0	23244244.0	933735.0	8952.0	20365.0	0.31	0.02	2.78	0.03	1.88	1380778.0	2.73	482454.0	0.95	0.0	1.8	0.07	0	916312	35634	97.17	49232515.0
HSF4_6H_2	52970277.0	283.0	50093101.0	94.57	283.29	26383002.0	26082074.0	25423652.0	926267.0	10118.0	22965.0	0.33	0.02	2.78	0.02	2.14	1551724.0	2.93	548877.0	1.04	0.0	1.4	0.07	0	739595	36980	97.5	51644825.0
HSF4_6H_3	54598982.0	283.0	51259253.0	93.88	283.31	27108488.0	26760932.0	26375709.0	698453.0	10683.0	23643.0	0.33	0.02	2.85	0.02	2.15	1718808.0	3.15	645181.0	1.18	0.0	1.72	0.07	0	937583	38157	97.03	52978061.0
